Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em Fevereiro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
50;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.;FRENTE CC - PRUDENCIAL; 5 ; 77.697 ; 75 ; 1.309.027 ; 647 ; 112.182.580 ; 4.911 ; 117.344.230 ; 5.638 ; 230.913.534 ; 421 ; 27.564.656 ; 79 ; 21.468.939 ; 500 ; 49.033.595 ; 6.138 ; 279.947.129 ;
51;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.;MONEYCORP - PRUDENCIAL; 9 ; 78.129 ; 152 ; 9.977.788 ; 241 ; 85.835.875 ; 497 ; 93.377.733 ; 899 ; 189.269.525 ; 136 ; 40.114.842 ; 65 ; 22.669.823 ; 201 ; 62.784.665 ; 1.100 ; 252.054.190 ;
52;61.024.352;BANCO VOITER S.A.;BANCO VOITER - PRUDENCIAL; 23 ; 21.158.413 ; 409 ; 31.148.030 ; 192 ; 44.807.977 ; 667 ; 51.717.911 ; 1.291 ; 148.832.331 ; 65 ; 55.116.798 ; 84 ; 33.698.677 ; 149 ; 88.815.475 ; 1.440 ; 237.647.806 ;
53;00.416.968;BANCO INTER S.A.;INTER - PRUDENCIAL; 51 ; 2.732.399 ; 227 ; 764.902 ; 61.973 ; 98.041.471 ; 152.035 ; 59.388.130 ; 214.286 ; 160.926.902 ; 5 ; 744.153 ; 10 ; 43.983.939 ; 15 ; 44.728.092 ; 214.301 ; 205.654.994 ;
54;33.042.953;CITIBANK N.A.;CITIBANK - PRUDENCIAL; -   ; -   ; -   ; -   ; 4 ; 382.548 ; 4 ; 4.423.952 ; 8 ; 4.806.500 ; -   ; -   ; 1 ; 200.000.000 ; 1 ; 200.000.000 ; 9 ; 204.806.500 ;
55;01.181.521;BANCO COOPERATIVO SICREDI S.A.;BCO COOPERATIVO SICREDI - PRUDENCIAL; 925 ; 55.367.344 ; 1.038 ; 40.712.721 ; 821 ; 16.419.101 ; 367 ; 21.073.236 ; 3.151 ; 133.572.402 ; 13 ; 22.205.280 ; 11 ; 24.869.226 ; 24 ; 47.074.506 ; 3.175 ; 180.646.908 ;
56;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;CCB - PRUDENCIAL; 27 ; 44.902.899 ; 66 ; 17.950.830 ; 16 ; 6.118.486 ; 145 ; 27.266.342 ; 254 ; 96.238.557 ; 27 ; 28.758.454 ; 13 ; 40.536.095 ; 40 ; 69.294.549 ; 294 ; 165.533.106 ;
57;61.384.004;AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;AVENUE SECURITIES DTVM - PRUDENCIAL; -   ; -   ; -   ; -   ; 11.653 ; 22.198.147 ; 58.176 ; 75.389.370 ; 69.829 ; 97.587.517 ; 102 ; 53.160.100 ; -   ; -   ; 102 ; 53.160.100 ; 69.931 ; 150.747.617 ;
58;62.144.175;BANCO PINE S.A.;PINE - PRUDENCIAL; 49 ; 39.094.327 ; 229 ; 26.353.635 ; 11 ; 8.246.927 ; 348 ; 22.542.846 ; 637 ; 96.237.735 ; 20 ; 29.020.068 ; 10 ; 25.141.587 ; 30 ; 54.161.655 ; 667 ; 150.399.390 ;
59;45.246.410;BANCO GENIAL S.A.;GENIAL - PRUDENCIAL; 6 ; 381.143 ; 21 ; 1.158.923 ; 278 ; 53.445.750 ; 386 ; 68.020.147 ; 691 ; 123.005.963 ; 8 ; 13.908.943 ; 1 ; 5.000.000 ; 9 ; 18.908.943 ; 700 ; 141.914.906 ;
