Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MARÇO / 2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
37;15.114.366;BANCO BOCOM BBM S.A.; 4 ; 2.193.985 ; 36 ; 5.362.019 ; 41 ; 187.005.095 ; 251 ; 153.484.489 ; 332 ; 348.045.588 ; 25 ; 305.830.523 ; 26 ; 233.545.513 ; 51 ; 539.376.037 ; 383 ; 887.421.625 ;
38;58.616.418;BANCO FIBRA S.A.; 71 ; 42.651.333 ; 426 ; 169.339.246 ; 43 ; 20.074.121 ; 480 ; 29.405.790 ; 1.020 ; 261.470.489 ; 93 ; 294.956.405 ; 82 ; 241.511.952 ; 175 ; 536.468.358 ; 1.195 ; 797.938.846 ;
39;71.027.866;BANCO BS2 S.A.; 359 ; 51.106.723 ; 1.418 ; 71.897.801 ; 8.243 ; 173.268.078 ; 9.666 ; 119.678.189 ; 19.686 ; 415.950.792 ; 29 ; 81.672.172 ; 37 ; 118.382.431 ; 66 ; 200.054.603 ; 19.752 ; 616.005.394 ;
40;13.059.145;BEXS BANCO DE CÂMBIO S/A; 31 ; 67.743.455 ; 86 ; 33.702.731 ; 13.990 ; 63.449.148 ; 87.505 ; 179.896.970 ; 101.612 ; 344.792.305 ; 254 ; 168.118.309 ; 56 ; 92.414.185 ; 310 ; 260.532.494 ; 101.922 ; 605.324.799 ;
41;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 11 ; 36.255.463 ; 7 ; 854.349 ; 9 ; 11.546.242 ; 18 ; 37.385.458 ; 45 ; 86.041.513 ; 21 ; 194.618.073 ; 32 ; 203.353.088 ; 53 ; 397.971.160 ; 98 ; 484.012.673 ;
42;10.690.848;BANCO DA CHINA BRASIL S.A.; 36 ; 207.237.657 ; 9 ; 750.616 ; 33 ; 5.487.089 ; 94 ; 10.585.551 ; 172 ; 224.060.913 ; 29 ; 23.583.998 ; 79 ; 224.989.522 ; 108 ; 248.573.520 ; 280 ; 472.634.432 ;
43;00.997.185;BANCO B3 S.A.;;;;; 220 ; 196.303.336 ; 158 ; 185.718.567 ; 378 ; 382.021.903 ; 24 ; 39.267.092 ; 67 ; 49.862.618 ; 91 ; 89.129.710 ; 469 ; 471.151.614 ;
44;33.923.798;BANCO MASTER S/A; 63 ; 87.093.016 ; 140 ; 5.247.311 ; 2.734 ; 96.332.757 ; 331 ; 22.087.383 ; 3.268 ; 210.760.466 ; 10 ; 19.006.500 ; 30 ; 132.599.520 ; 40 ; 151.606.020 ; 3.308 ; 362.366.486 ;
45;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 14 ; 14.208.065 ; 47 ; 178.579.489 ; 61 ; 192.787.554 ; 8 ; 162.000.000 ;;; 8 ; 162.000.000 ; 69 ; 354.787.554 ;
46;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 86 ; 16.038.880 ; 59 ; 6.298.914 ; 4.547 ; 126.188.451 ; 224 ; 17.140.152 ; 4.916 ; 165.666.397 ; 62 ; 15.592.663 ; 189 ; 134.380.485 ; 251 ; 149.973.148 ; 5.167 ; 315.639.546 ;
