Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
50;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 102 ; 124.100 ; 902 ; 3.988.302 ; 1.004 ; 4.112.401 ; 395 ; 57.686.433 ; 110 ; 55.207.133 ; 505 ; 112.893.567 ; 1.509 ; 117.005.968 ;;;;
51;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 14 ; 4.352.157 ; 100 ; 25.423.913 ; 60 ; 17.486.930 ; 60 ; 9.872.514 ; 234 ; 57.135.513 ; 59 ; 34.387.377 ; 27 ; 19.587.689 ; 86 ; 53.975.066 ; 320 ; 111.110.579 ;;;;
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 156 ; 4.173.977 ; 1.057 ; 21.833.436 ; 1.118 ; 12.928.795 ; 2.933 ; 24.015.189 ; 5.264 ; 62.951.397 ; 611 ; 37.242.579 ; 162 ; 8.465.053 ; 773 ; 45.707.632 ; 6.037 ; 108.659.029 ;;;;
53;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 36 ; 707.839 ; 123 ; 1.142.240 ; 1.175 ; 7.749.253 ; 4.609 ; 52.867.234 ; 5.943 ; 62.466.566 ; 701 ; 45.766.674 ; 7 ; 180.536 ; 708 ; 45.947.210 ; 6.651 ; 108.413.776 ;;;;
54;03.532.415;BANCO ABN AMRO S.A.; 8 ; 23.030.000 ;;; 8 ; 26.327.095 ; 23 ; 1.032.197 ; 39 ; 50.389.292 ; 1 ; 810.000 ; 10 ; 49.030.000 ; 11 ; 49.840.000 ; 50 ; 100.229.292 ;;;;
55;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 53 ; 168.994 ; 132 ; 1.878.732 ; 185 ; 2.047.726 ; 258 ; 49.294.896 ; 122 ; 47.577.380 ; 380 ; 96.872.276 ; 565 ; 98.920.002 ;;;;
56;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 659 ; 7.437.764 ; 2.172 ; 45.405.960 ; 2.831 ; 52.843.725 ; 2.101 ; 40.005.735 ; 44 ; 918.210 ; 2.145 ; 40.923.944 ; 4.976 ; 93.767.669 ;;;;
57;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 2 ; 22.237 ; 52 ; 402.043 ; 486 ; 19.316.311 ; 954 ; 43.747.381 ; 1.494 ; 63.487.972 ; 594 ; 27.120.383 ; 245 ; 2.939.214 ; 839 ; 30.059.598 ; 2.333 ; 93.547.570 ;;;;
58;61.033.106;BPN BRASIL BANCO MÚLTIPLO S.A.; 5 ; 59.539 ; 2 ; 43.304 ; 41 ; 39.595.030 ; 25 ; 42.767.636 ; 73 ; 82.465.509 ; 11 ; 4.809.688 ; 10 ; 1.709.422 ; 21 ; 6.519.110 ; 94 ; 88.984.619 ;;;;
59;05.452.073;ALBATROSS CORRETORA DE CAMBIO E VALORES S.A; 2 ; 48.560 ; 130 ; 3.219.574 ; 75 ; 421.091 ; 1.236 ; 13.838.649 ; 1.443 ; 17.527.874 ; 1.178 ; 43.047.824 ; 84 ; 26.467.025 ; 1.262 ; 69.514.849 ; 2.705 ; 87.042.723 ;;;;
