Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
50;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 10 ; 2.967.292 ; 49 ; 2.338.182 ; 3.698 ; 104.537.150 ; 160 ; 3.382.840 ; 3.917 ; 113.225.464 ; 44 ; 3.398.991 ; 189 ; 105.182.554 ; 233 ; 108.581.545 ; 4.150 ; 221.807.009 ;
51;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 236 ; 7.609.867 ; 1.512 ; 34.456.261 ; 1.746 ; 26.793.869 ; 3.188 ; 36.372.385 ; 6.682 ; 105.232.381 ; 517 ; 62.817.483 ; 224 ; 26.357.729 ; 741 ; 89.175.212 ; 7.423 ; 194.407.593 ;
52;30.723.886;BANCO MODAL S.A.; 13 ; 2.563.561 ; 11 ; 1.369.650 ; 172 ; 62.074.243 ; 138 ; 21.363.341 ; 334 ; 87.370.796 ; 5 ; 27.811.600 ; 19 ; 67.125.580 ; 24 ; 94.937.180 ; 358 ; 182.307.976 ;
53;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 744 ; 68.008.897 ; 440 ; 26.121.957 ; 428 ; 9.152.501 ; 398 ; 13.893.191 ; 2.010 ; 117.176.545 ; 11 ; 11.968.140 ; 16 ; 49.755.254 ; 27 ; 61.723.394 ; 2.037 ; 178.899.939 ;
54;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 212 ; 5.148.223 ; 812 ; 24.958.910 ; 3.622 ; 25.323.359 ; 2.787 ; 44.736.360 ; 7.433 ; 100.166.852 ; 1.159 ; 58.283.179 ; 145 ; 19.374.762 ; 1.304 ; 77.657.941 ; 8.737 ; 177.824.793 ;
55;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 945 ; 68.380.608 ; 647 ; 52.931.680 ; 625 ; 10.750.655 ; 288 ; 10.079.516 ; 2.505 ; 142.142.459 ; 9 ; 6.955.799 ; 9 ; 27.484.470 ; 18 ; 34.440.269 ; 2.523 ; 176.582.728 ;
56;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 497.322 ; 89 ; 17.151.933 ; 265 ; 21.182.998 ; 355 ; 38.832.253 ; 54 ; 70.115.427 ; 17 ; 65.390.000 ; 71 ; 135.505.427 ; 426 ; 174.337.681 ;
57;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 18 ; 19.496.873 ; 25 ; 11.386.808 ; 14 ; 22.810.967 ; 47 ; 1.696.152 ; 104 ; 55.390.800 ; 10 ; 35.033.216 ; 16 ; 67.530.221 ; 26 ; 102.563.437 ; 130 ; 157.954.237 ;
58;61.024.352;BANCO VOITER S.A.; 27 ; 6.352.569 ; 89 ; 7.011.768 ; 89 ; 12.572.322 ; 515 ; 40.301.998 ; 720 ; 66.238.657 ; 51 ; 43.849.957 ; 46 ; 14.847.373 ; 97 ; 58.697.330 ; 817 ; 124.935.987 ;
59;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 182 ; 3.519.555 ; 962 ; 25.638.106 ; 557 ; 10.464.066 ; 1.236 ; 14.603.065 ; 2.937 ; 54.224.792 ; 577 ; 38.199.677 ; 79 ; 11.847.344 ; 656 ; 50.047.021 ; 3.593 ; 104.271.813 ;
60;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 8 ; 36.393.971 ; 17 ; 1.586.116 ; 20 ; 12.371.801 ; 40 ; 10.345.948 ; 85 ; 60.697.836 ; 9 ; 2.283.882 ; 11 ; 39.304.186 ; 20 ; 41.588.068 ; 105 ; 102.285.905 ;
61;62.144.175;BANCO PINE S.A.; 20 ; 7.629.466 ; 209 ; 33.963.465 ; 2 ; 255.080 ; 23 ; 7.706.747 ; 254 ; 49.554.758 ; 5 ; 22.319.600 ; 10 ; 19.376.491 ; 15 ; 41.696.091 ; 269 ; 91.250.849 ;
