Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mai/2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
36;71.027.866;BANCO BS2 S.A.; 393 ; 45.025.093 ; 1.993 ; 101.540.218 ; 3.823 ; 605.906.396 ; 6.191 ; 491.103.642 ; 12.400 ; 1.243.575.349 ; 774 ; 552.838.689 ; 12.995 ; 594.826.516 ; 13.769 ; 1.147.665.206 ; 26.169 ; 2.391.240.555 ;;;;
37;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 376 ; 251.130.938 ; 871 ; 174.632.261 ; 504 ; 260.813.240 ; 592 ; 396.119.535 ; 2.343 ; 1.082.695.975 ; 521 ; 702.136.803 ; 506 ; 584.492.321 ; 1.027 ; 1.286.629.124 ; 3.370 ; 2.369.325.099 ;;;;
38;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 901 ; 620.754.772 ; 1.712 ; 549.931.647 ; 2.613 ; 1.170.686.418 ; 86 ; 467.139.394 ; 254 ; 549.400.000 ; 340 ; 1.016.539.394 ; 2.953 ; 2.187.225.812 ;;;;
39;58.616.418;BANCO FIBRA S.A.; 259 ; 289.574.512 ; 1.875 ; 294.355.747 ; 333 ; 331.372.685 ; 1.264 ; 121.234.345 ; 3.731 ; 1.036.537.290 ; 128 ; 432.769.735 ; 145 ; 652.411.288 ; 273 ; 1.085.181.023 ; 4.004 ; 2.121.718.313 ;;;;
40;30.723.886;BANCO MODAL S.A.; 75 ; 21.007.234 ; 235 ; 24.449.449 ; 646 ; 615.242.847 ; 610 ; 244.433.035 ; 1.566 ; 905.132.565 ; 76 ; 331.025.495 ; 82 ; 692.310.547 ; 158 ; 1.023.336.042 ; 1.724 ; 1.928.468.607 ;;;;
41;10.690.848;BANCO DA CHINA BRASIL S.A.; 85 ; 738.840.839 ; 92 ; 24.219.885 ; 91 ; 91.356.201 ; 230 ; 115.284.661 ; 498 ; 969.701.586 ; 117 ; 120.473.867 ; 170 ; 811.245.008 ; 287 ; 931.718.875 ; 785 ; 1.901.420.461 ;;;;
42;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 15 ; 89.242.502 ; 70 ; 38.721.711 ; 69 ; 332.797.134 ; 110 ; 247.364.245 ; 264 ; 708.125.593 ; 68 ; 461.174.599 ; 98 ; 633.329.040 ; 166 ; 1.094.503.639 ; 430 ; 1.802.629.233 ;;;;
43;33.923.798;BANCO MÁXIMA S.A.; 216 ; 259.632.476 ; 761 ; 32.854.123 ; 3.719 ; 77.478.844 ; 56.186 ; 620.285.224 ; 60.882 ; 990.250.667 ; 233 ; 521.206.152 ; 66 ; 190.524.444 ; 299 ; 711.730.596 ; 61.181 ; 1.701.981.264 ;;;;
44;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 232 ; 317.828.449 ; 970 ; 90.829.602 ; 43 ; 51.534.498 ; 881 ; 307.323.383 ; 2.126 ; 767.515.932 ; 136 ; 388.806.392 ; 109 ; 470.112.589 ; 245 ; 858.918.981 ; 2.371 ; 1.626.434.913 ;;;;
45;03.609.817;BANCO CARGILL S.A.; 75 ; 124.248.290 ; 12 ; 4.904.211 ; 21 ; 48.414.787 ; 179 ; 51.158.269 ; 287 ; 228.725.557 ; 16 ; 604.000.000 ; 18 ; 719.500.000 ; 34 ; 1.323.500.000 ; 321 ; 1.552.225.557 ;;;;
46;00.997.185;BANCO B3 S.A.;;;;; 822 ; 476.402.477 ; 829 ; 663.344.139 ; 1.651 ; 1.139.746.616 ; 192 ; 251.091.951 ; 125 ; 64.123.561 ; 317 ; 315.215.513 ; 1.968 ; 1.454.962.129 ;;;;
47;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 33 ; 3.288.379 ; 180 ; 32.126.651 ; 801 ; 105.417.134 ; 2.514 ; 556.980.192 ; 3.528 ; 697.812.356 ; 361 ; 507.414.275 ; 50 ; 27.586.429 ; 411 ; 535.000.704 ; 3.939 ; 1.232.813.059 ;;;;
48;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 15 ; 225.592.996 ;;; 13 ; 4.518.555 ; 68 ; 2.882.684 ; 96 ; 232.994.235 ; 30 ; 303.136.957 ; 42 ; 530.501.026 ; 72 ; 833.637.983 ; 168 ; 1.066.632.218 ;;;;
49;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 4.022 ; 283.556.346 ; 5.452 ; 223.275.081 ; 2.143 ; 71.645.685 ; 6.083 ; 167.759.396 ; 17.700 ; 746.236.507 ; 147 ; 170.240.064 ; 130 ; 136.417.010 ; 277 ; 306.657.075 ; 17.977 ; 1.052.893.581 ;;;;
50;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 844 ; 17.194.029 ; 3.408 ; 85.118.651 ; 9.345 ; 96.619.661 ; 15.679 ; 250.417.404 ; 29.276 ; 449.349.745 ; 13.751 ; 408.456.487 ; 1.300 ; 186.258.198 ; 15.051 ; 594.714.685 ; 44.327 ; 1.044.064.430 ;;;;
51;62.144.175;BANCO PINE S.A.; 121 ; 93.712.535 ; 912 ; 128.373.384 ; 41 ; 138.378.889 ; 273 ; 133.645.426 ; 1.347 ; 494.110.234 ; 35 ; 299.206.120 ; 69 ; 156.981.294 ; 104 ; 456.187.415 ; 1.451 ; 950.297.649 ;;;;
52;15.114.366;BANCO BOCOM BBM S.A.; 100 ; 97.010.096 ; 52 ; 2.981.681 ; 113 ; 280.053.540 ; 487 ; 185.582.803 ; 752 ; 565.628.121 ; 18 ; 82.255.634 ; 25 ; 232.255.376 ; 43 ; 314.511.009 ; 795 ; 880.139.130 ;;;;
53;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 142 ; 196.346.439 ; 99 ; 246.705.418 ; 241 ; 443.051.858 ; 77 ; 234.150.047 ; 90 ; 183.499.672 ; 167 ; 417.649.719 ; 408 ; 860.701.577 ;;;;
54;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 60 ; 14.708.327 ; 81 ; 4.070.908 ; 9.719 ; 368.579.016 ; 787 ; 46.246.717 ; 10.647 ; 433.604.969 ; 199 ; 35.236.341 ; 661 ; 368.206.684 ; 860 ; 403.443.025 ; 11.507 ; 837.047.994 ;;;;
55;07.679.404;BANCO TOPÁZIO S.A.; 45 ; 8.553.329 ; 15 ; 375.141 ; 352 ; 10.143.277 ; 1.457 ; 413.895.472 ; 1.869 ; 432.967.218 ; 1.384 ; 398.259.100 ; 17 ; 2.701.469 ; 1.401 ; 400.960.569 ; 3.270 ; 833.927.787 ;;;;
56;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 55 ; 63.375.409 ; 178 ; 135.523.331 ; 37 ; 11.579.636 ; 229 ; 131.603.645 ; 499 ; 342.082.022 ; 87 ; 314.104.761 ; 71 ; 152.610.143 ; 158 ; 466.714.905 ; 657 ; 808.796.926 ;;;;
57;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.006 ; 21.928.995 ; 8.295 ; 132.640.599 ; 8.902 ; 74.887.319 ; 20.855 ; 150.225.843 ; 39.058 ; 379.682.756 ; 2.938 ; 300.825.670 ; 932 ; 114.789.105 ; 3.870 ; 415.614.776 ; 42.928 ; 795.297.532 ;;;;
58;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 75 ; 7.479.653 ; 130 ; 2.671.491 ; 63 ; 7.990.729 ; 252 ; 227.265.397 ; 520 ; 245.407.270 ; 55 ; 374.888.184 ; 30 ; 167.138.320 ; 85 ; 542.026.505 ; 605 ; 787.433.774 ;;;;
