Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em fevereiro / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
36;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 193 ; 703.905 ; 1.865 ; 26.715.333 ; 2.058 ; 27.419.238 ; 511 ; 142.626.321 ; 137 ; 116.627.526 ; 648 ; 259.253.847 ; 2.706 ; 286.673.085 ;;;;
37;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 660 ; 70.074.171 ; 1.012 ; 54.193.590 ; 325 ; 10.576.247 ; 1.097 ; 20.440.591 ; 3.094 ; 155.284.600 ; 33 ; 49.446.140 ; 28 ; 48.463.016 ; 61 ; 97.909.156 ; 3.155 ; 253.193.756 ;;;;
38;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 37 ; 87.674.921 ; 2 ; 498.147 ; 11 ; 2.990.227 ; 32 ; 19.995.811 ; 82 ; 111.159.106 ; 23 ; 29.099.255 ; 31 ; 103.381.030 ; 54 ; 132.480.285 ; 136 ; 243.639.391 ;;;;
39;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 31 ; 486.316 ; 315 ; 7.775.711 ; 653 ; 7.200.711 ; 1.512 ; 55.389.097 ; 2.511 ; 70.851.835 ; 2.256 ; 97.152.766 ; 85 ; 41.610.801 ; 2.341 ; 138.763.566 ; 4.852 ; 209.615.401 ;;;;
40;33.923.798;BANCO MÁXIMA S.A.; 29 ; 587.783 ; 242 ; 11.806.701 ; 57 ; 18.903.957 ; 234 ; 10.830.953 ; 562 ; 42.129.393 ; 266 ; 83.190.591 ; 1.030 ; 80.834.154 ; 1.296 ; 164.024.745 ; 1.858 ; 206.154.138 ;;;;
41;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 3 ; 5.581.000 ; 16 ; 33.670.088 ; 8 ; 60.199.820 ; 71 ; 4.940.626 ; 98 ; 104.391.534 ; 8 ; 19.962.335 ; 10 ; 44.942.071 ; 18 ; 64.904.406 ; 116 ; 169.295.940 ;;;;
42;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 12 ; 713.746 ; 17 ; 296.210 ; 16 ; 70.158.229 ; 183 ; 81.378.748 ; 228 ; 152.546.933 ; 8 ; 11.570.050 ; 2 ; 4.071.650 ; 10 ; 15.641.700 ; 238 ; 168.188.633 ;;;;
43;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 10 ; 54.478 ; 753 ; 8.970.492 ; 2.807 ; 45.883.417 ; 3.570 ; 54.908.386 ; 1.403 ; 73.375.362 ; 154 ; 36.964.275 ; 1.557 ; 110.339.637 ; 5.127 ; 165.248.023 ;;;;
44;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 144 ; 68.069.491 ; 95 ; 9.451.805 ; 70 ; 2.958.497 ; 143 ; 9.452.182 ; 452 ; 89.931.974 ; 17 ; 11.850.997 ; 37 ; 60.362.007 ; 54 ; 72.213.004 ; 506 ; 162.144.978 ;;;;
45;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 120 ; 46.033.164 ; 122 ; 45.164.518 ; 242 ; 91.197.682 ; 14 ; 34.277.326 ; 28 ; 32.100.000 ; 42 ; 66.377.326 ; 284 ; 157.575.009 ;;;;
