Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Mar/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
48;03.609.817;BANCO CARGILL S.A.; 49 ; 214.695.565 ; 11 ; 1.077.281 ; 6 ; 70.241.423 ; 49 ; 82.866.242 ; 115 ; 368.880.511 ; 8 ; 9.500.000 ; 15 ; 210.500.000 ; 23 ; 220.000.000 ; 138 ; 588.880.511 ;;;;
49;15.114.366;BANCO BBM S/A; 50 ; 22.144.507 ; 11 ; 42.406.720 ; 23 ; 26.074.089 ; 103 ; 12.371.924 ; 187 ; 102.997.241 ; 22 ; 225.007.595 ; 31 ; 217.510.292 ; 53 ; 442.517.887 ; 240 ; 545.515.128 ;;;;
50;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 130 ; 2.359.715 ; 2.611 ; 73.191.070 ; 1.807 ; 24.052.108 ; 7.824 ; 157.803.983 ; 12.372 ; 257.406.875 ; 2.410 ; 205.696.673 ; 4 ; 713.148 ; 2.414 ; 206.409.820 ; 14.786 ; 463.816.696 ;;;;
51;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 380 ; 138.824.095 ; 365 ; 48.918.680 ; 223 ; 27.525.456 ; 598 ; 48.711.337 ; 1.566 ; 263.979.568 ; 62 ; 60.130.628 ; 77 ; 118.837.708 ; 139 ; 178.968.336 ; 1.705 ; 442.947.904 ;;;;
52;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 23 ; 537.317 ; 241 ; 4.516.637 ; 1.074 ; 8.846.856 ; 3.905 ; 63.893.799 ; 5.243 ; 77.794.609 ; 4.928 ; 211.788.466 ; 993 ; 151.467.022 ; 5.921 ; 363.255.489 ; 11.164 ; 441.050.098 ;;;;
53;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 74 ; 1.518.887 ; 420 ; 5.259.311 ; 3.555 ; 30.926.541 ; 17.999 ; 209.078.818 ; 22.048 ; 246.783.556 ; 2.405 ; 183.071.882 ; 42 ; 777.986 ; 2.447 ; 183.849.868 ; 24.495 ; 430.633.424 ;;;;
54;72.760.713;RENOVA S.A. CORRETORA DE CÂMBIO; 6 ; 94.407 ; 215 ; 5.588.342 ; 632 ; 5.735.581 ; 3.066 ; 34.025.638 ; 3.919 ; 45.443.968 ; 2.465 ; 190.273.783 ; 314 ; 156.514.344 ; 2.779 ; 346.788.126 ; 6.698 ; 392.232.094 ;;;;
55;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;;; 521 ; 29.574.189 ; 7.348 ; 7.470.779 ; 11.849 ; 49.759.382 ; 19.718 ; 86.804.350 ; 4.021 ; 172.293.515 ; 244 ; 100.171.542 ; 4.265 ; 272.465.057 ; 23.983 ; 359.269.407 ;;;;
56;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 6 ; 29.666 ; 88 ; 855.672 ; 1.417 ; 38.356.209 ; 3.587 ; 157.430.898 ; 5.098 ; 196.672.445 ; 2.034 ; 137.810.426 ; 1.325 ; 17.003.507 ; 3.359 ; 154.813.933 ; 8.457 ; 351.486.378 ;;;;
57;03.532.415;BANCO ABN AMRO S.A.; 55 ; 150.475.282 ; 1 ; 3.442.920 ; 16 ; 4.110.731 ; 33 ; 2.785.588 ; 105 ; 160.814.521 ; 6 ; 8.425.459 ; 82 ; 156.125.435 ; 88 ; 164.550.893 ; 193 ; 325.365.414 ;;;;
58;30.723.886;BANCO MODAL S.A.; 42 ; 6.812.286 ; 156 ; 20.477.537 ; 50 ; 23.010.335 ; 157 ; 47.924.341 ; 405 ; 98.224.498 ; 60 ; 137.632.510 ; 52 ; 88.133.830 ; 112 ; 225.766.340 ; 517 ; 323.990.838 ;;;;
59;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 150 ; 6.541.222 ; 2.927 ; 113.103.341 ; 1.136 ; 23.460.371 ; 2.839 ; 36.758.741 ; 7.052 ; 179.863.675 ; 772 ; 129.625.607 ; 39 ; 9.723.125 ; 811 ; 139.348.732 ; 7.863 ; 319.212.408 ;;;;
60;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 218 ; 7.393.599 ; 3.139 ; 88.129.673 ; 2.483 ; 35.396.886 ; 7.595 ; 62.096.851 ; 13.435 ; 193.017.008 ; 2.083 ; 116.064.111 ; 249 ; 8.800.927 ; 2.332 ; 124.865.038 ; 15.767 ; 317.882.046 ;;;;
61;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 34 ; 1.364.338 ; 57 ; 1.063.239 ; 75 ; 109.814.513 ; 477 ; 129.982.791 ; 643 ; 242.224.881 ; 28 ; 43.425.867 ; 15 ; 28.697.753 ; 43 ; 72.123.621 ; 686 ; 314.348.502 ;;;;
62;59.118.133;BANCO LUSO BRASILEIRO S.A.; 24 ; 5.320.600 ; 1.155 ; 129.561.798 ; 13 ; 30.768.256 ; 311 ; 17.484.492 ; 1.503 ; 183.135.145 ; 529 ; 119.083.011 ; 29 ; 7.890.587 ; 558 ; 126.973.598 ; 2.061 ; 310.108.743 ;;;;
63;61.024.352;BANCO INDUSVAL S.A.; 137 ; 37.898.066 ; 83 ; 14.508.665 ; 48 ; 3.008.576 ; 254 ; 21.269.221 ; 522 ; 76.684.528 ; 101 ; 97.426.794 ; 126 ; 124.176.411 ; 227 ; 221.603.205 ; 749 ; 298.287.734 ;;;;
