Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
53;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 653 ; 30.209.611 ; 1.096 ; 39.577.607 ; 736 ; 28.456.490 ; 414 ; 57.162.472 ; 2.899 ; 155.406.181 ; 19 ; 41.606.402 ; 6 ; 15.530.626 ; 25 ; 57.137.028 ; 2.924 ; 212.543.208 ;
54;62.144.175;BANCO PINE S.A.; 16 ; 15.097.252 ; 144 ; 72.737.373 ; 21 ; 10.788.414 ; 180 ; 20.823.988 ; 361 ; 119.447.027 ; 19 ; 79.654.161 ; 8 ; 7.559.620 ; 27 ; 87.213.781 ; 388 ; 206.660.808 ;
55;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 6 ; 39.337.201 ; 2 ; 455.571 ; 1 ; 314 ; 8 ; 73.396 ; 17 ; 39.866.482 ; 7 ; 51.083.080 ; 10 ; 89.980.543 ; 17 ; 141.063.623 ; 34 ; 180.930.105 ;
56;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 4 ; 19.719.235 ; 6 ; 402.938 ; 12 ; 15.928.552 ; 32 ; 23.513.198 ; 54 ; 59.563.923 ; 11 ; 49.003.330 ; 7 ; 60.204.535 ; 18 ; 109.207.865 ; 72 ; 168.771.788 ;
57;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 20 ; 38.377.105 ; 26 ; 38.584.762 ; 5 ; 118.780 ; 71 ; 3.781.738 ; 122 ; 80.862.384 ; 12 ; 38.431.903 ; 11 ; 40.440.333 ; 23 ; 78.872.236 ; 145 ; 159.734.621 ;
58;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 1 ; 38.174 ; 28 ; 66.024.570 ; 60 ; 9.095.794 ; 146 ; 9.785.824 ; 235 ; 84.944.362 ; 59 ; 70.536.006 ; 6 ; 3.860.000 ; 65 ; 74.396.006 ; 300 ; 159.340.368 ;
59;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 143 ; 4.350.838 ; 597 ; 18.350.629 ; 10.972 ; 21.531.970 ; 33.653 ; 46.904.384 ; 45.365 ; 91.137.822 ; 1.571 ; 52.440.671 ; 112 ; 13.148.034 ; 1.683 ; 65.588.705 ; 47.048 ; 156.726.527 ;
60;61.024.352;BANCO VOITER S.A.; 15 ; 17.584.558 ; 75 ; 24.083.503 ; 153 ; 26.677.625 ; 886 ; 43.008.402 ; 1.129 ; 111.354.088 ; 51 ; 36.025.632 ; 44 ; 3.029.868 ; 95 ; 39.055.500 ; 1.224 ; 150.409.587 ;
61;45.246.410;BANCO GENIAL S.A.; 11 ; 1.100.375 ; 46 ; 8.069.108 ; 270 ; 12.145.412 ; 337 ; 64.108.891 ; 664 ; 85.423.786 ; 20 ; 58.610.299 ; 3 ; 133.971 ; 23 ; 58.744.270 ; 687 ; 144.168.056 ;
62;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 98 ; 2.606.826 ; 857 ; 26.964.253 ; 1.143 ; 14.169.310 ; 4.411 ; 27.466.634 ; 6.509 ; 71.207.023 ; 711 ; 54.608.788 ; 64 ; 17.090.761 ; 775 ; 71.699.549 ; 7.284 ; 142.906.573 ;
63;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 121.458 ; 40.434.768 ; 210.361 ; 61.097.411 ; 331.819 ; 101.532.179 ; 144 ; 33.274.804 ; 181 ; 6.866.312 ; 325 ; 40.141.116 ; 332.144 ; 141.673.295 ;
64;00.416.968;BANCO INTER S.A.; 8 ; 3.612.393 ; 14 ; 225.412 ; 12.161 ; 54.768.179 ; 33.097 ; 54.616.450 ; 45.280 ; 113.222.435 ; 9 ; 9.416.429 ; 8 ; 13.541.719 ; 17 ; 22.958.148 ; 45.297 ; 136.180.583 ;
65;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 12 ; 1.235.057 ; 102 ; 12.851.100 ; 6.657 ; 18.002.651 ; 14.704 ; 35.821.017 ; 21.475 ; 67.909.824 ; 3.694 ; 45.426.853 ; 332 ; 16.048.643 ; 4.026 ; 61.475.496 ; 25.501 ; 129.385.320 ;
66;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 3 ; 425.770 ; 23 ; 2.355.888 ; 13.214 ; 14.590.560 ; 53.216 ; 45.597.880 ; 66.456 ; 62.970.097 ; 1.044 ; 35.593.276 ; 37 ; 2.600.668 ; 1.081 ; 38.193.944 ; 67.537 ; 101.164.041 ;
67;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 18 ; 1.579.529 ; 197 ; 21.407.127 ; 479 ; 7.746.732 ; 2.115 ; 25.042.631 ; 2.809 ; 55.776.019 ; 392 ; 40.998.558 ; 27 ; 3.747.031 ; 419 ; 44.745.589 ; 3.228 ; 100.521.608 ;
68;59.118.133;BANCO LUSO BRASILEIRO S.A.; 21 ; 3.595.193 ; 94 ; 32.394.701 ; 23 ; 2.240.901 ; 119 ; 2.496.852 ; 257 ; 40.727.647 ; 148 ; 43.094.058 ; 52 ; 14.081.948 ; 200 ; 57.176.006 ; 457 ; 97.903.653 ;
69;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.; 1 ; 109.670 ; 1 ; 10.947 ; 23.849 ; 10.784.381 ; 54.904 ; 45.523.236 ; 78.755 ; 56.428.235 ; 2.435 ; 37.428.306 ; 725 ; 2.249.313 ; 3.160 ; 39.677.619 ; 81.915 ; 96.105.854 ;
70;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA; 8 ; 169.837 ; 94 ; 3.333.336 ; 5.932 ; 3.112.940 ; 10.210 ; 22.872.849 ; 16.244 ; 29.488.961 ; 1.820 ; 44.483.162 ; 128 ; 21.908.115 ; 1.948 ; 66.391.277 ; 18.192 ; 95.880.238 ;
