Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
59;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 704 ; 23.688.476 ; 874 ; 31.492.051 ; 391 ; 8.387.889 ; 307 ; 15.215.590 ; 2.276 ; 78.784.005 ; 24 ; 20.433.421 ; 10 ; 5.035.787 ; 34 ; 25.469.209 ; 2.310 ; 104.253.213 ;
60;61.186.680;BANCO BMG S.A.; 1 ; 3.301.950 ;;; 7 ; 476.777 ; 35 ; 1.301.588 ; 43 ; 5.080.315 ; 2 ; 55.000.000 ; 1 ; 40.000.000 ; 3 ; 95.000.000 ; 46 ; 100.080.315 ;
61;15.114.366;BANCO BOCOM BBM S.A.; 17 ; 13.767.353 ; 1 ; 1.165.339 ; 17 ; 1.443.059 ; 167 ; 23.312.316 ; 202 ; 39.688.066 ; 12 ; 30.688.381 ; 8 ; 24.938.217 ; 20 ; 55.626.599 ; 222 ; 95.314.665 ;
62;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 3 ; 1.177.936 ; 70 ; 1.379.263 ; 129 ; 6.086.015 ; 796 ; 31.707.379 ; 998 ; 40.350.593 ; 266 ; 39.848.206 ; 122 ; 14.000.218 ; 388 ; 53.848.424 ; 1.386 ; 94.199.017 ;
63;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 189 ; 4.124.320 ; 1.169 ; 35.877.147 ; 397 ; 8.917.841 ; 525 ; 6.991.335 ; 2.280 ; 55.910.644 ; 377 ; 33.209.776 ; 44 ; 3.426.006 ; 421 ; 36.635.783 ; 2.701 ; 92.546.426 ;
64;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 3.137 ; 34.979.764 ; 8.439 ; 36.875.407 ; 11.576 ; 71.855.171 ; 40 ; 6.537.079 ; 83 ; 6.151.658 ; 123 ; 12.688.737 ; 11.699 ; 84.543.908 ;
65;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 34 ; 28.183.064 ; 50 ; 3.619.472 ; 63 ; 528.864 ; 74 ; 8.000.161 ; 221 ; 40.331.561 ; 43 ; 12.235.064 ; 33 ; 28.669.204 ; 76 ; 40.904.268 ; 297 ; 81.235.829 ;
66;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 59 ; 923.361 ; 819 ; 21.308.160 ; 282 ; 4.186.518 ; 997 ; 11.614.608 ; 2.157 ; 38.032.647 ; 977 ; 29.752.737 ; 59 ; 1.915.755 ; 1.036 ; 31.668.492 ; 3.193 ; 69.701.139 ;
67;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 22 ; 303.119 ; 671 ; 24.556.611 ; 197 ; 2.278.005 ; 581 ; 7.862.883 ; 1.471 ; 35.000.617 ; 919 ; 32.194.072 ; 107 ; 2.354.279 ; 1.026 ; 34.548.350 ; 2.497 ; 69.548.968 ;
68;76.641.497;DOURADA CORRETORA DE CÂMBIO LTDA.; 93 ; 7.059.299 ; 637 ; 19.674.389 ; 380 ; 2.624.311 ; 857 ; 6.589.821 ; 1.967 ; 35.947.820 ; 602 ; 21.344.490 ; 101 ; 4.766.518 ; 703 ; 26.111.008 ; 2.670 ; 62.058.828 ;
69;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 20 ; 13.497.501 ; 126 ; 10.589.057 ; 7 ; 371.479 ; 19 ; 1.464.949 ; 172 ; 25.922.985 ; 29 ; 14.043.819 ; 30 ; 19.044.519 ; 59 ; 33.088.338 ; 231 ; 59.011.324 ;
70;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 1 ; 4.508.900 ; 75 ; 16.405.422 ; 1 ; 64.318 ; 85 ; 4.175.025 ; 162 ; 25.153.664 ; 11 ; 26.820.900 ; 7 ; 5.933.958 ; 18 ; 32.754.858 ; 180 ; 57.908.522 ;
71;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 6 ; 241.962 ; 92 ; 25.499.742 ; 46 ; 1.028.102 ; 203 ; 2.857.877 ; 347 ; 29.627.683 ; 87 ; 27.615.007 ; 3 ; 460.000 ; 90 ; 28.075.007 ; 437 ; 57.702.690 ;
72;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 2 ; 118.150 ; 35 ; 12.490.238 ; 44 ; 11.079.521 ; 90 ; 11.928.258 ; 171 ; 35.616.167 ; 39 ; 17.304.507 ; 10 ; 4.089.831 ; 49 ; 21.394.338 ; 220 ; 57.010.505 ;
73;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 147 ; 17.375.419 ; 252 ; 16.504.640 ; 399 ; 33.880.059 ; 15 ; 16.222.511 ; 18 ; 6.900.000 ; 33 ; 23.122.511 ; 432 ; 57.002.570 ;
