Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Julho/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
34;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 105 ; 56.596.158 ; 651 ; 85.773.231 ; 109 ; 82.038.785 ; 633 ; 118.432.030 ; 1.498 ; 342.840.204 ; 114 ; 616.798.056 ; 171 ; 471.741.075 ; 285 ; 1.088.539.131 ; 1.783 ; 1.431.379.335 ;
35;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; 2 ; 25.000.000 ; -   ; -   ; 227 ; 229.951.993 ; 398 ; 299.817.760 ; 627 ; 554.769.753 ; 53 ; 433.242.566 ; 92 ; 419.500.000 ; 145 ; 852.742.566 ; 772 ; 1.407.512.319 ;
36;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE C MBIO - PRUDENCIAL; 239 ; 319.375.026 ; 733 ; 26.525.791 ; 59.184 ; 61.826.303 ; 50.404 ; 209.729.993 ; 110.560 ; 617.457.113 ; 1.360 ; 220.493.654 ; 1.389 ; 351.170.401 ; 2.749 ; 571.664.055 ; 113.309 ; 1.189.121.168 ;
37;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 10 ; 187.950.000 ; 1 ; 425 ; 28 ; 137.415.683 ; 31 ; 59.253.206 ; 70 ; 384.619.314 ; 33 ; 254.855.481 ; 37 ; 520.848.354 ; 70 ; 775.703.835 ; 140 ; 1.160.323.149 ;
38;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 165 ; 4.457.789 ; 841 ; 28.986.214 ; 118.282 ; 334.808.814 ; 5.281 ; 128.758.944 ; 124.569 ; 497.011.761 ; 1.350 ; 211.454.363 ; 5.713 ; 380.250.352 ; 7.063 ; 591.704.715 ; 131.632 ; 1.088.716.476 ;
39;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 154 ; 47.384.788 ; 695 ; 136.524.926 ; 356 ; 127.385.329 ; 435 ; 52.991.622 ; 1.640 ; 364.286.665 ; 80 ; 314.737.062 ; 80 ; 297.396.513 ; 160 ; 612.133.575 ; 1.800 ; 976.420.240 ;
40;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 62 ; 21.471.799 ; 269 ; 163.402.436 ; 4.240 ; 129.383.883 ; 770 ; 106.682.772 ; 5.341 ; 420.940.890 ; 64 ; 329.068.432 ; 37 ; 215.422.797 ; 101 ; 544.491.229 ; 5.442 ; 965.432.119 ;
41;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; -   ; -   ; 1 ; 21.709 ; 15 ; 415.262.986 ; 102 ; 348.988.508 ; 118 ; 764.273.203 ; 12 ; 189.139.946 ; 2 ; 139.160 ; 14 ; 189.279.106 ; 132 ; 953.552.309 ;
42;45.246.410;BANCO GENIAL S.A.;GENIAL - PRUDENCIAL; 6 ; 623.075 ; 96 ; 101.421.178 ; 407 ; 98.598.862 ; 551 ; 134.642.119 ; 1.060 ; 335.285.234 ; 72 ; 263.941.128 ; 30 ; 126.198.048 ; 102 ; 390.139.176 ; 1.162 ; 725.424.410 ;
43;61.186.680;BANCO BMG S.A.;BMG - PRUDENCIAL; 19 ; 133.537.898 ; -   ; -   ; 12 ; 17.416.592 ; 60 ; 184.451.849 ; 91 ; 335.406.339 ; 4 ; 181.509.912 ; 17 ; 208.195.024 ; 21 ; 389.704.936 ; 112 ; 725.111.275 ;
44;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 693 ; 196.798.650 ; 1.047 ; 54.328.066 ; 392 ; 75.266.690 ; 500 ; 32.781.004 ; 2.632 ; 359.174.410 ; 37 ; 58.666.436 ; 118 ; 241.221.815 ; 155 ; 299.888.251 ; 2.787 ; 659.062.661 ;
45;61.384.004;AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;AVENUE SECURITIES DTVM - PRUDENCIAL; -   ; -   ; -   ; -   ; 13.455 ; 32.059.012 ; 103.022 ; 281.505.022 ; 116.477 ; 313.564.034 ; 281 ; 250.117.415 ; -   ; -   ; 281 ; 250.117.415 ; 116.758 ; 563.681.449 ;
46;62.144.175;BANCO PINE S.A.;PINE - PRUDENCIAL; 52 ; 89.162.131 ; 500 ; 59.155.245 ; 35 ; 5.681.164 ; 181 ; 134.858.135 ; 768 ; 288.856.675 ; 34 ; 193.855.175 ; 59 ; 70.897.325 ; 93 ; 264.752.500 ; 861 ; 553.609.175 ;
47;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 61 ; 7.699.445 ; 142 ; 12.467.947 ; 5.862 ; 165.145.774 ; 317 ; 20.680.543 ; 6.382 ; 205.993.709 ; 200 ; 67.409.495 ; 338 ; 207.106.680 ; 538 ; 274.516.175 ; 6.920 ; 480.509.884 ;
48;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 147 ; 106.758.141 ; 117 ; 124.029.321 ; 264 ; 230.787.462 ; 59 ; 123.644.258 ; 66 ; 106.390.625 ; 125 ; 230.034.883 ; 389 ; 460.822.345 ;
49;07.450.604;BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A;BANK OF CHINA (BRASIL) - PRUDENCIAL; 34 ; 102.045.920 ; 77 ; 29.267.183 ; 28 ; 15.996.881 ; 145 ; 21.925.523 ; 284 ; 169.235.507 ; 60 ; 37.699.173 ; 61 ; 124.491.582 ; 121 ; 162.190.755 ; 405 ; 331.426.262 ;
50;00.360.305;CAIXA ECONOMICA FEDERAL;CAIXA ECON MICA FEDERAL - PRUDENCIAL; 124 ; 63.242.600 ; 96 ; 4.095.833 ; 7.226 ; 68.982.969 ; 2.386 ; 41.890.715 ; 9.832 ; 178.212.117 ; 130 ; 42.006.194 ; 142 ; 104.591.587 ; 272 ; 146.597.781 ; 10.104 ; 324.809.898 ;
51;00.416.968;BANCO INTER S.A.;INTER - PRUDENCIAL; 84 ; 6.395.796 ; 349 ; 1.631.181 ; 100.335 ; 122.084.566 ; 284.201 ; 108.289.831 ; 384.969 ; 238.401.374 ; 18 ; 24.215.358 ; 18 ; 31.286.790 ; 36 ; 55.502.148 ; 385.005 ; 293.903.522 ;
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;ADVANCED CC LTDA - PRUDENCIAL; 199 ; 8.470.750 ; 3.035 ; 56.649.517 ; 1.940 ; 32.619.159 ; 2.736 ; 44.568.634 ; 7.910 ; 142.308.060 ; 381 ; 97.048.620 ; 59 ; 37.421.556 ; 440 ; 134.470.176 ; 8.350 ; 276.778.236 ;
53;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES - PRUDENCIAL; 42 ; 83.482.187 ; -   ; -   ; 43 ; 22.537.563 ; 3 ; 10.156 ; 88 ; 106.029.906 ; -   ; -   ; 6 ; 150.000.000 ; 6 ; 150.000.000 ; 94 ; 256.029.906 ;
54;33.987.793;BANCO DE INVESTIMENTOS UBS (BRASIL) S.A.;UBS (BRASIL) - PRUDENCIAL; -   ; -   ; -   ; -   ; 40 ; 104.488.763 ; 102 ; 17.884.161 ; 142 ; 122.372.924 ; 13 ; 20.570.773 ; 17 ; 106.570.974 ; 30 ; 127.141.747 ; 172 ; 249.514.671 ;
55;03.609.817;BANCO CARGILL S.A.;BCO CARGILL S.A. - PRUDENCIAL; 13 ; 93.344.571 ; -   ; -   ; 17 ; 16.949.476 ; 50 ; 15.629.345 ; 80 ; 125.923.392 ; -   ; -   ; 4 ; 107.500.000 ; 4 ; 107.500.000 ; 84 ; 233.423.392 ;
56;01.181.521;BANCO COOPERATIVO SICREDI S.A.;BCO COOPERATIVO SICREDI - PRUDENCIAL; 1.293 ; 66.350.557 ; 1.657 ; 56.172.937 ; 1.270 ; 30.602.882 ; 484 ; 34.751.252 ; 4.704 ; 187.877.628 ; 16 ; 12.095.139 ; 17 ; 26.526.570 ; 33 ; 38.621.709 ; 4.737 ; 226.499.337 ;
57;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;CREDIT AGRICOLE - PRUDENCIAL; -   ; -   ; 29 ; 1.477.561 ; 14 ; 66.574.447 ; 27 ; 44.828.741 ; 70 ; 112.880.749 ; 11 ; 44.938.515 ; 2 ; 65.000.000 ; 13 ; 109.938.515 ; 83 ; 222.819.264 ;
58;92.894.922;BANCO ORIGINAL S.A.;ORIGINAL - PRUDENCIAL; 1 ; 4.000.000 ; 91 ; 53.224.536 ; 24 ; 19.537.123 ; 94 ; 38.261.599 ; 210 ; 115.023.258 ; 14 ; 66.242.312 ; 11 ; 36.248.338 ; 25 ; 102.490.650 ; 235 ; 217.513.908 ;
59;10.690.848;BANCO DA CHINA BRASIL S.A.;BANK OF CHINA (BRASIL) - PRUDENCIAL; 38 ; 29.164.882 ; 8 ; 7.646.033 ; 114 ; 14.045.115 ; 108 ; 10.241.024 ; 268 ; 61.097.054 ; 65 ; 61.651.856 ; 86 ; 87.035.705 ; 151 ; 148.687.561 ; 419 ; 209.784.615 ;
60;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.;MONEYCORP - PRUDENCIAL; 19 ; 1.172.049 ; 1.280 ; 61.487.677 ; 241 ; 7.854.283 ; 569 ; 23.470.444 ; 2.109 ; 93.984.453 ; 424 ; 83.146.081 ; 60 ; 7.248.421 ; 484 ; 90.394.502 ; 2.593 ; 184.378.955 ;
