Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
56;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 469 ; 10.434.157 ; 2.652 ; 34.531.908 ; 16.410 ; 106.532.397 ; 60.197 ; 713.377.318 ; 79.728 ; 864.875.781 ; 13.963 ; 632.405.089 ; 61 ; 1.602.758 ; 14.024 ; 634.007.847 ; 93.752 ; 1.498.883.628 
57;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 10.932 ; 108.407.149 ; 45.962 ; 697.991.614 ; 56.894 ; 806.398.763 ; 34.781 ; 598.776.862 ; 392 ; 7.768.087 ; 35.173 ; 606.544.949 ; 92.067 ; 1.412.943.712 
58;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 1.238 ; 22.615.766 ; 14.903 ; 312.856.748 ; 8.008 ; 105.429.202 ; 27.840 ; 309.134.146 ; 51.989 ; 750.035.862 ; 17.261 ; 536.659.153 ; 236 ; 42.585.467 ; 17.497 ; 579.244.620 ; 69.486 ; 1.329.280.482 
59;59.118.133;BANCO LUSO BRASILEIRO S.A.; 776 ; 118.550.613 ; 3.745 ; 342.670.353 ; 700 ; 112.397.803 ; 1.970 ; 95.125.812 ; 7.191 ; 668.744.581 ; 3.369 ; 423.395.992 ; 1.125 ; 216.050.164 ; 4.494 ; 639.446.155 ; 11.685 ; 1.308.190.736 
60;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 6.927 ; 363.562.828 ; 4.686 ; 133.272.373 ; 3.244 ; 92.635.846 ; 2.791 ; 286.156.591 ; 17.648 ; 875.627.637 ; 205 ; 194.773.580 ; 196 ; 236.888.931 ; 401 ; 431.662.511 ; 18.049 ; 1.307.290.147 
61;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 29 ; 2.010.415 ; 637 ; 173.586.100 ; 881 ; 413.419.268 ; 1.645 ; 395.125.323 ; 3.192 ; 984.141.106 ; 424 ; 221.423.334 ; 104 ; 68.140.000 ; 528 ; 289.563.334 ; 3.720 ; 1.273.704.440 
62;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 607 ; 336.758.494 ; 1.233 ; 99.971.895 ; 743 ; 34.533.788 ; 786 ; 40.704.286 ; 3.369 ; 511.968.463 ; 579 ; 243.122.216 ; 457 ; 468.570.475 ; 1.036 ; 711.692.692 ; 4.405 ; 1.223.661.154 
63;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 82 ; 22.104.042 ; 70 ; 10.364.555 ; 19.464 ; 547.641.084 ; 1.222 ; 23.009.241 ; 20.838 ; 603.118.924 ; 360 ; 27.444.038 ; 844 ; 563.813.498 ; 1.204 ; 591.257.536 ; 22.042 ; 1.194.376.460 
64;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 291 ; 4.390.285 ; 3.729 ; 69.315.749 ; 6.427 ; 70.529.883 ; 21.987 ; 250.144.916 ; 32.434 ; 394.380.832 ; 24.560 ; 475.646.494 ; 3.422 ; 231.446.376 ; 27.982 ; 707.092.869 ; 60.416 ; 1.101.473.701 
65;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 75 ; 259.866.286 ; 44 ; 16.881.395 ; 89 ; 184.405.751 ; 179 ; 26.842.763 ; 387 ; 487.996.195 ; 41 ; 96.033.324 ; 254 ; 494.807.405 ; 295 ; 590.840.730 ; 682 ; 1.078.836.925 
66;07.679.404;BANCO TOPÁZIO S.A.; 14 ; 1.870.716 ; 69 ; 3.380.199 ; 558 ; 30.757.750 ; 1.659 ; 467.657.638 ; 2.300 ; 503.666.304 ; 722 ; 448.610.230 ; 74 ; 10.132.862 ; 796 ; 458.743.092 ; 3.096 ; 962.409.396 
67;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 1.962 ; 42.039.984 ; 11.845 ; 320.938.214 ; 5.252 ; 78.334.102 ; 9.885 ; 121.049.342 ; 28.944 ; 562.361.643 ; 4.959 ; 351.576.673 ; 277 ; 29.891.547 ; 5.236 ; 381.468.220 ; 34.180 ; 943.829.863 
68;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 30 ; 31.934.843 ; 122 ; 36.148.830 ; 108 ; 78.354.687 ; 882 ; 133.670.550 ; 1.142 ; 280.108.910 ; 142 ; 364.239.397 ; 139 ; 287.226.726 ; 281 ; 651.466.123 ; 1.423 ; 931.575.033 
69;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 291 ; 45.726.048 ; 254 ; 5.559.433 ; 80 ; 11.714.848 ; 524 ; 364.053.125 ; 1.149 ; 427.053.454 ; 70 ; 381.226.552 ; 27 ; 69.278.246 ; 97 ; 450.504.798 ; 1.246 ; 877.558.252 
