Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
36;78.632.767;BANCO OURINVEST S.A.; 62 ; 26.110.913 ; 414 ; 16.293.246 ; 480 ; 123.447.363 ; 699 ; 37.506.573 ; 1.655 ; 203.358.094 ; 318 ; 209.271.179 ; 8.032 ; 241.245.786 ; 8.350 ; 450.516.966 ; 10.005 ; 653.875.060 ;;;;
37;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 58 ; 26.675.196 ; 165 ; 16.052.687 ; 75 ; 128.114.876 ; 107 ; 123.351.696 ; 405 ; 294.194.454 ; 119 ; 131.948.860 ; 117 ; 144.985.844 ; 236 ; 276.934.704 ; 641 ; 571.129.158 ;;;;
38;28.195.667;BANCO ABC BRASIL S.A.; 108 ; 62.591.716 ; 111 ; 10.906.782 ; 21 ; 66.319.687 ; 258 ; 47.092.753 ; 498 ; 186.910.938 ; 54 ; 142.186.815 ; 64 ; 128.565.470 ; 118 ; 270.752.285 ; 616 ; 457.663.223 ;;;;
39;13.059.145;BEXS BANCO DE CÂMBIO S/A; 46 ; 81.146.110 ; 93 ; 2.833.405 ; 164 ; 27.485.985 ; 422 ; 71.644.640 ; 725 ; 183.110.139 ; 242 ; 105.217.508 ; 242 ; 139.235.565 ; 484 ; 244.453.073 ; 1.209 ; 427.563.212 ;;;;
40;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 111 ; 113.755.210 ; 136 ; 8.316.636 ; 247 ; 122.071.846 ; 6 ; 61.900.000 ; 67 ; 167.350.000 ; 73 ; 229.250.000 ; 320 ; 351.321.846 ;;;;
41;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;;;;; 5 ; 149.160.543 ; 5 ; 131.154.348 ; 10 ; 280.314.891 ;;; 1 ; 18.000.000 ; 1 ; 18.000.000 ; 11 ; 298.314.891 ;;;;
42;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 14 ; 16.398.866 ; 41 ; 25.099.907 ; 7 ; 22.309.757 ; 93 ; 113.835.445 ; 155 ; 177.643.976 ; 6 ; 100.534.717 ; 5 ; 5.536.989 ; 11 ; 106.071.707 ; 166 ; 283.715.683 ;;;;
43;58.616.418;BANCO FIBRA S.A.; 97 ; 49.144.725 ; 472 ; 40.987.501 ; 50 ; 43.101.798 ; 147 ; 22.557.652 ; 766 ; 155.791.677 ; 13 ; 43.916.995 ; 6 ; 45.454.980 ; 19 ; 89.371.975 ; 785 ; 245.163.652 ;;;;
44;59.118.133;BANCO LUSO BRASILEIRO S.A.; 149 ; 34.432.965 ; 142 ; 53.567.710 ; 34 ; 56.205.972 ; 198 ; 19.671.732 ; 523 ; 163.878.380 ; 221 ; 21.904.845 ; 154 ; 39.308.791 ; 375 ; 61.213.636 ; 898 ; 225.092.016 ;;;;
45;15.114.366;BANCO BBM S/A; 33 ; 40.886.632 ; 4 ; 32.821.432 ; 9 ; 58.128.713 ; 33 ; 20.638.387 ; 79 ; 152.475.164 ; 7 ; 25.556.331 ; 13 ; 43.542.722 ; 20 ; 69.099.053 ; 99 ; 221.574.217 ;;;;
