Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MARÇO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
47;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 32 ; 45.999.348 ;;; 40 ; 15.050.272 ; 3 ; 260.263 ; 75 ; 61.309.882 ; 9 ; 280.124.830 ; 3 ; 5.096.248 ; 12 ; 285.221.078 ; 87 ; 346.530.959 ;
48;00.360.305;CAIXA ECONOMICA FEDERAL; 149 ; 62.131.209 ; 87 ; 6.110.238 ; 8.871 ; 40.750.874 ; 505 ; 36.028.569 ; 9.612 ; 145.020.891 ; 177 ; 53.846.373 ; 204 ; 103.941.078 ; 381 ; 157.787.451 ; 9.993 ; 302.808.342 ;
49;62.144.175;BANCO PINE S.A.; 39 ; 19.764.388 ; 380 ; 32.896.392 ; 7 ; 11.156.452 ; 72 ; 20.410.723 ; 498 ; 84.227.957 ; 16 ; 97.408.000 ; 92 ; 74.647.743 ; 108 ; 172.055.743 ; 606 ; 256.283.699 ;
50;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 303 ; 8.147.324 ; 2.151 ; 50.118.562 ; 1.896 ; 30.950.974 ; 3.518 ; 41.738.330 ; 7.868 ; 130.955.191 ; 614 ; 73.598.282 ; 157 ; 20.787.200 ; 771 ; 94.385.482 ; 8.639 ; 225.340.673 ;
51;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 937 ; 75.553.932 ; 766 ; 71.353.868 ; 567 ; 14.406.067 ; 399 ; 12.882.109 ; 2.669 ; 174.195.976 ; 17 ; 17.652.360 ; 9 ; 23.862.775 ; 26 ; 41.515.135 ; 2.695 ; 215.711.111 ;
52;10.690.848;BANCO DA CHINA BRASIL S.A.; 15 ; 34.061.700 ; 24 ; 6.568.658 ; 18 ; 25.187.839 ; 64 ; 44.441.391 ; 121 ; 110.259.588 ; 33 ; 46.111.446 ; 37 ; 54.208.880 ; 70 ; 100.320.326 ; 191 ; 210.579.913 ;
53;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 864 ; 58.799.511 ; 679 ; 33.976.594 ; 478 ; 4.509.994 ; 442 ; 44.436.321 ; 2.463 ; 141.722.420 ; 18 ; 38.298.386 ; 18 ; 27.284.891 ; 36 ; 65.583.277 ; 2.499 ; 207.305.697 ;
54;30.723.886;BANCO MODAL S.A.; 2 ; 62.916 ; 12 ; 2.631.655 ; 141 ; 77.642.196 ; 98 ; 17.964.829 ; 253 ; 98.301.596 ; 10 ; 27.016.026 ; 7 ; 79.002.224 ; 17 ; 106.018.251 ; 270 ; 204.319.847 ;
55;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 91 ; 16.924.814 ; 367 ; 36.772.670 ; 458 ; 53.697.484 ; 71 ; 75.268.153 ; 18 ; 75.350.000 ; 89 ; 150.618.153 ; 547 ; 204.315.637 ;
56;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 255 ; 5.771.419 ; 953 ; 23.926.933 ; 5.320 ; 30.755.916 ; 2.827 ; 37.410.011 ; 9.355 ; 97.864.279 ; 549 ; 54.459.201 ; 336 ; 29.480.482 ; 885 ; 83.939.684 ; 10.240 ; 181.803.963 ;
57;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 3 ; 15.206.813 ; 11 ; 40.927.506 ; 9 ; 4.352.624 ; 11 ; 182.881 ; 34 ; 60.669.824 ; 5 ; 47.055.976 ; 4 ; 59.140.480 ; 9 ; 106.196.456 ; 43 ; 166.866.280 ;
58;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 24 ; 33.059.961 ; 30 ; 4.611.592 ; 68 ; 15.503.424 ; 61 ; 22.209.210 ; 183 ; 75.384.187 ; 37 ; 19.473.451 ; 30 ; 47.169.942 ; 67 ; 66.643.392 ; 250 ; 142.027.579 ;
59;59.118.133;BANCO LUSO BRASILEIRO S.A.; 92 ; 9.917.241 ; 298 ; 46.393.418 ; 35 ; 6.060.800 ; 191 ; 4.104.428 ; 616 ; 66.475.889 ; 283 ; 52.712.933 ; 107 ; 18.188.612 ; 390 ; 70.901.545 ; 1.006 ; 137.377.434 ;
60;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 5 ; 189.146 ; 87 ; 40.534.353 ; 76 ; 26.800.205 ; 119 ; 22.043.150 ; 287 ; 89.566.854 ; 86 ; 37.161.696 ; 19 ; 1.602.000 ; 105 ; 38.763.696 ; 392 ; 128.330.550 ;
61;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 25 ; 2.875.007 ; 29 ; 1.249.670 ; 3.858 ; 58.074.286 ; 225 ; 4.248.834 ; 4.137 ; 66.447.797 ; 67 ; 2.470.860 ; 203 ; 57.922.760 ; 270 ; 60.393.620 ; 4.407 ; 126.841.418 ;
62;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 137 ; 2.804.386 ; 1.133 ; 30.394.681 ; 575 ; 12.379.917 ; 1.096 ; 14.895.290 ; 2.941 ; 60.474.272 ; 559 ; 38.861.130 ; 78 ; 8.683.830 ; 637 ; 47.544.960 ; 3.578 ; 108.019.232 ;
63;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 8 ; 2.602.738 ; 79 ; 3.130.257 ; 187 ; 7.219.786 ; 639 ; 30.167.969 ; 913 ; 43.120.749 ; 214 ; 39.428.053 ; 117 ; 16.466.794 ; 331 ; 55.894.847 ; 1.244 ; 99.015.596 ;
64;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 171 ; 3.676.034 ; 1.472 ; 33.105.877 ; 355 ; 4.844.019 ; 1.188 ; 12.890.917 ; 3.186 ; 54.516.847 ; 556 ; 40.803.340 ; 54 ; 3.395.110 ; 610 ; 44.198.451 ; 3.796 ; 98.715.297 ;
65;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 224 ; 5.159.666 ; 1.094 ; 32.247.223 ; 604 ; 8.963.295 ; 575 ; 6.771.026 ; 2.497 ; 53.141.210 ; 433 ; 32.734.904 ; 83 ; 7.837.190 ; 516 ; 40.572.094 ; 3.013 ; 93.713.303 ;
66;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 6.366 ; 42.654.466 ; 10.993 ; 36.378.634 ; 17.359 ; 79.033.100 ; 32 ; 3.658.186 ; 40 ; 8.181.464 ; 72 ; 11.839.650 ; 17.431 ; 90.872.750 ;
67;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 1 ; 500.000 ; 6 ; 2.035.862 ; 12 ; 87.587 ; 47 ; 31.479.655 ; 66 ; 34.103.104 ; 9 ; 48.890.000 ; 4 ; 7.125.200 ; 13 ; 56.015.200 ; 79 ; 90.118.304 ;
68;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 15 ; 2.355.942 ; 22 ; 1.715.109 ; 25 ; 2.905.024 ; 28 ; 30.964.778 ; 90 ; 37.940.854 ; 13 ; 37.464.054 ; 14 ; 10.002.893 ; 27 ; 47.466.947 ; 117 ; 85.407.802 ;
69;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 1 ; 6.400.000 ; 29 ; 4.854.558 ; 39 ; 20.497.731 ; 89 ; 26.815.956 ; 158 ; 58.568.246 ; 35 ; 14.215.300 ; 6 ; 9.492.000 ; 41 ; 23.707.300 ; 199 ; 82.275.546 ;
70;92.894.922;BANCO ORIGINAL S.A.; 6 ; 889.375 ; 7 ; 10.847.475 ; 44 ; 81.987 ; 101 ; 4.280.645 ; 158 ; 16.099.482 ; 9 ; 40.141.055 ; 10 ; 25.140.564 ; 19 ; 65.281.618 ; 177 ; 81.381.100 ;
71;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 85 ; 1.367.608 ; 792 ; 19.622.223 ; 693 ; 7.664.622 ; 1.264 ; 12.027.908 ; 2.834 ; 40.682.362 ; 1.262 ; 31.027.140 ; 222 ; 8.322.747 ; 1.484 ; 39.349.887 ; 4.318 ; 80.032.248 ;
72;61.186.680;BANCO BMG S.A.; 2 ; 5.345.132 ; 1 ; 1.657.803 ; 9 ; 1.100.122 ; 37 ; 4.334.815 ; 49 ; 12.437.873 ; 1 ; 36.000.000 ; 1 ; 30.000.000 ; 2 ; 66.000.000 ; 51 ; 78.437.873 ;
73;60.889.128;BANCO SOFISA S.A.; 126 ; 29.889.084 ; 60 ; 3.398.681 ; 15 ; 2.058.988 ; 63 ; 1.724.180 ; 264 ; 37.070.934 ; 3 ; 3.597.010 ; 10 ; 33.358.884 ; 13 ; 36.955.895 ; 277 ; 74.026.828 ;
74;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 34 ; 726.257 ; 628 ; 19.920.416 ; 256 ; 5.703.474 ; 589 ; 11.897.245 ; 1.507 ; 38.247.392 ; 839 ; 28.685.127 ; 155 ; 3.369.419 ; 994 ; 32.054.546 ; 2.501 ; 70.301.939 ;
75;03.609.817;BANCO CARGILL S.A.; 23 ; 32.504.296 ;;; 3 ; 1.100.000 ; 51 ; 22.630.327 ; 77 ; 56.234.623 ; 1 ; 10.000.000 ;;; 1 ; 10.000.000 ; 78 ; 66.234.623 ;
76;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 4 ; 10.186.518 ; 80 ; 14.267.411 ; 1 ; 74.113 ; 62 ; 3.379.854 ; 147 ; 27.907.895 ; 7 ; 20.000.000 ; 3 ; 13.000.000 ; 10 ; 33.000.000 ; 157 ; 60.907.895 ;
