Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
47;00.997.185;BANCO B3 S.A.;;;;; 1.080 ; 574.197.989 ; 1.071 ; 833.464.123 ; 2.151 ; 1.407.662.112 ; 276 ; 359.962.548 ; 186 ; 100.677.997 ; 462 ; 460.640.544 ; 2.613 ; 1.868.302.656 ;;;;
48;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 187 ; 263.523.723 ; 162 ; 654.214.032 ; 349 ; 917.737.756 ; 131 ; 649.385.308 ; 116 ; 257.577.388 ; 247 ; 906.962.696 ; 596 ; 1.824.700.451 ;;;;
49;07.679.404;BANCO TOPÁZIO S.A.; 61 ; 12.316.609 ; 18 ; 487.105 ; 907 ; 14.167.695 ; 2.278 ; 811.105.280 ; 3.264 ; 838.076.689 ; 3.026 ; 789.604.537 ; 25 ; 4.313.558 ; 3.051 ; 793.918.095 ; 6.315 ; 1.631.994.784 ;;;;
50;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 82 ; 131.297.771 ; 300 ; 222.157.904 ; 60 ; 15.064.828 ; 375 ; 210.590.872 ; 817 ; 579.111.374 ; 128 ; 603.937.583 ; 104 ; 361.719.104 ; 232 ; 965.656.687 ; 1.049 ; 1.544.768.061 ;;;;
51;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.171 ; 23.802.219 ; 4.867 ; 118.457.918 ; 12.911 ; 132.686.518 ; 22.558 ; 369.027.335 ; 41.507 ; 643.973.989 ; 20.459 ; 614.013.172 ; 1.853 ; 282.747.474 ; 22.312 ; 896.760.646 ; 63.819 ; 1.540.734.635 ;;;;
52;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 49 ; 5.021.308 ; 240 ; 42.074.224 ; 1.122 ; 136.124.126 ; 3.488 ; 678.888.689 ; 4.899 ; 862.108.347 ; 488 ; 615.674.682 ; 68 ; 36.021.480 ; 556 ; 651.696.162 ; 5.455 ; 1.513.804.508 ;;;;
53;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 5.440 ; 386.236.088 ; 8.042 ; 319.547.887 ; 3.032 ; 86.065.298 ; 8.702 ; 246.504.360 ; 25.216 ; 1.038.353.633 ; 221 ; 254.534.140 ; 177 ; 163.938.585 ; 398 ; 418.472.725 ; 25.614 ; 1.456.826.358 ;;;;
54;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 95 ; 8.698.390 ; 156 ; 3.181.090 ; 77 ; 9.686.350 ; 353 ; 334.390.599 ; 681 ; 355.956.430 ; 80 ; 574.638.184 ; 46 ; 250.138.320 ; 126 ; 824.776.505 ; 807 ; 1.180.732.935 ;;;;
55;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 15 ; 117.430 ; 87 ; 1.128.781 ; 5.817 ; 264.545.139 ; 81.801 ; 476.954.481 ; 87.720 ; 742.745.832 ; 2.352 ; 317.522.086 ; 4.321 ; 110.205.203 ; 6.673 ; 427.727.289 ; 94.393 ; 1.170.473.120 ;;;;
56;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 15 ; 225.592.996 ;;; 15 ; 4.521.398 ; 101 ; 10.640.230 ; 131 ; 240.754.624 ; 35 ; 349.361.789 ; 45 ; 568.738.435 ; 80 ; 918.100.224 ; 211 ; 1.158.854.848 ;;;;
