Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Mai/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
47;33.923.798;BANCO MÁXIMA S.A.; 132 ; 1.844.776 ; 700 ; 18.734.679 ; 193 ; 9.981.786 ; 494 ; 10.168.970 ; 1.519 ; 40.730.211 ; 293 ; 391.359.438 ; 1.135 ; 371.056.500 ; 1.428 ; 762.415.937 ; 2.947 ; 803.146.149 ;
48;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 1 ; 73.386 ; 224 ; 136.214.983 ; 146 ; 222.491.667 ; 1.552 ; 82.511.628 ; 1.923 ; 441.291.664 ; 218 ; 174.659.230 ; 31 ; 178.481.519 ; 249 ; 353.140.749 ; 2.172 ; 794.432.413 ;
49;61.186.680;BANCO BMG S.A.; 44 ; 106.402.546 ; 6 ; 2.041.923 ; 6 ; 5.104.954 ; 76 ; 218.159.974 ; 132 ; 331.709.396 ; 30 ; 266.523.171 ; 39 ; 178.383.272 ; 69 ; 444.906.443 ; 201 ; 776.615.839 ;
50;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 47 ; 659.488 ; 544 ; 7.634.417 ; 1.644 ; 17.331.728 ; 5.408 ; 71.433.587 ; 7.643 ; 97.059.220 ; 8.745 ; 252.907.471 ; 1.632 ; 191.723.353 ; 10.377 ; 444.630.824 ; 18.020 ; 541.690.044 ;
51;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 655 ; 16.794.239 ; 5.546 ; 115.257.142 ; 5.352 ; 54.043.964 ; 13.976 ; 111.354.293 ; 25.529 ; 297.449.637 ; 2.796 ; 192.792.846 ; 760 ; 36.919.009 ; 3.556 ; 229.711.855 ; 29.085 ; 527.161.492 ;
52;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 173 ; 3.085.865 ; 658 ; 7.056.562 ; 6.229 ; 45.448.285 ; 21.980 ; 244.109.910 ; 29.040 ; 299.700.623 ; 3.359 ; 203.886.111 ; 33 ; 1.189.093 ; 3.392 ; 205.075.205 ; 32.432 ; 504.775.827 ;
53;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 273 ; 1.394.142 ; 625 ; 6.075.655 ; 898 ; 7.469.797 ; 1.169 ; 243.348.139 ; 633 ; 238.670.617 ; 1.802 ; 482.018.757 ; 2.700 ; 489.488.553 ;
54;03.532.415;BANCO ABN AMRO S.A.; 62 ; 148.676.053 ;;; 26 ; 77.614.604 ; 80 ; 4.329.057 ; 168 ; 230.619.714 ; 9 ; 8.271.000 ; 73 ; 229.300.000 ; 82 ; 237.571.000 ; 250 ; 468.190.714 ;
55;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 14 ; 127.956 ; 167 ; 1.593.590 ; 2.592 ; 96.046.106 ; 4.540 ; 206.537.252 ; 7.313 ; 304.304.902 ; 2.898 ; 124.475.644 ; 1.037 ; 11.129.035 ; 3.935 ; 135.604.678 ; 11.248 ; 439.909.581 ;
56;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 19 ; 119.456 ; 3.503 ; 49.723.826 ; 10.861 ; 214.721.423 ; 14.383 ; 264.564.705 ; 8.809 ; 167.857.589 ; 211 ; 4.286.231 ; 9.020 ; 172.143.820 ; 23.403 ; 436.708.525 ;
