Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Junho/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
33;11.703.662;BANCO TRAVELEX S.A.;BANCO TRAVELEX - PRUDENCIAL; 2.794 ; 368.716.827 ; 13.017 ; 464.693.011 ; 35.046 ; 901.618.336 ; 31.342 ; 1.273.223.508 ; 82.199 ; 3.008.251.682 ; 12.533 ; 2.985.136.088 ; 22.787 ; 2.547.924.139 ; 35.320 ; 5.533.060.227 ; 117.519 ; 8.541.311.909 ;
34;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 433 ; 259.484.248 ; 1.473 ; 1.154.921.113 ; 29.067 ; 1.074.887.982 ; 6.235 ; 1.030.002.689 ; 37.208 ; 3.519.296.032 ; 357 ; 2.847.492.280 ; 232 ; 1.964.809.491 ; 589 ; 4.812.301.771 ; 37.797 ; 8.331.597.803 ;
35;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 139 ; 76.668.742 ; 475 ; 117.416.482 ; 274 ; 712.364.167 ; 1.837 ; 954.280.969 ; 2.725 ; 1.860.730.360 ; 607 ; 3.200.957.275 ; 576 ; 3.067.347.311 ; 1.183 ; 6.268.304.586 ; 3.908 ; 8.129.034.946 ;
36;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 623 ; 464.210.944 ; 4.064 ; 633.027.540 ; 525 ; 318.974.421 ; 3.664 ; 652.405.881 ; 8.876 ; 2.068.618.786 ; 721 ; 3.264.716.985 ; 903 ; 2.707.741.034 ; 1.624 ; 5.972.458.019 ; 10.500 ; 8.041.076.805 ;
37;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;JP MORGAN CHASE - PRUDENCIAL; -   ; -   ; -   ; -   ; 142 ; 3.461.601.675 ; 158 ; 110.254.764 ; 300 ; 3.571.856.439 ; 52 ; 223.838.469 ; 51 ; 3.576.884.660 ; 103 ; 3.800.723.129 ; 403 ; 7.372.579.568 ;
38;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 520 ; 385.921.158 ; 2.133 ; 726.632.105 ; 224 ; 94.958.475 ; 607 ; 131.250.746 ; 3.484 ; 1.338.762.484 ; 422 ; 2.898.650.162 ; 442 ; 2.738.590.147 ; 864 ; 5.637.240.309 ; 4.348 ; 6.976.002.793 ;
39;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE C MBIO - PRUDENCIAL; 985 ; 1.862.987.149 ; 4.362 ; 235.787.523 ; 181.475 ; 357.181.764 ; 202.528 ; 1.326.117.933 ; 389.350 ; 3.782.074.369 ; 6.434 ; 1.077.746.277 ; 6.627 ; 1.754.747.672 ; 13.061 ; 2.832.493.949 ; 402.411 ; 6.614.568.318 ;
40;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 490 ; 25.441.106 ; 3.779 ; 153.031.321 ; 964.084 ; 1.921.882.269 ; 30.859 ; 626.826.212 ; 999.212 ; 2.727.180.908 ; 7.736 ; 1.176.024.823 ; 29.962 ; 2.364.553.566 ; 37.698 ; 3.540.578.389 ; 1.036.910 ; 6.267.759.297 ;
41;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 4 ; 127.935.000 ; -   ; -   ; 94 ; 704.944.090 ; 498 ; 1.960.793.785 ; 596 ; 2.793.672.875 ; 48 ; 1.614.628.646 ; 60 ; 1.818.372.473 ; 108 ; 3.433.001.119 ; 704 ; 6.226.673.994 ;
42;33.987.793;BANCO DE INVESTIMENTOS UBS (BRASIL) S.A.;UBS (BRASIL) - PRUDENCIAL; -   ; -   ; -   ; -   ; 305 ; 1.302.091.540 ; 959 ; 2.015.629.248 ; 1.264 ; 3.317.720.788 ; 87 ; 1.361.141.133 ; 68 ; 637.844.921 ; 155 ; 1.998.986.054 ; 1.419 ; 5.316.706.842 ;
43;45.246.410;BANCO GENIAL S.A.;GENIAL - PRUDENCIAL; 60 ; 4.663.021 ; 287 ; 43.300.441 ; 2.320 ; 329.588.896 ; 4.045 ; 2.014.110.451 ; 6.712 ; 2.391.662.809 ; 486 ; 2.155.768.584 ; 101 ; 445.463.370 ; 587 ; 2.601.231.954 ; 7.299 ; 4.992.894.763 ;
44;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; 2 ; 30.000.000 ; 20 ; 12.365.369 ; 955 ; 1.018.140.339 ; 1.487 ; 582.114.191 ; 2.464 ; 1.642.619.899 ; 289 ; 1.398.451.376 ; 440 ; 1.801.256.000 ; 729 ; 3.199.707.376 ; 3.193 ; 4.842.327.275 ;
45;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 3.399 ; 1.144.109.454 ; 5.474 ; 360.583.477 ; 2.113 ; 230.272.118 ; 2.676 ; 112.628.209 ; 13.662 ; 1.847.593.258 ; 227 ; 337.231.851 ; 609 ; 1.238.691.280 ; 836 ; 1.575.923.131 ; 14.498 ; 3.423.516.389 ;
46;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 903 ; 1.009.640.988 ; 697 ; 1.052.870.003 ; 1.600 ; 2.062.510.991 ; 237 ; 649.446.497 ; 326 ; 606.207.073 ; 563 ; 1.255.653.570 ; 2.163 ; 3.318.164.561 ;
47;62.144.175;BANCO PINE S.A.;PINE - PRUDENCIAL; 247 ; 544.529.969 ; 3.240 ; 591.483.616 ; 211 ; 101.620.846 ; 2.756 ; 210.045.130 ; 6.454 ; 1.447.679.561 ; 165 ; 897.316.908 ; 140 ; 732.883.556 ; 305 ; 1.630.200.464 ; 6.759 ; 3.077.880.025 ;
48;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 528 ; 55.424.560 ; 539 ; 34.200.891 ; 31.307 ; 1.222.686.468 ; 1.797 ; 101.023.048 ; 34.171 ; 1.413.334.967 ; 751 ; 222.878.329 ; 1.549 ; 1.365.832.243 ; 2.300 ; 1.588.710.572 ; 36.471 ; 3.002.045.539 ;
49;00.360.305;CAIXA ECONOMICA FEDERAL;CAIXA ECON MICA FEDERAL - PRUDENCIAL; 559 ; 231.530.279 ; 463 ; 23.286.184 ; 42.037 ; 985.819.293 ; 11.221 ; 282.185.418 ; 54.280 ; 1.522.821.174 ; 780 ; 257.607.461 ; 831 ; 1.151.991.789 ; 1.611 ; 1.409.599.250 ; 55.891 ; 2.932.420.424 ;
50;10.690.848;BANCO DA CHINA BRASIL S.A.;BANK OF CHINA (BRASIL) - PRUDENCIAL; 173 ; 439.899.240 ; 96 ; 39.269.910 ; 683 ; 223.982.400 ; 468 ; 226.866.781 ; 1.420 ; 930.018.331 ; 469 ; 638.521.713 ; 546 ; 1.036.122.474 ; 1.015 ; 1.674.644.187 ; 2.435 ; 2.604.662.518 ;
51;61.384.004;AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;AVENUE SECURITIES DTVM - PRUDENCIAL; -   ; -   ; -   ; -   ; 78.045 ; 159.104.256 ; 583.782 ; 1.092.504.058 ; 661.827 ; 1.251.608.314 ; 1.378 ; 933.683.602 ; 5 ; 1.329.780 ; 1.383 ; 935.013.382 ; 663.210 ; 2.186.621.696 ;
52;07.450.604;BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A;BANK OF CHINA (BRASIL) - PRUDENCIAL; 187 ; 364.299.131 ; 402 ; 174.711.012 ; 129 ; 204.356.191 ; 573 ; 171.369.829 ; 1.291 ; 914.736.163 ; 232 ; 504.206.017 ; 215 ; 745.417.478 ; 447 ; 1.249.623.495 ; 1.738 ; 2.164.359.658 ;
53;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES - PRUDENCIAL; 278 ; 393.607.895 ; -   ; -   ; 318 ; 82.750.884 ; 14 ; 501.986 ; 610 ; 476.860.765 ; 1 ; 2.234.800 ; 33 ; 1.588.863.560 ; 34 ; 1.591.098.360 ; 644 ; 2.067.959.125 ;
54;61.186.680;BANCO BMG S.A.;BMG - PRUDENCIAL; 86 ; 393.154.378 ; 6 ; 39.000 ; 52 ; 32.586.974 ; 349 ; 89.962.779 ; 493 ; 515.743.131 ; 19 ; 302.995.058 ; 69 ; 804.467.252 ; 88 ; 1.107.462.310 ; 581 ; 1.623.205.441 ;
55;00.416.968;BANCO INTER S.A.;INTER - PRUDENCIAL; 363 ; 25.509.359 ; 1.561 ; 5.347.245 ; 523.122 ; 627.341.200 ; 1.490.192 ; 538.176.506 ; 2.015.238 ; 1.196.374.310 ; 35 ; 111.682.371 ; 39 ; 213.497.384 ; 74 ; 325.179.755 ; 2.015.312 ; 1.521.554.065 ;
56;01.181.521;BANCO COOPERATIVO SICREDI S.A.;BCO COOPERATIVO SICREDI - PRUDENCIAL; 5.756 ; 339.893.421 ; 9.322 ; 387.650.302 ; 6.359 ; 128.074.282 ; 2.843 ; 254.232.497 ; 24.280 ; 1.109.850.502 ; 109 ; 287.453.193 ; 46 ; 121.782.640 ; 155 ; 409.235.833 ; 24.435 ; 1.519.086.335 ;
57;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;ADVANCED CC LTDA - PRUDENCIAL; 1.010 ; 25.657.378 ; 15.789 ; 284.965.341 ; 10.023 ; 180.634.190 ; 17.160 ; 275.969.045 ; 43.982 ; 767.225.954 ; 2.192 ; 475.810.682 ; 372 ; 125.458.526 ; 2.564 ; 601.269.208 ; 46.546 ; 1.368.495.162 ;
58;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;CREDIT AGRICOLE - PRUDENCIAL; 8 ; 80.917.228 ; 131 ; 7.291.360 ; 96 ; 410.892.835 ; 178 ; 285.529.283 ; 413 ; 784.630.706 ; 56 ; 90.753.242 ; 31 ; 290.083.706 ; 87 ; 380.836.948 ; 500 ; 1.165.467.654 ;
59;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.;ICBC DO BRASIL BM S.A. - PRUDENCIAL; 20 ; 100.000.000 ; 28 ; 57.448.261 ; 59 ; 10.019.342 ; 98 ; 97.343.337 ; 205 ; 264.810.940 ; 121 ; 447.513.801 ; 94 ; 393.162.095 ; 215 ; 840.675.896 ; 420 ; 1.105.486.836 ;
60;60.889.128;BANCO SOFISA S.A.;SOFISA - PRUDENCIAL; 1.328 ; 297.625.130 ; 1.097 ; 81.631.428 ; 113 ; 30.974.489 ; 974 ; 111.167.516 ; 3.512 ; 521.398.563 ; 60 ; 190.725.060 ; 64 ; 341.813.483 ; 124 ; 532.538.543 ; 3.636 ; 1.053.937.106 ;
