Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
47;45.246.410;PLURAL S.A. BANCO MÚLTIPLO; 17 ; 1.682.973 ; 46 ; 2.623.220 ; 164 ; 22.000.596 ; 412 ; 165.422.595 ; 639 ; 191.729.385 ; 51 ; 144.856.810 ; 5 ; 411.178 ; 56 ; 145.267.989 ; 695 ; 336.997.373 ;
48;00.360.305;CAIXA ECONOMICA FEDERAL; 111 ; 14.317.184 ; 87 ; 3.322.888 ; 9.215 ; 86.420.881 ; 571 ; 46.974.954 ; 9.984 ; 151.035.907 ; 195 ; 53.980.174 ; 224 ; 127.768.340 ; 419 ; 181.748.514 ; 10.403 ; 332.784.421 ;
49;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 16 ; 2.230.743 ; 58 ; 3.908.306 ; 3.335 ; 137.881.252 ; 196 ; 5.993.218 ; 3.605 ; 150.013.519 ; 52 ; 4.293.974 ; 154 ; 134.505.217 ; 206 ; 138.799.190 ; 3.811 ; 288.812.710 ;
50;00.997.185;BANCO B3 S.A.;;;;; 113 ; 78.005.018 ; 116 ; 104.290.427 ; 229 ; 182.295.445 ; 56 ; 60.321.032 ; 42 ; 34.029.300 ; 98 ; 94.350.332 ; 327 ; 276.645.777 ;
51;15.114.366;BANCO BOCOM BBM S.A.; 6 ; 2.021.781 ; 1 ; 2.650 ; 17 ; 1.980.370 ; 191 ; 11.743.112 ; 215 ; 15.747.913 ; 17 ; 238.039.654 ; 3 ; 17.539.982 ; 20 ; 255.579.636 ; 235 ; 271.327.549 ;
52;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 9 ; 52.192.924 ; 9 ; 1.458.432 ; 3 ; 681.008 ; 15 ; 945.687 ; 36 ; 55.278.051 ; 9 ; 70.344.834 ; 12 ; 95.158.634 ; 21 ; 165.503.468 ; 57 ; 220.781.519 ;
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 231 ; 6.650.554 ; 2.253 ; 49.122.523 ; 1.823 ; 28.994.272 ; 3.988 ; 44.134.184 ; 8.295 ; 128.901.532 ; 529 ; 73.045.184 ; 74 ; 15.644.356 ; 603 ; 88.689.540 ; 8.898 ; 217.591.072 ;
54;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;; 3 ; 55.840.088 ; 3 ; 55.840.088 ;;; 3 ; 157.852.718 ; 3 ; 157.852.718 ; 6 ; 213.692.806 ;
55;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 163 ; 3.647.262 ; 1.208 ; 36.091.760 ; 3.967 ; 27.085.341 ; 3.064 ; 43.322.014 ; 8.402 ; 110.146.378 ; 905 ; 67.087.646 ; 197 ; 18.504.003 ; 1.102 ; 85.591.648 ; 9.504 ; 195.738.026 ;
56;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 6 ; 1.294.140 ; 67 ; 1.456.029 ; 119 ; 42.452.402 ; 846 ; 38.654.555 ; 1.038 ; 83.857.125 ; 254 ; 47.970.210 ; 125 ; 51.627.609 ; 379 ; 99.597.819 ; 1.417 ; 183.454.944 ;
57;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 36 ; 39.437.553 ; 76 ; 25.957.936 ; 16 ; 10.781.644 ; 43 ; 15.364.258 ; 171 ; 91.541.391 ; 39 ; 27.165.000 ; 40 ; 43.223.593 ; 79 ; 70.388.593 ; 250 ; 161.929.984 ;
58;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 6 ; 51.475.929 ; 9 ; 728.349 ; 7 ; 2.351.768 ; 47 ; 1.118.746 ; 69 ; 55.674.791 ; 10 ; 51.826.714 ; 9 ; 53.744.941 ; 19 ; 105.571.656 ; 88 ; 161.246.447 ;
59;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 2 ; 3.913.800 ; 5 ; 1.819.007 ; 12 ; 48.357.039 ; 71 ; 74.569.769 ; 90 ; 128.659.615 ; 3 ; 20.781.760 ; 1 ; 784.640 ; 4 ; 21.566.400 ; 94 ; 150.226.015 ;
60;02.318.507;BANCO KEB HANA DO BRASIL S.A.;;; 59 ; 39.485.314 ; 57 ; 32.634.002 ; 90 ; 18.462.873 ; 206 ; 90.582.189 ; 55 ; 41.398.089 ; 7 ; 16.093.176 ; 62 ; 57.491.266 ; 268 ; 148.073.454 ;
61;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 687 ; 42.053.552 ; 540 ; 28.344.676 ; 399 ; 6.081.540 ; 525 ; 18.539.498 ; 2.151 ; 95.019.266 ; 22 ; 18.023.396 ; 23 ; 20.232.587 ; 45 ; 38.255.983 ; 2.196 ; 133.275.249 ;
62;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 121 ; 3.709.542 ; 1.445 ; 38.195.246 ; 361 ; 12.648.414 ; 1.235 ; 23.521.582 ; 3.162 ; 78.074.784 ; 482 ; 47.785.707 ; 16 ; 2.446.148 ; 498 ; 50.231.855 ; 3.660 ; 128.306.639 ;
63;03.609.817;BANCO CARGILL S.A.; 63 ; 60.458.322 ;;; 10 ; 4.674.269 ; 12 ; 657.253 ; 85 ; 65.789.844 ;;; 3 ; 55.000.000 ; 3 ; 55.000.000 ; 88 ; 120.789.844 ;
64;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 778 ; 32.633.244 ; 821 ; 31.346.768 ; 495 ; 11.469.263 ; 326 ; 9.467.374 ; 2.420 ; 84.916.650 ; 16 ; 10.774.230 ; 7 ; 14.200.305 ; 23 ; 24.974.535 ; 2.443 ; 109.891.185 ;
65;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 120 ; 3.217.038 ; 1.217 ; 31.994.319 ; 570 ; 12.764.676 ; 1.334 ; 16.253.487 ; 3.241 ; 64.229.520 ; 652 ; 37.639.680 ; 36 ; 5.346.802 ; 688 ; 42.986.482 ; 3.929 ; 107.216.002 ;
66;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 3.537 ; 40.840.984 ; 9.929 ; 48.047.892 ; 13.466 ; 88.888.876 ; 91 ; 13.400.656 ; 111 ; 3.743.963 ; 202 ; 17.144.619 ; 13.668 ; 106.033.495 ;
67;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 30 ; 28.343.976 ; 38 ; 4.499.175 ; 78 ; 812.375 ; 82 ; 7.861.886 ; 228 ; 41.517.413 ; 40 ; 25.032.975 ; 37 ; 34.112.101 ; 77 ; 59.145.076 ; 305 ; 100.662.489 ;
68;59.118.133;BANCO LUSO BRASILEIRO S.A.; 100 ; 13.589.691 ; 308 ; 23.152.699 ; 43 ; 9.627.718 ; 150 ; 2.365.199 ; 601 ; 48.735.308 ; 274 ; 25.723.875 ; 126 ; 23.429.179 ; 400 ; 49.153.054 ; 1.001 ; 97.888.362 ;
69;61.186.680;BANCO BMG S.A.; 3 ; 3.850.479 ; 3 ; 2.210.061 ; 5 ; 395.856 ; 25 ; 984.968 ; 36 ; 7.441.363 ; 1 ; 35.000.000 ; 2 ; 55.000.000 ; 3 ; 90.000.000 ; 39 ; 97.441.363 ;
70;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 115 ; 43.113.576 ; 263 ; 18.184.989 ; 378 ; 61.298.565 ; 14 ; 4.180.000 ; 23 ; 29.450.000 ; 37 ; 33.630.000 ; 415 ; 94.928.565 ;
71;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 190 ; 4.354.181 ; 1.013 ; 27.310.458 ; 502 ; 11.678.494 ; 554 ; 11.565.251 ; 2.259 ; 54.908.383 ; 352 ; 28.267.678 ; 53 ; 5.386.406 ; 405 ; 33.654.084 ; 2.664 ; 88.562.467 ;
72;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 71 ; 1.310.940 ; 761 ; 21.898.346 ; 433 ; 7.366.453 ; 1.088 ; 14.271.016 ; 2.353 ; 44.846.755 ; 996 ; 30.966.042 ; 101 ; 3.472.067 ; 1.097 ; 34.438.108 ; 3.450 ; 79.284.863 ;
73;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 4 ; 13.129.644 ; 130 ; 18.873.231 ; 2 ; 329.435 ; 111 ; 2.917.725 ; 247 ; 35.250.035 ; 7 ; 22.612.150 ; 4 ; 18.166.489 ; 11 ; 40.778.639 ; 258 ; 76.028.674 ;
74;00.795.423;BANCO SEMEAR S.A.;;; 24 ; 607.008 ; 13 ; 34.131.466 ; 20 ; 33.732.275 ; 57 ; 68.470.749 ; 31 ; 2.171.346 ; 4 ; 970.730 ; 35 ; 3.142.076 ; 92 ; 71.612.825 ;
75;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 30 ; 539.952 ; 605 ; 21.645.095 ; 232 ; 4.686.997 ; 614 ; 7.989.677 ; 1.481 ; 34.861.722 ; 834 ; 27.846.106 ; 128 ; 3.424.452 ; 962 ; 31.270.558 ; 2.443 ; 66.132.280 ;
76;92.894.922;BANCO ORIGINAL S.A.; 5 ; 10.574.462 ; 11 ; 1.594.844 ; 46 ; 3.461.984 ; 105 ; 19.130.845 ; 167 ; 34.762.134 ; 9 ; 20.303.884 ; 7 ; 10.305.403 ; 16 ; 30.609.287 ; 183 ; 65.371.421 ;
