Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Fev/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
44;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 18 ; 121.598 ; 1.715 ; 19.038.960 ; 7.764 ; 126.017.033 ; 9.497 ; 145.177.591 ; 3.510 ; 185.260.605 ; 297 ; 76.628.296 ; 3.807 ; 261.888.901 ; 13.304 ; 407.066.492 ;;;;
45;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 9 ; 3.748.766 ;;; 294 ; 69.923.490 ; 162 ; 38.235.295 ; 465 ; 111.907.551 ; 57 ; 128.851.687 ; 81 ; 164.157.800 ; 138 ; 293.009.487 ; 603 ; 404.917.038 ;;;;
46;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 53 ; 106.454.079 ; 3 ; 1.158.852 ; 21 ; 4.560.459 ; 61 ; 21.733.209 ; 138 ; 133.906.599 ; 41 ; 52.065.162 ; 57 ; 151.391.144 ; 98 ; 203.456.306 ; 236 ; 337.362.905 ;;;;
47;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 264 ; 110.194.778 ; 234 ; 30.173.977 ; 158 ; 8.333.097 ; 355 ; 23.098.766 ; 1.011 ; 171.800.618 ; 39 ; 39.774.910 ; 61 ; 96.279.083 ; 100 ; 136.053.993 ; 1.111 ; 307.854.611 ;;;;
48;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 76 ; 1.366.735 ; 1.755 ; 50.028.828 ; 1.180 ; 14.302.678 ; 4.458 ; 103.710.373 ; 7.469 ; 169.408.615 ; 1.382 ; 138.058.768 ; 2 ; 119.427 ; 1.384 ; 138.178.195 ; 8.853 ; 307.586.810 ;;;;
49;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 10 ; 156.954 ; 174 ; 3.666.042 ; 690 ; 5.756.359 ; 2.539 ; 43.249.698 ; 3.413 ; 52.829.053 ; 3.189 ; 146.550.695 ; 657 ; 105.272.211 ; 3.846 ; 251.822.906 ; 7.259 ; 304.651.959 ;;;;
50;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 40 ; 727.539 ; 271 ; 3.583.539 ; 2.246 ; 19.867.317 ; 11.718 ; 139.431.183 ; 14.275 ; 163.609.578 ; 1.493 ; 122.924.724 ; 26 ; 477.618 ; 1.519 ; 123.402.343 ; 15.794 ; 287.011.920 ;;;;
51;72.760.713;RENOVA S.A. CORRETORA DE CÂMBIO; 6 ; 94.407 ; 129 ; 3.434.961 ; 422 ; 3.552.842 ; 2.052 ; 21.164.624 ; 2.609 ; 28.246.833 ; 1.452 ; 137.690.574 ; 219 ; 116.748.349 ; 1.671 ; 254.438.923 ; 4.280 ; 282.685.756 ;;;;
52;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 5 ; 18.581.000 ; 34 ; 62.208.137 ; 16 ; 74.581.139 ; 136 ; 14.165.074 ; 191 ; 169.535.350 ; 25 ; 44.642.380 ; 19 ; 61.118.896 ; 44 ; 105.761.275 ; 235 ; 275.296.625 ;;;;
53;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 27 ; 1.281.151 ; 32 ; 611.109 ; 48 ; 89.321.571 ; 423 ; 113.329.917 ; 530 ; 204.543.748 ; 25 ; 41.424.460 ; 11 ; 21.946.320 ; 36 ; 63.370.780 ; 566 ; 267.914.529 ;;;;
54;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;;; 327 ; 19.678.678 ; 4.505 ; 4.701.198 ; 7.531 ; 33.627.315 ; 12.363 ; 58.007.191 ; 2.531 ; 122.846.229 ; 156 ; 73.983.531 ; 2.687 ; 196.829.760 ; 15.050 ; 254.836.951 ;;;;
55;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 4 ; 17.459 ; 56 ; 574.979 ; 910 ; 23.686.019 ; 2.469 ; 106.791.116 ; 3.439 ; 131.069.574 ; 1.302 ; 98.087.285 ; 932 ; 12.441.167 ; 2.234 ; 110.528.452 ; 5.673 ; 241.598.026 ;;;;
56;03.609.817;BANCO CARGILL S.A.; 33 ; 114.064.029 ; 9 ; 937.595 ; 3 ; 75.173 ; 22 ; 4.911.993 ; 67 ; 119.988.790 ; 4 ; 5.250.000 ; 10 ; 112.750.000 ; 14 ; 118.000.000 ; 81 ; 237.988.790 ;;;;
57;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 101 ; 4.874.085 ; 1.799 ; 79.438.539 ; 762 ; 19.703.951 ; 1.864 ; 26.754.782 ; 4.526 ; 130.771.357 ; 484 ; 90.058.834 ; 26 ; 8.303.637 ; 510 ; 98.362.471 ; 5.036 ; 229.133.829 ;;;;
58;59.118.133;BANCO LUSO BRASILEIRO S.A.; 17 ; 3.958.339 ; 743 ; 94.721.514 ; 6 ; 30.009.616 ; 201 ; 11.177.237 ; 967 ; 139.866.705 ; 298 ; 77.231.663 ; 17 ; 5.466.050 ; 315 ; 82.697.712 ; 1.282 ; 222.564.418 ;;;;
