Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em AGOSTO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
37;33.923.798;BANCO MÁXIMA S.A.; 103 ; 80.613.322 ; 388 ; 10.856.016 ; 1.866 ; 74.569.559 ; 14.534 ; 103.339.870 ; 16.891 ; 269.378.768 ; 67 ; 106.536.303 ; 59 ; 145.960.168 ; 126 ; 252.496.471 ; 17.017 ; 521.875.239 ;;;;
38;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 76 ; 57.452.004 ;;; 103 ; 29.260.809 ; 25 ; 203.211 ; 204 ; 86.916.023 ; 1 ; 249.025.770 ; 7 ; 135.000.000 ; 8 ; 384.025.770 ; 212 ; 470.941.793 ;;;;
39;10.690.848;BANCO DA CHINA BRASIL S.A.; 9 ; 209.251.967 ; 22 ; 5.180.223 ; 22 ; 14.120.945 ; 30 ; 15.539.046 ; 83 ; 244.092.181 ; 22 ; 10.697.517 ; 20 ; 213.497.943 ; 42 ; 224.195.460 ; 125 ; 468.287.641 ;;;;
40;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 167 ; 112.573.344 ; 614 ; 113.989.296 ; 394 ; 32.727.297 ; 500 ; 46.292.991 ; 1.675 ; 305.582.929 ; 50 ; 70.916.330 ; 51 ; 70.936.679 ; 101 ; 141.853.009 ; 1.776 ; 447.435.938 ;;;;
41;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 85 ; 43.336.317 ; 134 ; 34.746.777 ; 89 ; 3.046.417 ; 139 ; 45.400.302 ; 447 ; 126.529.813 ; 80 ; 144.551.069 ; 86 ; 172.712.088 ; 166 ; 317.263.157 ; 613 ; 443.792.970 ;;;;
42;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 224 ; 195.172.983 ; 456 ; 108.858.253 ; 680 ; 304.031.235 ; 14 ; 11.146.317 ; 71 ; 97.500.000 ; 85 ; 108.646.317 ; 765 ; 412.677.552 ;;;;
43;58.616.418;BANCO FIBRA S.A.; 75 ; 91.618.518 ; 446 ; 54.072.648 ; 88 ; 12.026.541 ; 233 ; 27.107.012 ; 842 ; 184.824.720 ; 26 ; 110.007.176 ; 23 ; 105.507.061 ; 49 ; 215.514.237 ; 891 ; 400.338.957 ;;;;
44;00.997.185;BANCO B3 S.A.;;;;; 125 ; 100.880.234 ; 142 ; 128.833.837 ; 267 ; 229.714.072 ; 58 ; 63.403.367 ; 29 ; 35.561.273 ; 87 ; 98.964.641 ; 354 ; 328.678.712 ;;;;
45;07.679.404;BANCO TOPÁZIO S.A.; 13 ; 2.877.452 ; 2 ; 71.651 ; 389 ; 3.839.984 ; 340 ; 121.233.193 ; 744 ; 128.022.280 ; 476 ; 119.852.647 ; 14 ; 5.470.799 ; 490 ; 125.323.446 ; 1.234 ; 253.345.727 ;;;;
46;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 207 ; 3.577.993 ; 611 ; 14.150.182 ; 2.556 ; 20.718.186 ; 3.006 ; 40.571.719 ; 6.380 ; 79.018.079 ; 2.366 ; 77.077.885 ; 291 ; 46.706.491 ; 2.657 ; 123.784.376 ; 9.037 ; 202.802.455 ;;;;
47;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 10 ; 332.939 ; 13 ; 164.473 ; 7 ; 456.840 ; 43 ; 46.467.210 ; 73 ; 47.421.461 ; 12 ; 93.750.000 ; 7 ; 50.000.000 ; 19 ; 143.750.000 ; 92 ; 191.171.461 ;;;;
48;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 16 ; 16.331.370 ; 72 ; 49.911.475 ; 13 ; 5.541.462 ; 41 ; 4.107.749 ; 142 ; 75.892.055 ; 21 ; 75.676.036 ; 20 ; 36.708.980 ; 41 ; 112.385.016 ; 183 ; 188.277.071 ;;;;
49;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 943 ; 64.633.306 ; 1.116 ; 37.299.925 ; 531 ; 11.326.439 ; 1.138 ; 17.794.601 ; 3.728 ; 131.054.272 ; 28 ; 13.356.091 ; 39 ; 30.525.329 ; 67 ; 43.881.420 ; 3.795 ; 174.935.692 ;;;;
50;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 231 ; 4.821.017 ; 1.582 ; 22.289.936 ; 1.926 ; 14.734.056 ; 3.936 ; 24.599.675 ; 7.675 ; 66.444.684 ; 628 ; 63.753.671 ; 240 ; 36.164.167 ; 868 ; 99.917.838 ; 8.543 ; 166.362.522 ;;;;
51;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 24 ; 23.743.164 ; 31 ; 54.998.938 ; 55 ; 78.742.101 ; 9 ; 49.226.046 ; 9 ; 18.530.127 ; 18 ; 67.756.173 ; 73 ; 146.498.274 ;;;;
52;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 31 ; 70.661.867 ; 29 ; 1.048.948 ; 24 ; 602.631 ; 24 ; 677.373 ; 108 ; 72.990.819 ; 9 ; 1.862.958 ; 19 ; 71.272.475 ; 28 ; 73.135.433 ; 136 ; 146.126.252 ;;;;
53;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 911 ; 43.006.314 ; 16.495 ; 60.290.087 ; 17.406 ; 103.296.401 ; 285 ; 23.897.960 ; 255 ; 6.444.803 ; 540 ; 30.342.762 ; 17.946 ; 133.639.163 ;;;;
54;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 5 ; 1.174.064 ; 24 ; 867.808 ; 1.707 ; 56.320.502 ; 156 ; 6.671.238 ; 1.892 ; 65.033.612 ; 58 ; 4.947.873 ; 161 ; 54.902.531 ; 219 ; 59.850.405 ; 2.111 ; 124.884.017 ;;;;
55;30.723.886;BANCO MODAL S.A.; 6 ; 7.317.623 ; 68 ; 6.048.324 ; 94 ; 39.716.302 ; 106 ; 28.083.146 ; 274 ; 81.165.396 ; 3 ; 13.000.000 ; 9 ; 26.500.000 ; 12 ; 39.500.000 ; 286 ; 120.665.396 ;;;;
56;15.114.366;BANCO BOCOM BBM S.A.; 27 ; 6.343.427 ; 11 ; 1.709.692 ; 28 ; 18.734.953 ; 102 ; 3.460.826 ; 168 ; 30.248.899 ; 6 ; 20.185.054 ; 9 ; 65.183.877 ; 15 ; 85.368.931 ; 183 ; 115.617.830 ;;;;
57;03.609.817;BANCO CARGILL S.A.; 7 ; 20.120.213 ;;; 2 ; 10.001.250 ; 17 ; 1.425.193 ; 26 ; 31.546.656 ;;; 3 ; 77.000.000 ; 3 ; 77.000.000 ; 29 ; 108.546.656 ;;;;
58;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 811 ; 39.204.526 ; 395 ; 9.361.002 ; 338 ; 11.005.695 ; 238 ; 12.340.635 ; 1.782 ; 71.911.859 ; 7 ; 3.259.520 ; 28 ; 31.978.750 ; 35 ; 35.238.270 ; 1.817 ; 107.150.129 ;;;;
59;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 52 ; 43.495.544 ; 50 ; 4.409.977 ; 54 ; 669.883 ; 84 ; 2.266.854 ; 240 ; 50.842.258 ; 38 ; 8.881.165 ; 40 ; 44.472.842 ; 78 ; 53.354.006 ; 318 ; 104.196.264 ;;;;
60;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;; 1 ; 24.122.280 ; 1 ; 24.122.280 ;;; 1 ; 78.333.456 ; 1 ; 78.333.456 ; 2 ; 102.455.736 ;;;;
61;00.460.065;COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 133 ; 198.491 ; 235 ; 571.745 ; 368 ; 770.236 ; 494 ; 49.204.581 ; 347 ; 48.827.488 ; 841 ; 98.032.069 ; 1.209 ; 98.802.305 ;;;;
62;45.246.410;PLURAL S.A. BANCO MÚLTIPLO; 13 ; 976.259 ; 13 ; 1.855.464 ; 195 ; 24.175.097 ; 274 ; 28.078.799 ; 495 ; 55.085.619 ; 35 ; 23.364.004 ; 15 ; 18.605.898 ; 50 ; 41.969.902 ; 545 ; 97.055.521 ;;;;
63;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 54 ; 678.241 ; 231 ; 2.668.243 ; 1.528 ; 11.587.685 ; 3.615 ; 42.844.077 ; 5.428 ; 57.778.245 ; 723 ; 33.529.523 ; 9 ; 411.405 ; 732 ; 33.940.927 ; 6.160 ; 91.719.173 ;;;;
64;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 101 ; 1.540.327 ; 1.043 ; 21.039.935 ; 668 ; 8.565.060 ; 1.684 ; 15.317.321 ; 3.496 ; 46.462.643 ; 1.004 ; 35.771.969 ; 70 ; 9.272.486 ; 1.074 ; 45.044.454 ; 4.570 ; 91.507.097 ;;;;
65;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 913 ; 9.682.526 ; 2.861 ; 41.466.814 ; 3.774 ; 51.149.341 ; 2.691 ; 31.853.805 ; 14 ; 189.903 ; 2.705 ; 32.043.707 ; 6.479 ; 83.193.048 ;;;;
66;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 5 ; 7.374.002 ; 6 ; 1.369.098 ; 8 ; 581.873 ; 49 ; 1.810.686 ; 68 ; 11.135.660 ; 7 ; 28.075.655 ; 7 ; 33.075.856 ; 14 ; 61.151.511 ; 82 ; 72.287.171 ;;;;
67;59.118.133;BANCO LUSO BRASILEIRO S.A.; 33 ; 3.677.553 ; 308 ; 17.821.444 ; 43 ; 8.514.022 ; 167 ; 4.186.270 ; 551 ; 34.199.290 ; 207 ; 23.881.797 ; 82 ; 12.686.546 ; 289 ; 36.568.343 ; 840 ; 70.767.633 ;;;;
68;61.186.680;BANCO BMG S.A.; 4 ; 516.932 ; 4 ; 1.865.162 ; 10 ; 11.048.783 ; 34 ; 8.047.853 ; 52 ; 21.478.730 ; 1 ; 22.000.000 ; 6 ; 20.650.232 ; 7 ; 42.650.232 ; 59 ; 64.128.962 ;;;;
69;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 7 ; 18.046.146 ;;; 3 ; 142.181 ; 25 ; 1.322.990 ; 35 ; 19.511.317 ; 3 ; 3.892.882 ; 9 ; 37.396.509 ; 12 ; 41.289.391 ; 47 ; 60.800.708 ;;;;
70;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 195 ; 3.467.147 ; 824 ; 19.081.442 ; 554 ; 9.049.511 ; 691 ; 6.034.206 ; 2.264 ; 37.632.306 ; 322 ; 16.399.746 ; 31 ; 3.814.227 ; 353 ; 20.213.973 ; 2.617 ; 57.846.279 ;;;;
71;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 114 ; 1.562.922 ; 1.125 ; 19.994.860 ; 352 ; 4.601.672 ; 995 ; 7.624.666 ; 2.586 ; 33.784.120 ; 417 ; 22.321.598 ; 17 ; 950.699 ; 434 ; 23.272.297 ; 3.020 ; 57.056.417 ;;;;
72;17.508.380;UNIÃO ALTERNATIVA CORRETORA DE CÂMBIO LTDA.;;;;; 522 ; 3.291.072 ; 428 ; 10.498.173 ; 950 ; 13.789.245 ; 966 ; 21.938.611 ; 103 ; 14.681.868 ; 1.069 ; 36.620.479 ; 2.019 ; 50.409.724 ;;;;
73;02.318.507;BANCO KEB HANA DO BRASIL S.A.;;; 12 ; 3.985.632 ; 59 ; 18.713.564 ; 42 ; 5.917.973 ; 113 ; 28.617.168 ; 11 ; 4.895.504 ; 18 ; 13.657.276 ; 29 ; 18.552.781 ; 142 ; 47.169.949 ;;;;
74;60.889.128;BANCO SOFISA S.A.; 109 ; 16.211.027 ; 27 ; 4.631.583 ; 17 ; 2.496.474 ; 54 ; 395.838 ; 207 ; 23.734.921 ; 8 ; 4.966.928 ; 8 ; 16.400.852 ; 16 ; 21.367.780 ; 223 ; 45.102.702 ;;;;
