Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Ago/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
39;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 142 ; 39.904.575 ; 619 ; 91.482.470 ; 398 ; 958.441.808 ; 582 ; 846.874.077 ; 1.741 ; 1.936.702.929 ; 385 ; 136.812.525 ; 193 ; 198.467.089 ; 578 ; 335.279.614 ; 2.319 ; 2.271.982.543 ;
40;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 218 ; 364.108.446 ; 144 ; 148.070.694 ; 75 ; 485.793.519 ; 661 ; 332.546.203 ; 1.098 ; 1.330.518.862 ; 33 ; 251.634.327 ; 51 ; 556.646.193 ; 84 ; 808.280.519 ; 1.182 ; 2.138.799.381 ;
41;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 6.854 ; 567.889.886 ; 7.717 ; 354.215.316 ; 2.890 ; 156.196.134 ; 9.104 ; 286.037.562 ; 26.565 ; 1.364.338.898 ; 219 ; 276.549.895 ; 270 ; 355.999.863 ; 489 ; 632.549.757 ; 27.054 ; 1.996.888.656 ;
42;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 334.848 ; 818 ; 379.339.159 ; 1.563 ; 405.134.303 ; 2.382 ; 784.808.310 ; 149 ; 521.316.829 ; 239 ; 543.386.679 ; 388 ; 1.064.703.508 ; 2.770 ; 1.849.511.818 ;
43;10.690.848;BANCO DA CHINA BRASIL S.A.; 82 ; 431.250.115 ; 96 ; 18.639.442 ; 94 ; 200.214.057 ; 359 ; 20.221.476 ; 631 ; 670.325.090 ; 166 ; 309.286.594 ; 215 ; 845.322.020 ; 381 ; 1.154.608.614 ; 1.012 ; 1.824.933.704 ;
44;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 678 ; 15.404.187 ; 4.028 ; 89.965.393 ; 8.871 ; 96.048.129 ; 16.528 ; 377.304.393 ; 30.105 ; 578.722.103 ; 21.992 ; 717.432.928 ; 2.177 ; 361.501.636 ; 24.169 ; 1.078.934.564 ; 54.274 ; 1.657.656.667 ;
45;03.609.817;BANCO CARGILL S.A.; 128 ; 483.712.203 ; 16 ; 21.746.928 ; 48 ; 204.119.624 ; 150 ; 175.519.017 ; 342 ; 885.097.772 ; 13 ; 128.889.716 ; 35 ; 620.500.000 ; 48 ; 749.389.716 ; 390 ; 1.634.487.488 ;
46;58.616.418;BANCO FIBRA S.A.; 821 ; 138.434.089 ; 2.520 ; 195.437.423 ; 244 ; 192.353.164 ; 1.338 ; 408.054.793 ; 4.923 ; 934.279.468 ; 103 ; 483.931.371 ; 66 ; 169.920.550 ; 169 ; 653.851.920 ; 5.092 ; 1.588.131.389 ;
47;33.923.798;BANCO MÁXIMA S.A.; 202 ; 2.864.333 ; 961 ; 29.240.011 ; 280 ; 14.381.152 ; 687 ; 14.196.081 ; 2.130 ; 60.681.577 ; 466 ; 570.700.066 ; 1.568 ; 542.843.062 ; 2.034 ; 1.113.543.128 ; 4.164 ; 1.174.224.704 ;
48;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 641 ; 266.725.264 ; 634 ; 425.960.948 ; 1.275 ; 692.686.212 ; 237 ; 291.985.732 ; 179 ; 132.763.361 ; 416 ; 424.749.093 ; 1.691 ; 1.117.435.305 ;
49;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 3 ; 81.805 ; 309 ; 188.333.665 ; 279 ; 336.711.748 ; 1.998 ; 126.125.487 ; 2.589 ; 651.252.705 ; 303 ; 219.371.099 ; 79 ; 241.827.519 ; 382 ; 461.198.618 ; 2.971 ; 1.112.451.322 ;
50;61.186.680;BANCO BMG S.A.; 81 ; 227.975.398 ; 10 ; 2.545.731 ; 11 ; 6.094.253 ; 124 ; 228.770.177 ; 226 ; 465.385.560 ; 35 ; 288.615.933 ; 56 ; 314.133.866 ; 91 ; 602.749.800 ; 317 ; 1.068.135.359 ;
51;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 70 ; 836.197 ; 1.057 ; 15.073.168 ; 2.899 ; 29.012.934 ; 9.499 ; 128.574.654 ; 13.525 ; 173.496.954 ; 15.090 ; 421.167.564 ; 2.633 ; 307.058.015 ; 17.723 ; 728.225.578 ; 31.248 ; 901.722.532 ;
52;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;;;; -   ; -   ; 10 ; 894.899.343 ; 2 ; 2 ; 12 ; 894.899.345 ; 12 ; 894.899.345 ;
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.072 ; 26.556.904 ; 9.937 ; 203.495.392 ; 8.786 ; 87.699.597 ; 23.385 ; 183.477.622 ; 43.180 ; 501.229.515 ; 4.958 ; 330.805.372 ; 1.269 ; 58.116.001 ; 6.227 ; 388.921.372 ; 49.407 ; 890.150.887 ;
54;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 506 ; 2.785.318 ; 1.106 ; 10.842.842 ; 1.612 ; 13.628.161 ; 2.122 ; 439.086.758 ; 1.092 ; 431.018.071 ; 3.214 ; 870.104.829 ; 4.826 ; 883.732.990 ;
55;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 288 ; 5.271.496 ; 1.217 ; 13.794.107 ; 10.068 ; 70.804.791 ; 37.606 ; 419.573.379 ; 49.179 ; 509.443.773 ; 5.765 ; 358.779.315 ; 48 ; 1.560.339 ; 5.813 ; 360.339.653 ; 54.992 ; 869.783.426 ;
56;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 98 ; 3.106.205 ; 1.405 ; 52.668.917 ; 572 ; 203.859.321 ; 3.108 ; 128.032.041 ; 5.183 ; 387.666.484 ; 1.806 ; 197.916.194 ; 3.792 ; 224.968.950 ; 5.598 ; 422.885.144 ; 10.781 ; 810.551.628 ;
57;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 20 ; 163.148 ; 276 ; 2.479.497 ; 4.325 ; 158.794.297 ; 7.786 ; 373.726.260 ; 12.407 ; 535.163.201 ; 5.011 ; 243.840.236 ; 2.038 ; 24.261.418 ; 7.049 ; 268.101.654 ; 19.456 ; 803.264.856 ;
58;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 20 ; 123.982 ; 6.315 ; 72.839.460 ; 21.224 ; 394.095.726 ; 27.559 ; 467.059.167 ; 16.150 ; 325.798.134 ; 376 ; 5.380.537 ; 16.526 ; 331.178.670 ; 44.085 ; 798.237.837 ;
59;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 739 ; 883.252 ; 5.564 ; 22.585.883 ; 6.303 ; 23.469.135 ; 2.712 ; 385.339.851 ; 733 ; 363.694.147 ; 3.445 ; 749.033.998 ; 9.748 ; 772.503.133 ;
60;03.532.415;BANCO ABN AMRO S.A.; 112 ; 278.226.053 ; 1 ; 120.450 ; 53 ; 93.508.354 ; 122 ; 6.764.261 ; 288 ; 378.619.118 ; 15 ; 10.026.910 ; 128 ; 371.931.000 ; 143 ; 381.957.910 ; 431 ; 760.577.028 ;
61;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 638 ; 11.109.902 ; 7.687 ; 172.099.716 ; 5.595 ; 80.296.158 ; 22.392 ; 182.051.559 ; 36.312 ; 445.557.334 ; 7.524 ; 279.753.408 ; 147 ; 17.095.655 ; 7.671 ; 296.849.063 ; 43.983 ; 742.406.397 ;
62;59.118.133;BANCO LUSO BRASILEIRO S.A.; 645 ; 138.274.803 ; 950 ; 89.039.584 ; 179 ; 30.994.533 ; 2.154 ; 95.443.939 ; 3.928 ; 353.752.859 ; 1.547 ; 189.098.042 ; 775 ; 173.890.309 ; 2.322 ; 362.988.351 ; 6.250 ; 716.741.210 ;
63;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 24 ; 34.085.823 ; 52 ; 16.701.368 ; 91 ; 62.908.080 ; 679 ; 39.244.986 ; 846 ; 152.940.257 ; 108 ; 231.098.285 ; 130 ; 314.380.855 ; 238 ; 545.479.140 ; 1.084 ; 698.419.397 ;
64;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 5.437 ; 174.583.816 ; 2.075 ; 72.156.545 ; 512 ; 6.026.715 ; 1.840 ; 12.055.143 ; 9.864 ; 264.822.220 ; 205 ; 159.248.284 ; 441 ; 251.014.070 ; 646 ; 410.262.354 ; 10.510 ; 675.084.574 ;
