Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Out/2015;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;
45;58.616.418;BANCO FIBRA S.A.; 1.072 ; 93.850.606 ; 3.017 ; 200.928.225 ; 756 ; 577.332.205 ; 2.253 ; 715.629.813 ; 7.098 ; 1.587.740.849 ; 363 ; 394.916.793 ; 281 ; 98.125.582 ; 644 ; 493.042.376 ; 7.742 ; 2.080.783.224 ;
46;07.656.500;BANCO KDB DO BRASIL S.A.;;; 2 ; 4.832.196 ; 1.279 ; 429.212.085 ; 1.582 ; 573.535.346 ; 2.863 ; 1.007.579.627 ; 164 ; 530.927.052 ; 331 ; 482.049.578 ; 495 ; 1.012.976.630 ; 3.358 ; 2.020.556.256 ;
47;03.609.817;BANCO CARGILL S.A.; 164 ; 735.001.008 ; 32 ; 77.980.128 ; 26 ; 146.535.356 ; 185 ; 253.039.994 ; 407 ; 1.212.556.487 ; 30 ; 117.393.000 ; 67 ; 667.844.265 ; 97 ; 785.237.265 ; 504 ; 1.997.793.752 ;
48;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 16 ; 47.445.846 ; 88 ; 21.317.428 ; 227 ; 205.462.595 ; 598 ; 82.247.533 ; 929 ; 356.473.402 ; 235 ; 694.392.369 ; 439 ; 895.268.473 ; 674 ; 1.589.660.842 ; 1.603 ; 1.946.134.244 ;
49;15.114.366;BANCO BBM S/A; 223 ; 150.779.609 ; 25 ; 57.204.527 ; 98 ; 191.851.877 ; 356 ; 85.556.012 ; 702 ; 485.392.026 ; 75 ; 642.811.413 ; 100 ; 769.310.342 ; 175 ; 1.412.121.755 ; 877 ; 1.897.513.780 ;
50;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS; 44 ; 1.770.735 ; 11.581 ; 770.835.752 ; 2.125 ; 26.047.598 ; 20.977 ; 164.011.358 ; 34.727 ; 962.665.442 ; 10.471 ; 914.136.371 ; 249 ; 7.576.395 ; 10.720 ; 921.712.766 ; 45.447 ; 1.884.378.208 ;
51;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 44 ; 181.350.310 ; 159 ; 223.880.234 ; 205 ; 492.836.896 ; 167 ; 161.631.251 ; 575 ; 1.059.698.691 ; 82 ; 127.855.448 ; 185 ; 411.674.991 ; 267 ; 539.530.439 ; 842 ; 1.599.229.131 ;
52;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 109 ; 668.265 ; 8.308 ; 93.884.609 ; 30.945 ; 533.256.467 ; 39.362 ; 627.809.341 ; 18.033 ; 689.581.545 ; 1.104 ; 248.757.301 ; 19.137 ; 938.338.846 ; 58.499 ; 1.566.148.187 ;
53;03.532.415;BANCO ABN AMRO S.A.; 209 ; 669.480.505 ; 1 ; 3.442.920 ; 49 ; 14.349.594 ; 172 ; 11.776.492 ; 431 ; 699.049.511 ; 21 ; 83.647.113 ; 307 ; 726.322.055 ; 328 ; 809.969.169 ; 759 ; 1.509.018.680 ;
54;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 114 ; 2.873.652 ; 947 ; 16.207.782 ; 3.539 ; 29.720.866 ; 12.172 ; 187.032.085 ; 16.772 ; 235.834.385 ; 16.378 ; 666.576.994 ; 3.307 ; 495.814.240 ; 19.685 ; 1.162.391.234 ; 36.457 ; 1.398.225.619 ;
55;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 310 ; 6.213.074 ; 1.501 ; 17.458.044 ; 11.772 ; 96.607.498 ; 58.591 ; 666.410.798 ; 72.174 ; 786.689.414 ; 8.185 ; 583.177.864 ; 81 ; 2.090.806 ; 8.266 ; 585.268.670 ; 80.440 ; 1.371.958.084 ;
56;62.144.175;BANCO PINE S.A.; 82 ; 116.529.796 ; 111 ; 73.023.609 ; 55 ; 121.762.235 ; 575 ; 289.526.523 ; 823 ; 600.842.163 ; 26 ; 417.180.283 ; 21 ; 307.181.847 ; 47 ; 724.362.130 ; 870 ; 1.325.204.293 ;
57;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 519 ; 10.804.906 ; 8.485 ; 217.127.848 ; 6.514 ; 98.195.455 ; 22.662 ; 414.980.785 ; 38.180 ; 741.108.993 ; 8.619 ; 528.464.812 ; 45 ; 5.641.474 ; 8.664 ; 534.106.286 ; 46.844 ; 1.275.215.279 ;
58;72.760.713;RENOVA S.A. CORRETORA DE CÂMBIO; 27 ; 714.397 ; 723 ; 15.170.742 ; 2.253 ; 18.304.934 ; 10.015 ; 96.740.356 ; 13.018 ; 130.930.429 ; 8.798 ; 593.985.333 ; 994 ; 501.060.923 ; 9.792 ; 1.095.046.256 ; 22.810 ; 1.225.976.685 ;
59;30.723.886;BANCO MODAL S.A.; 164 ; 44.686.972 ; 527 ; 81.943.504 ; 226 ; 287.087.343 ; 553 ; 104.339.267 ; 1.470 ; 518.057.086 ; 153 ; 255.427.874 ; 178 ; 395.709.059 ; 331 ; 651.136.933 ; 1.801 ; 1.169.194.019 ;
60;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 899 ; 27.812.232 ; 11.169 ; 299.384.527 ; 9.042 ; 111.373.082 ; 26.736 ; 208.747.291 ; 47.846 ; 647.317.130 ; 6.436 ; 417.224.491 ; 1.091 ; 48.445.476 ; 7.527 ; 465.669.967 ; 55.373 ; 1.112.987.098 ;
61;59.118.133;BANCO LUSO BRASILEIRO S.A.; 180 ; 45.048.406 ; 5.165 ; 412.867.514 ; 185 ; 27.283.427 ; 1.309 ; 54.458.307 ; 6.839 ; 539.657.653 ; 2.800 ; 460.641.590 ; 325 ; 65.498.924 ; 3.125 ; 526.140.514 ; 9.964 ; 1.065.798.168 ;
62;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 23 ; 210.080 ; 326 ; 2.992.325 ; 4.919 ; 146.969.695 ; 10.594 ; 483.118.604 ; 15.862 ; 633.290.704 ; 6.883 ; 373.731.685 ; 3.672 ; 36.987.880 ; 10.555 ; 410.719.565 ; 26.417 ; 1.044.010.269 ;
63;59.285.411;BANCO PAN S.A.; 92 ; 75.641.947 ;;; 59 ; 22.957.253 ; 263 ; 380.269.725 ; 414 ; 478.868.925 ; 15 ; 376.809.164 ; 97 ; 175.490.326 ; 112 ; 552.299.490 ; 526 ; 1.031.168.416 ;
64;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 176 ; 4.983.371 ; 6.321 ; 214.571.124 ; 2.823 ; 34.306.390 ; 8.996 ; 189.024.411 ; 18.316 ; 442.885.295 ; 11.721 ; 422.371.557 ; 1.598 ; 58.054.854 ; 13.319 ; 480.426.410 ; 31.635 ; 923.311.706 ;
65;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;;; 772 ; 41.933.858 ; 15.395 ; 27.007.732 ; 27.586 ; 155.350.713 ; 43.753 ; 224.292.304 ; 15.024 ; 430.580.543 ; 871 ; 260.316.900 ; 15.895 ; 690.897.444 ; 59.648 ; 915.189.747 ;
