Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Março/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
34;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 37 ; 27.534.934 ; 64 ; 27.232.126 ; 49 ; 380.804.248 ; 248 ; 221.213.263 ; 398 ; 656.784.571 ; 48 ; 221.472.723 ; 55 ; 231.176.232 ; 103 ; 452.648.955 ; 501 ; 1.109.433.526 ;
35;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 384 ; 35.457.947 ; 1.849 ; 217.678.127 ; 5.910 ; 195.433.507 ; 5.892 ; 168.611.107 ; 14.035 ; 617.180.688 ; 72 ; 307.132.591 ; 70 ; 140.399.930 ; 142 ; 447.532.521 ; 14.177 ; 1.064.713.209 ;
36;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 29 ; 295.714 ; 306 ; 23.159.280 ; 154.523 ; 258.935.033 ; 3.675 ; 107.293.459 ; 158.533 ; 389.683.486 ; 1.295 ; 235.568.718 ; 4.653 ; 368.681.274 ; 5.948 ; 604.249.992 ; 164.481 ; 993.933.478 ;
37;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;CREDIT SUISSE - PRUDENCIAL; -   ; -   ; -   ; -   ; 79 ; 154.226.892 ; 108 ; 321.524.016 ; 187 ; 475.750.908 ; 14 ; 260.252.637 ; 10 ; 185.252.830 ; 24 ; 445.505.467 ; 211 ; 921.256.375 ;
38;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 91 ; 148.824.429 ; 444 ; 24.303.154 ; 6.198 ; 169.961.474 ; 17.207 ; 273.783.860 ; 23.940 ; 616.872.917 ; 107 ; 112.441.932 ; 131 ; 129.290.498 ; 238 ; 241.732.430 ; 24.178 ; 858.605.347 ;
39;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 1 ; 500.000 ; -   ; -   ; 27 ; 115.323.185 ; 119 ; 160.682.853 ; 147 ; 276.506.038 ; 9 ; 290.162.915 ; 8 ; 275.162.788 ; 17 ; 565.325.703 ; 164 ; 841.831.741 ;
40;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 92 ; 54.071.379 ; 559 ; 197.603.643 ; 31 ; 25.179.226 ; 132 ; 4.333.085 ; 814 ; 281.187.333 ; 73 ; 318.602.919 ; 58 ; 194.560.770 ; 131 ; 513.163.689 ; 945 ; 794.351.022 ;
41;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 163 ; 211.594.768 ; 143 ; 230.951.102 ; 306 ; 442.545.870 ; 34 ; 85.321.269 ; 41 ; 65.998.698 ; 75 ; 151.319.967 ; 381 ; 593.865.837 ;
42;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; -   ; -   ; 1 ; 401.043 ; 157 ; 200.899.655 ; 270 ; 32.680.290 ; 428 ; 233.980.988 ; 8 ; 55.159.811 ; 101 ; 268.160.000 ; 109 ; 323.319.811 ; 537 ; 557.300.799 ;
43;10.690.848;BANCO DA CHINA BRASIL S.A.;BCO DA CHINA BRASIL S.A. - PRUDENCIAL; 36 ; 183.850.119 ; 13 ; 4.351.518 ; 97 ; 23.396.749 ; 87 ; 14.038.723 ; 233 ; 225.637.109 ; 51 ; 63.316.631 ; 71 ; 252.113.006 ; 122 ; 315.429.637 ; 355 ; 541.066.746 ;
44;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 118 ; 17.088.052 ; 88 ; 2.554.781 ; 4.469 ; 211.092.220 ; 206 ; 13.349.794 ; 4.881 ; 244.084.847 ; 88 ; 13.891.603 ; 217 ; 226.167.948 ; 305 ; 240.059.551 ; 5.186 ; 484.144.398 ;
45;01.181.521;BANCO COOPERATIVO SICREDI S.A.;BCO COOPERATIVO SICREDI - PRUDENCIAL; 1.001 ; 51.557.846 ; 1.368 ; 56.391.411 ; 904 ; 18.454.009 ; 405 ; 146.021.560 ; 3.678 ; 272.424.826 ; 16 ; 145.787.065 ; 6 ; 15.108.383 ; 22 ; 160.895.448 ; 3.700 ; 433.320.274 ;
46;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 518 ; 147.587.523 ; 638 ; 38.181.434 ; 311 ; 41.793.782 ; 448 ; 11.748.571 ; 1.915 ; 239.311.310 ; 23 ; 16.200.010 ; 83 ; 159.032.841 ; 106 ; 175.232.851 ; 2.021 ; 414.544.161 ;
47;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES - PRUDENCIAL; 31 ; 45.584.214 ; -   ; -   ; 40 ; 11.164.301 ; 3 ; 29.366 ; 74 ; 56.777.881 ; -   ; -   ; 13 ; 353.821.054 ; 13 ; 353.821.054 ; 87 ; 410.598.935 ;
48;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;CCB - PRUDENCIAL; 34 ; 64.329.503 ; 47 ; 15.395.677 ; 23 ; 77.338.727 ; 148 ; 27.963.823 ; 252 ; 185.027.730 ; 26 ; 65.354.581 ; 16 ; 156.959.028 ; 42 ; 222.313.609 ; 294 ; 407.341.339 ;
49;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.;BR PARTNERS - PRUDENCIAL; 10 ; 186.686.722 ; 7 ; 1.364.138 ; 4 ; 152.386 ; 43 ; 4.297.626 ; 64 ; 192.500.872 ; 2 ; 4.000.000 ; 8 ; 185.000.000 ; 10 ; 189.000.000 ; 74 ; 381.500.872 ;
50;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;CREDIT AGRICOLE - PRUDENCIAL; 3 ; 3.211.088 ; 8 ; 737.826 ; 18 ; 2.774.614 ; 23 ; 1.480.180 ; 52 ; 8.203.708 ; 12 ; 182.395.278 ; 14 ; 186.184.847 ; 26 ; 368.580.125 ; 78 ; 376.783.833 ;
51;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;ADVANCED CC LTDA - PRUDENCIAL; 222 ; 8.643.462 ; 2.450 ; 41.139.780 ; 2.006 ; 71.563.482 ; 3.304 ; 85.526.179 ; 7.982 ; 206.872.903 ; 324 ; 88.349.317 ; 62 ; 42.406.730 ; 386 ; 130.756.047 ; 8.368 ; 337.628.950 ;
52;33.042.953;CITIBANK N.A.;CITIBANK - PRUDENCIAL; -   ; -   ; -   ; -   ; 2 ; 427.701 ; 6 ; 8.659.013 ; 8 ; 9.086.714 ; -   ; -   ; 1 ; 300.000.000 ; 1 ; 300.000.000 ; 9 ; 309.086.714 ;
53;00.360.305;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL; 78 ; 34.884.837 ; 78 ; 3.657.965 ; 6.779 ; 52.233.783 ; 2.055 ; 60.981.552 ; 8.990 ; 151.758.137 ; 138 ; 72.793.001 ; 141 ; 77.995.226 ; 279 ; 150.788.227 ; 9.269 ; 302.546.364 ;
54;61.024.352;BANCO VOITER S.A.;BANCO MASTER - PRUDENCIAL; 23 ; 31.588.420 ; 367 ; 34.148.104 ; 233 ; 78.551.332 ; 982 ; 75.528.754 ; 1.605 ; 219.816.610 ; 62 ; 29.708.705 ; 86 ; 38.965.282 ; 148 ; 68.673.987 ; 1.753 ; 288.490.597 ;
55;61.186.680;BANCO BMG S.A.;BMG - PRUDENCIAL; 8 ; 38.546.285 ; -   ; -   ; 12 ; 13.269.219 ; 57 ; 21.019.374 ; 77 ; 72.834.878 ; 2 ; 78.000.000 ; 7 ; 124.994.440 ; 9 ; 202.994.440 ; 86 ; 275.829.318 ;
56;02.318.507;BANCO KEB HANA DO BRASIL S.A.;BCO KEB DO BRASIL SA - PRUDENCIAL; 2 ; 7.550.000 ; 42 ; 7.747.970 ; 43 ; 104.917.777 ; 136 ; 6.377.650 ; 223 ; 126.593.397 ; 51 ; 12.709.582 ; 15 ; 111.060.089 ; 66 ; 123.769.671 ; 289 ; 250.363.068 ;
57;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.;FRENTE CC - PRUDENCIAL; 6 ; 79.702 ; 121 ; 2.178.384 ; 513 ; 71.461.465 ; 4.668 ; 85.316.290 ; 5.308 ; 159.035.841 ; 481 ; 44.455.107 ; 100 ; 28.949.910 ; 581 ; 73.405.017 ; 5.889 ; 232.440.858 ;
58;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.;MONEYCORP - PRUDENCIAL; 13 ; 476.571 ; 217 ; 25.634.459 ; 193 ; 58.417.521 ; 613 ; 83.334.371 ; 1.036 ; 167.862.922 ; 181 ; 56.826.741 ; 45 ; 6.613.158 ; 226 ; 63.439.899 ; 1.262 ; 231.302.821 ;
59;45.246.410;BANCO GENIAL S.A.;GENIAL - PRUDENCIAL; 13 ; 1.199.060 ; 17 ; 1.385.780 ; 264 ; 53.433.413 ; 415 ; 99.128.291 ; 709 ; 155.146.544 ; 18 ; 51.566.333 ; 2 ; 480.773 ; 20 ; 52.047.106 ; 729 ; 207.193.650 ;
60;61.384.004;AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;AVENUE SECURITIES DTVM - PRUDENCIAL; -   ; -   ; -   ; -   ; 12.628 ; 24.842.477 ; 62.734 ; 102.484.577 ; 75.362 ; 127.327.054 ; 139 ; 77.890.000 ; -   ; -   ; 139 ; 77.890.000 ; 75.501 ; 205.217.054 ;
61;62.144.175;BANCO PINE S.A.;PINE - PRUDENCIAL; 61 ; 45.759.349 ; 286 ; 35.140.303 ; 8 ; 951.173 ; 330 ; 46.154.545 ; 685 ; 128.005.370 ; 8 ; 38.632.620 ; 11 ; 13.882.280 ; 19 ; 52.514.900 ; 704 ; 180.520.270 ;
62;00.416.968;BANCO INTER S.A.;INTER - PRUDENCIAL; 57 ; 193.758 ; 297 ; 975.922 ; 71.473 ; 84.138.103 ; 162.454 ; 69.868.399 ; 234.281 ; 155.176.182 ; 3 ; 202.189 ; 6 ; 21.176.384 ; 9 ; 21.378.573 ; 234.290 ; 176.554.755 ;
63;32.648.370;FAIR CORRETORA DE CAMBIO S.A.;FAIR CC S.A. - PRUDENCIAL; 140 ; 2.869.621 ; 999 ; 24.489.048 ; 1.714 ; 12.202.637 ; 2.299 ; 14.966.275 ; 5.152 ; 54.527.581 ; 470 ; 53.658.671 ; 102 ; 29.299.596 ; 572 ; 82.958.267 ; 5.724 ; 137.485.848 ;
64;73.622.748;B&T CORRETORA DE CAMBIO LTDA.;B & T ASSOCIADOS CC LTDA. - PRUDENCIAL; 200 ; 5.374.506 ; 750 ; 20.362.437 ; 9.586 ; 24.958.439 ; 24.420 ; 35.297.590 ; 34.956 ; 85.992.972 ; 883 ; 35.520.051 ; 73 ; 10.237.611 ; 956 ; 45.757.662 ; 35.912 ; 131.750.634 ;
