Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
37;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; -   ; -   ; -   ; -   ; 1.174 ; 4.088.048.712 ; 1.770 ; 5.536.718.132 ; 2.944 ; 9.624.766.844 ; 191 ; 2.128.811.811 ; 146 ; 704.077.111 ; 337 ; 2.832.888.922 ; 3.281 ; 12.457.655.766 ;;
38;58.616.418;BANCO FIBRA S.A.; 943 ; 918.094.242 ; 5.578 ; 1.982.036.295 ; 523 ; 371.122.408 ; 4.387 ; 240.720.175 ; 11.431 ; 3.511.973.120 ; 1.064 ; 4.356.602.377 ; 944 ; 3.505.052.799 ; 2.008 ; 7.861.655.176 ; 13.439 ; 11.373.628.296 ;;
39;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.144 ; 1.059.134.013 ; 3.521 ; 1.205.637.813 ; 4.505 ; 1.919.205.154 ; 9.170 ; 1.285.938.356 ; 18.340 ; 5.469.915.336 ; 781 ; 1.720.612.933 ; 785 ; 2.244.976.250 ; 1.566 ; 3.965.589.183 ; 19.906 ; 9.435.504.519 ;;
40;13.059.145;BEXS BANCO DE CÂMBIO S/A; 668 ; 1.425.337.264 ; 2.121 ; 229.835.058 ; 130.115 ; 829.101.619 ; 915.213 ; 2.387.536.444 ; 1.048.117 ; 4.871.810.385 ; 2.089 ; 1.719.444.327 ; 1.251 ; 1.374.434.649 ; 3.340 ; 3.093.878.976 ; 1.051.457 ; 7.965.689.361 ;;
41;10.690.848;BANCO DA CHINA BRASIL S.A.; 325 ; 1.360.727.460 ; 150 ; 157.400.139 ; 669 ; 1.248.614.171 ; 1.064 ; 132.065.139 ; 2.208 ; 2.898.806.909 ; 505 ; 901.758.227 ; 807 ; 3.221.758.213 ; 1.312 ; 4.123.516.440 ; 3.520 ; 7.022.323.349 ;;
42;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION; -   ; -   ; -   ; -   ; 212 ; 308.595.164 ; 442 ; 2.530.840.446 ; 654 ; 2.839.435.610 ; 148 ; 2.480.662.825 ; 43 ; 257.222.566 ; 191 ; 2.737.885.391 ; 845 ; 5.577.321.001 ;;
43;00.997.185;BANCO B3 S.A.; -   ; -   ; -   ; -   ; 2.315 ; 1.887.116.670 ; 1.982 ; 2.045.477.629 ; 4.297 ; 3.932.594.299 ; 382 ; 578.030.879 ; 489 ; 419.730.745 ; 871 ; 997.761.624 ; 5.168 ; 4.930.355.923 ;;
44;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 898 ; 147.711.653 ; 803 ; 57.360.767 ; 49.704 ; 2.037.181.971 ; 2.736 ; 208.610.307 ; 54.141 ; 2.450.864.698 ; 857 ; 196.316.044 ; 2.112 ; 2.115.237.494 ; 2.969 ; 2.311.553.538 ; 57.110 ; 4.762.418.236 ;;
45;07.656.500;BANCO KDB DO BRASIL S.A.; 2 ; 24.000.000 ; 33 ; 16.350.344 ; 1.471 ; 964.596.677 ; 3.469 ; 1.392.480.433 ; 4.975 ; 2.397.427.454 ; 412 ; 1.303.272.626 ; 427 ; 932.859.649 ; 839 ; 2.236.132.275 ; 5.814 ; 4.633.559.729 ;;
46;00.038.166;BANCO CENTRAL DO BRASIL; -   ; -   ; -   ; -   ; 24 ; 236.354.755 ; -   ; -   ; 24 ; 236.354.755 ; 4 ; 2.034.844.375 ; 4 ; 2.000.000.000 ; 8 ; 4.034.844.375 ; 32 ; 4.271.199.130 ;;
47;33.923.798;BANCO MASTER S/A; 924 ; 552.089.122 ; 2.116 ; 534.540.907 ; 30.638 ; 625.466.351 ; 4.483 ; 383.420.233 ; 38.161 ; 2.095.516.613 ; 282 ; 963.443.759 ; 343 ; 1.122.420.716 ; 625 ; 2.085.864.475 ; 38.786 ; 4.181.381.088 ;;
48;00.360.305;CAIXA ECONOMICA FEDERAL; 1.349 ; 493.315.936 ; 1.050 ; 42.685.543 ; 87.998 ; 687.028.712 ; 35.180 ; 798.760.449 ; 125.577 ; 2.021.790.640 ; 1.765 ; 854.846.391 ; 1.920 ; 1.234.062.642 ; 3.685 ; 2.088.909.033 ; 129.262 ; 4.110.699.673 ;;
49;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 358 ; 677.184.288 ; -   ; -   ; 439 ; 145.648.162 ; 18 ; 772.562 ; 815 ; 823.605.012 ; 25 ; 780.000.000 ; 79 ; 2.422.275.614 ; 104 ; 3.202.275.614 ; 919 ; 4.025.880.626 ;;
50;62.144.175;BANCO PINE S.A.; 440 ; 462.575.088 ; 2.148 ; 936.673.081 ; 188 ; 224.892.403 ; 4.091 ; 507.086.155 ; 6.867 ; 2.131.226.727 ; 240 ; 1.269.874.120 ; 155 ; 470.966.515 ; 395 ; 1.740.840.635 ; 7.262 ; 3.872.067.362 ;;
51;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 2.148 ; 67.862.749 ; 20.956 ; 484.358.360 ; 23.964 ; 695.016.714 ; 52.124 ; 932.984.727 ; 99.192 ; 2.180.222.550 ; 5.585 ; 975.318.009 ; 1.478 ; 320.799.973 ; 7.063 ; 1.296.117.982 ; 106.255 ; 3.476.340.532 ;;
52;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 52 ; 542.981.805 ; 76 ; 29.407.985 ; 30 ; 10.506.838 ; 144 ; 10.504.588 ; 302 ; 593.401.216 ; 92 ; 934.599.459 ; 134 ; 1.438.317.364 ; 226 ; 2.372.916.823 ; 528 ; 2.966.318.039 ;;
53;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.; 17 ; 988.198 ; 382 ; 9.926.375 ; 8.723 ; 1.028.280.561 ; 53.885 ; 1.303.480.269 ; 63.007 ; 2.342.675.403 ; 6.806 ; 444.265.859 ; 689 ; 161.421.475 ; 7.495 ; 605.687.334 ; 70.502 ; 2.948.362.737 ;;
54;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 4.565 ; 993.513.601 ; 4.850 ; 370.647.824 ; 5.809 ; 235.629.845 ; 7.194 ; 217.064.470 ; 22.418 ; 1.816.855.740 ; 289 ; 248.009.094 ; 624 ; 875.458.210 ; 913 ; 1.123.467.304 ; 23.331 ; 2.940.323.044 ;;
55;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 10.364 ; 547.396.566 ; 13.023 ; 560.296.011 ; 10.070 ; 496.208.078 ; 5.478 ; 399.965.663 ; 38.935 ; 2.003.866.318 ; 225 ; 401.256.322 ; 102 ; 486.905.863 ; 327 ; 888.162.185 ; 39.262 ; 2.892.028.503 ;;
56;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 56 ; 499.102.075 ; 86 ; 11.643.457 ; 186 ; 610.345.894 ; 329 ; 503.050.562 ; 657 ; 1.624.141.988 ; 69 ; 326.590.079 ; 106 ; 921.344.576 ; 175 ; 1.247.934.655 ; 832 ; 2.872.076.643 ;;
