Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Fev/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
55;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 2 ; 6.463 ; 46 ; 565.863 ; 1.035 ; 36.042.721 ; 1.599 ; 68.134.589 ; 2.682 ; 104.749.637 ; 940 ; 35.904.740 ; 294 ; 2.958.145 ; 1.234 ; 38.862.885 ; 3.916 ; 143.612.522 ;
56;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 16 ; 655.237 ; 266 ; 8.655.838 ; 86 ; 54.002.666 ; 604 ; 14.291.888 ; 972 ; 77.605.630 ; 306 ; 18.473.520 ; 550 ; 46.002.682 ; 856 ; 64.476.202 ; 1.828 ; 142.081.832 ;
57;62.144.175;BANCO PINE S.A.; 13 ; 2.391.566 ; 21 ; 11.797.595 ; 7 ; 1.277.577 ; 92 ; 55.224.919 ; 133 ; 70.691.657 ; 7 ; 60.846.658 ; 4 ; 10.347.252 ; 11 ; 71.193.911 ; 144 ; 141.885.568 ;
58;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 35 ; 1.167.339 ; 312 ; 5.335.776 ; 1.490 ; 9.640.935 ; 4.445 ; 20.532.513 ; 6.282 ; 36.676.562 ; 2.243 ; 59.599.249 ; 829 ; 44.510.779 ; 3.072 ; 104.110.027 ; 9.354 ; 140.786.589 ;
59;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 43 ; 1.009.022 ; 1.412 ; 43.872.884 ; 651 ; 7.859.057 ; 1.995 ; 18.987.229 ; 4.101 ; 71.728.192 ; 1.948 ; 60.093.466 ; 232 ; 6.084.617 ; 2.180 ; 66.178.084 ; 6.281 ; 137.906.276 ;
60;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 7 ; 45.619 ; 1.347 ; 25.331.744 ; 3.519 ; 65.156.497 ; 4.873 ; 90.533.861 ; 2.509 ; 42.576.936 ; 85 ; 2.634.181 ; 2.594 ; 45.211.117 ; 7.467 ; 135.744.978 ;
61;60.889.128;BANCO SOFISA S.A.; 213 ; 55.331.288 ; 131 ; 9.140.117 ; 29 ; 2.613.339 ; 170 ; 2.742.939 ; 543 ; 69.827.683 ; 23 ; 6.981.190 ; 33 ; 58.447.279 ; 56 ; 65.428.469 ; 599 ; 135.256.152 ;
62;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 23 ; 10.901.259 ; 105 ; 23.365.107 ; 84 ; 26.948.396 ; 121 ; 13.444.494 ; 333 ; 74.659.256 ; 47 ; 26.409.610 ; 21 ; 29.632.998 ; 68 ; 56.042.608 ; 401 ; 130.701.864 ;
63;30.723.886;BANCO MODAL S.A.; 9 ; 207.142 ; 88 ; 10.317.668 ; 49 ; 53.118.588 ; 143 ; 35.695.956 ; 289 ; 99.339.354 ; 10 ; 11.427.216 ; 9 ; 17.764.425 ; 19 ; 29.191.641 ; 308 ; 128.530.994 ;
64;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.;;; 13 ; 43.755.971 ; 11 ; 39.786.047 ; 38 ; 12.622.221 ; 62 ; 96.164.239 ; 19 ; 23.386.548 ; 3 ; 6.373.000 ; 22 ; 29.759.548 ; 84 ; 125.923.787 ;
65;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 90 ; 28.054.146 ; 67 ; 38.163.355 ; 157 ; 66.217.501 ; 36 ; 34.201.232 ; 40 ; 24.160.991 ; 76 ; 58.362.223 ; 233 ; 124.579.725 ;
66;59.118.133;BANCO LUSO BRASILEIRO S.A.; 58 ; 13.325.162 ; 127 ; 26.932.575 ; 39 ; 1.938.557 ; 565 ; 16.086.599 ; 789 ; 58.282.893 ; 303 ; 44.432.521 ; 89 ; 16.675.373 ; 392 ; 61.107.894 ; 1.181 ; 119.390.787 ;
67;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 163 ; 5.033.674 ; 1.046 ; 32.170.451 ; 625 ; 14.377.179 ; 1.333 ; 16.771.315 ; 3.167 ; 68.352.619 ; 452 ; 38.201.262 ; 60 ; 8.656.482 ; 512 ; 46.857.744 ; 3.679 ; 115.210.363 ;
68;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 1.174 ; 42.079.726 ; 523 ; 22.387.405 ; 117 ; 1.468.517 ; 345 ; 2.344.598 ; 2.159 ; 68.280.246 ; 44 ; 12.960.000 ; 99 ; 31.650.000 ; 143 ; 44.610.000 ; 2.302 ; 112.890.246 ;
