Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
55;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 361 ; 510.072 ; 886 ; 5.363.949 ; 1.247 ; 5.874.021 ; 2.422 ; 265.320.795 ; 1.342 ; 260.457.022 ; 3.764 ; 525.777.817 ; 5.011 ; 531.651.838 
56;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 143 ; 3.455.373 ; 860 ; 11.066.105 ; 5.534 ; 35.057.586 ; 22.244 ; 251.668.205 ; 28.781 ; 301.247.268 ; 4.982 ; 224.242.857 ; 17 ; 373.851 ; 4.999 ; 224.616.708 ; 33.780 ; 525.863.977 
57;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 198 ; 110.670.214 ; 316 ; 19.279.338 ; 228 ; 15.019.850 ; 289 ; 13.210.921 ; 1.031 ; 158.180.324 ; 195 ; 134.161.884 ; 160 ; 227.270.996 ; 355 ; 361.432.879 ; 1.386 ; 519.613.203 
58;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 3.852 ; 36.973.295 ; 16.212 ; 239.686.186 ; 20.064 ; 276.659.481 ; 9.741 ; 206.048.632 ; 268 ; 5.083.023 ; 10.009 ; 211.131.655 ; 30.073 ; 487.791.136 
59;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 2.197 ; 117.507.771 ; 1.551 ; 43.830.929 ; 1.001 ; 34.053.861 ; 904 ; 102.110.414 ; 5.653 ; 297.502.976 ; 72 ; 86.157.146 ; 64 ; 102.779.615 ; 136 ; 188.936.761 ; 5.789 ; 486.439.736 
60;59.118.133;BANCO LUSO BRASILEIRO S.A.; 354 ; 70.651.322 ; 1.283 ; 115.661.226 ; 208 ; 25.019.139 ; 613 ; 19.846.283 ; 2.458 ; 231.177.971 ; 1.103 ; 140.415.378 ; 469 ; 101.135.721 ; 1.572 ; 241.551.099 ; 4.030 ; 472.729.070 
61;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 385 ; 7.246.531 ; 4.893 ; 105.371.263 ; 2.707 ; 39.836.511 ; 9.271 ; 115.285.891 ; 17.256 ; 267.740.196 ; 4.931 ; 187.175.015 ; 70 ; 13.609.459 ; 5.001 ; 200.784.474 ; 22.257 ; 468.524.670 
62;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 205 ; 3.537.586 ; 1.859 ; 38.906.440 ; 7.148 ; 19.768.263 ; 7.586 ; 86.428.464 ; 16.798 ; 148.640.752 ; 8.309 ; 185.024.021 ; 2.795 ; 83.013.712 ; 11.104 ; 268.037.733 ; 27.902 ; 416.678.485 
63;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 72 ; 1.037.359 ; 1.004 ; 18.286.616 ; 2.121 ; 25.758.014 ; 7.551 ; 91.203.118 ; 10.748 ; 136.285.106 ; 8.347 ; 178.338.007 ; 1.525 ; 95.585.820 ; 9.872 ; 273.923.827 ; 20.620 ; 410.208.933 
64;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 20 ; 86.112.058 ; 11 ; 976.148 ; 46 ; 100.560.440 ; 71 ; 13.760.097 ; 148 ; 201.408.744 ; 14 ; 15.323.700 ; 75 ; 191.426.984 ; 89 ; 206.750.683 ; 237 ; 408.159.427 
65;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 101 ; 20.065.275 ; 89 ; 1.391.634 ; 28 ; 4.471.438 ; 168 ; 141.014.337 ; 386 ; 166.942.683 ; 28 ; 154.395.394 ; 16 ; 45.095.394 ; 44 ; 199.490.788 ; 430 ; 366.433.471 
66;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 662 ; 14.889.615 ; 3.939 ; 114.274.749 ; 1.572 ; 19.491.086 ; 3.404 ; 45.137.412 ; 9.577 ; 193.792.863 ; 1.973 ; 133.890.871 ; 91 ; 8.651.034 ; 2.064 ; 142.541.905 ; 11.641 ; 336.334.768 
67;92.894.922;BANCO ORIGINAL S.A.; 68 ; 160.254.851 ; 160 ; 27.642.066 ; 207 ; 10.084.433 ; 791 ; 12.201.475 ; 1.226 ; 210.182.826 ; 35 ; 16.523.178 ; 19 ; 101.001.393 ; 54 ; 117.524.571 ; 1.280 ; 327.707.396 
68;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 20 ; 62.003.782 ; 116 ; 19.535.482 ; 96 ; 20.947.140 ; 125 ; 60.229.333 ; 357 ; 162.715.736 ; 74 ; 85.932.231 ; 39 ; 78.284.669 ; 113 ; 164.216.900 ; 470 ; 326.932.637 
69;61.186.680;BANCO BMG S.A.; 9 ; 14.356.835 ; 11 ; 8.722.493 ; 4 ; 901.391 ; 59 ; 101.582.307 ; 83 ; 125.563.026 ; 13 ; 144.497.010 ; 6 ; 32.500.000 ; 19 ; 176.997.010 ; 102 ; 302.560.036 
70;07.679.404;BANCO TOPÁZIO S.A.; 2 ; 41.003 ; 8 ; 113.716 ; 180 ; 11.632.359 ; 372 ; 131.270.595 ; 562 ; 143.057.672 ; 124 ; 126.526.559 ; 41 ; 6.810.870 ; 165 ; 133.337.429 ; 727 ; 276.395.101 
71;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 155 ; 3.340.969 ; 3.729 ; 87.475.174 ; 1.590 ; 12.485.241 ; 3.733 ; 33.130.713 ; 9.207 ; 136.432.097 ; 5.139 ; 117.176.530 ; 681 ; 12.489.145 ; 5.820 ; 129.665.675 ; 15.027 ; 266.097.772 
