Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
38;62.232.889;BANCO DAYCOVAL S.A.; 528 ; 100.979.132 ; 708 ; 42.564.611 ; 627 ; 10.834.517 ; 2.433 ; 54.906.589 ; 4.296 ; 209.284.849 ; 508 ; 117.437.046 ; 1.942 ; 115.640.218 ; 2.450 ; 233.077.264 ; 6.746 ; 442.362.113 
39;13.059.145;BEXS BANCO DE CÂMBIO S/A; 8 ; 583.327 ; 36 ; 1.021.648 ; 173 ; 28.818.223 ; 433 ; 142.735.685 ; 650 ; 173.158.882 ; 102 ; 127.903.241 ; 27 ; 17.930.153 ; 129 ; 145.833.394 ; 779 ; 318.992.276 
40;58.616.418;BANCO FIBRA S.A.; 81 ; 33.165.089 ; 461 ; 65.348.507 ; 64 ; 67.074.367 ; 319 ; 41.024.866 ; 925 ; 206.612.829 ; 20 ; 46.308.003 ; 15 ; 53.965.698 ; 35 ; 100.273.701 ; 960 ; 306.886.530 
41;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;;; 21 ; 15.297.046 ; 8 ; 4.694.033 ; 14 ; 7.579.103 ; 43 ; 27.570.181 ; 18 ; 147.930.213 ; 13 ; 125.959.070 ; 31 ; 273.889.283 ; 74 ; 301.459.464 
42;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 41 ; 37.528.238 ; 152 ; 16.611.905 ; 7 ; 8.419.638 ; 182 ; 53.365.831 ; 382 ; 115.925.612 ; 28 ; 107.188.508 ; 16 ; 73.040.093 ; 44 ; 180.228.600 ; 426 ; 296.154.212 
43;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 14 ; 1.582.120 ; 86 ; 3.834.268 ; 200 ; 33.125.203 ; 510 ; 117.270.164 ; 810 ; 155.811.755 ; 86 ; 103.778.548 ; 21 ; 17.177.241 ; 107 ; 120.955.789 ; 917 ; 276.767.544 
44;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 764 ; 57.312.462 ; 996 ; 50.561.559 ; 431 ; 25.872.285 ; 1.137 ; 36.657.572 ; 3.328 ; 170.403.878 ; 50 ; 51.654.684 ; 38 ; 46.903.626 ; 88 ; 98.558.310 ; 3.416 ; 268.962.188 
45;30.723.886;BANCO MODAL S.A.; 12 ; 13.269.785 ; 53 ; 5.564.017 ; 99 ; 55.906.614 ; 132 ; 29.358.290 ; 296 ; 104.098.706 ; 8 ; 71.677.370 ; 12 ; 92.765.000 ; 20 ; 164.442.370 ; 316 ; 268.541.076 
46;00.997.185;BANCO B3 S.A.;;;;; 163 ; 82.407.109 ; 148 ; 83.778.183 ; 311 ; 166.185.292 ; 32 ; 29.883.000 ; 25 ; 28.463.066 ; 57 ; 58.346.066 ; 368 ; 224.531.358 
47;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 126 ; 2.202.127 ; 687 ; 17.174.002 ; 1.641 ; 18.686.756 ; 2.850 ; 46.317.934 ; 5.304 ; 84.380.820 ; 2.552 ; 77.529.857 ; 215 ; 35.388.748 ; 2.767 ; 112.918.605 ; 8.071 ; 197.299.425 
