Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MAIO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
52;60.889.128;BANCO SOFISA S.A.; 201 ; 44.498.737 ; 73 ; 6.765.565 ; 22 ; 2.339.971 ; 117 ; 84.551.536 ; 413 ; 138.155.810 ; 6 ; 78.405.250 ; 17 ; 47.596.258 ; 23 ; 126.001.508 ; 436 ; 264.157.318 ;;
53;00.360.305;CAIXA ECONOMICA FEDERAL; 113 ; 44.963.054 ; 91 ; 3.357.465 ; 7.354 ; 41.423.801 ; 3.169 ; 47.818.125 ; 10.727 ; 137.562.445 ; 151 ; 43.329.806 ; 163 ; 73.483.041 ; 314 ; 116.812.847 ; 11.041 ; 254.375.292 ;;
54;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 369 ; 76.063.403 ; 346 ; 26.045.836 ; 611 ; 23.389.952 ; 688 ; 15.979.131 ; 2.014 ; 141.478.322 ; 26 ; 25.933.255 ; 57 ; 78.265.951 ; 83 ; 104.199.206 ; 2.097 ; 245.677.527 ;;
55;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 1.070 ; 62.347.472 ; 1.172 ; 38.781.207 ; 909 ; 29.132.966 ; 518 ; 43.150.914 ; 3.669 ; 173.412.558 ; 15 ; 24.718.448 ; 9 ; 42.515.777 ; 24 ; 67.234.225 ; 3.693 ; 240.646.783 ;;
56;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 8 ; 38.475.622 ; 1 ; 132.040 ; 5 ; 195.515 ; 27 ; 1.989.446 ; 41 ; 40.792.623 ; 13 ; 47.643.000 ; 27 ; 98.524.749 ; 40 ; 146.167.749 ; 81 ; 186.960.372 ;;
57;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 209 ; 4.411.728 ; 678 ; 21.202.939 ; 12.386 ; 27.649.718 ; 40.707 ; 43.662.427 ; 53.980 ; 96.926.812 ; 1.694 ; 53.018.321 ; 118 ; 20.190.068 ; 1.812 ; 73.208.390 ; 55.792 ; 170.135.202 ;;
58;61.024.352;BANCO VOITER S.A.; 9 ; 7.474.660 ; 131 ; 30.588.808 ; 145 ; 35.469.384 ; 978 ; 42.124.360 ; 1.263 ; 115.657.212 ; 62 ; 30.369.330 ; 57 ; 8.370.447 ; 119 ; 38.739.777 ; 1.382 ; 154.396.988 ;;
59;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 132 ; 3.320.057 ; 837 ; 27.191.873 ; 1.347 ; 15.044.204 ; 3.990 ; 25.975.114 ; 6.306 ; 71.531.247 ; 710 ; 58.699.657 ; 90 ; 23.883.286 ; 800 ; 82.582.944 ; 7.106 ; 154.114.191 ;;
60;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 39 ; 52.386.759 ; 21 ; 14.981.256 ; 7 ; 165.071 ; 88 ; 20.722.441 ; 155 ; 88.255.527 ; 15 ; 27.770.675 ; 18 ; 33.778.298 ; 33 ; 61.548.973 ; 188 ; 149.804.500 ;;
61;00.416.968;BANCO INTER S.A.; 24 ; 5.701.566 ; 39 ; 785.922 ; 14.244 ; 67.234.089 ; 29.216 ; 47.721.900 ; 43.523 ; 121.443.477 ; 5 ; 3.106.741 ; 9 ; 23.108.329 ; 14 ; 26.215.070 ; 43.537 ; 147.658.547 ;;
62;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; -   ; -   ; -   ; -   ; 144.105 ; 47.968.937 ; 242.262 ; 67.363.182 ; 386.367 ; 115.332.119 ; 117 ; 23.298.668 ; 234 ; 6.454.193 ; 351 ; 29.752.862 ; 386.718 ; 145.084.981 ;;
63;45.246.410;BANCO GENIAL S.A.; 15 ; 597.600 ; 39 ; 6.170.268 ; 333 ; 53.696.992 ; 355 ; 49.700.100 ; 742 ; 110.164.961 ; 20 ; 19.947.995 ; 16 ; 14.031.206 ; 36 ; 33.979.202 ; 778 ; 144.144.162 ;;
64;59.118.133;BANCO LUSO BRASILEIRO S.A.; 34 ; 14.266.716 ; 90 ; 37.335.427 ; 34 ; 4.393.658 ; 104 ; 7.671.037 ; 262 ; 63.666.837 ; 137 ; 46.101.931 ; 62 ; 19.746.881 ; 199 ; 65.848.812 ; 461 ; 129.515.649 ;;
