Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em AGOSTO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
54;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 57 ; 198.808 ; 130 ; 1.395.573 ; 187 ; 1.594.382 ; 379 ; 57.969.051 ; 222 ; 56.764.073 ; 601 ; 114.733.125 ; 788 ; 116.327.507 ;;;;
55;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 23 ; 546.904 ; 755 ; 31.282.981 ; 330 ; 3.214.309 ; 1.097 ; 18.389.934 ; 2.205 ; 53.434.127 ; 1.336 ; 51.988.128 ; 177 ; 6.046.267 ; 1.513 ; 58.034.395 ; 3.718 ; 111.468.522 ;;;;
56;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 93 ; 2.554.245 ; 1.119 ; 26.903.087 ; 985 ; 10.124.568 ; 2.650 ; 21.003.775 ; 4.847 ; 60.585.675 ; 623 ; 40.646.961 ; 104 ; 5.451.189 ; 727 ; 46.098.151 ; 5.574 ; 106.683.826 ;;;;
57;60.889.128;BANCO SOFISA S.A.; 74 ; 21.042.761 ; 72 ; 5.092.509 ; 17 ; 952.684 ; 77 ; 1.437.388 ; 240 ; 28.525.342 ; 6 ; 10.935.609 ; 14 ; 66.429.451 ; 20 ; 77.365.061 ; 260 ; 105.890.403 ;;;;
58;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 66 ; 1.470.660 ; 782 ; 17.338.753 ; 639 ; 9.421.858 ; 1.915 ; 29.426.779 ; 3.402 ; 57.658.051 ; 736 ; 36.649.701 ; 10 ; 869.987 ; 746 ; 37.519.687 ; 4.148 ; 95.177.739 ;;;;
59;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;; 36 ; 440.339 ; 459 ; 14.925.659 ; 1.037 ; 45.059.588 ; 1.532 ; 60.425.585 ; 783 ; 31.703.077 ; 337 ; 2.097.088 ; 1.120 ; 33.800.165 ; 2.652 ; 94.225.751 ;;;;
60;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 740 ; 33.288.225 ; 247 ; 9.687.956 ; 84 ; 5.954.304 ; 236 ; 1.227.878 ; 1.307 ; 50.158.363 ; 14 ; 4.321.862 ; 93 ; 32.729.027 ; 107 ; 37.050.889 ; 1.414 ; 87.209.252 ;;;;
61;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 1.725.478 ; 89 ; 19.312.092 ; 214 ; 29.952.567 ; 304 ; 50.990.137 ; 37 ; 23.100.000 ; 13 ; 10.350.000 ; 50 ; 33.450.000 ; 354 ; 84.440.137 ;;;;
62;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 45 ; 1.351.062 ; 568 ; 21.429.746 ; 353 ; 14.129.124 ; 652 ; 6.019.355 ; 1.618 ; 42.929.287 ; 231 ; 24.714.518 ; 29 ; 12.840.264 ; 260 ; 37.554.782 ; 1.878 ; 80.484.069 ;;;;
63;61.186.680;BANCO BMG S.A.; 2 ; 15.750.000 ; 1 ; 198.720 ; 1 ; 426.812 ; 21 ; 19.590.785 ; 25 ; 35.966.318 ; 5 ; 26.435.486 ; 4 ; 16.612.298 ; 9 ; 43.047.783 ; 34 ; 79.014.101 ;;;;
64;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO;;;;; 143 ; 12.744.360 ; 51 ; 7.193.408 ; 194 ; 19.937.768 ; 37 ; 27.190.394 ; 36 ; 28.217.667 ; 73 ; 55.408.061 ; 267 ; 75.345.830 ;;;;
