Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em Janeiro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
40;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 145 ; 39.785.198 ; 511 ; 72.576.403 ; 343 ; 188.078.355 ; 471 ; 36.760.808 ; 1.470 ; 337.200.764 ; 48 ; 98.099.621 ; 50 ; 197.269.391 ; 98 ; 295.369.012 ; 1.568 ; 632.569.776 ;
41;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 1 ; 916.111 ; 1 ; 2.623 ; 14 ; 61.376.320 ; 119 ; 215.989.734 ; 135 ; 278.284.788 ; 14 ; 279.345.744 ; 1 ; 345.656 ; 15 ; 279.691.400 ; 150 ; 557.976.188 ;
42;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.;FRENTE CC - PRUDENCIAL; 1 ; 2.681 ; 95 ; 2.759.012 ; 1.098 ; 182.101.934 ; 6.352 ; 201.129.455 ; 7.546 ; 385.993.082 ; 588 ; 38.808.543 ; 73 ; 16.435.058 ; 661 ; 55.243.601 ; 8.207 ; 441.236.683 ;
43;10.690.848;BANCO DA CHINA BRASIL S.A.;BCO DA CHINA BRASIL S.A. - PRUDENCIAL; 47 ; 34.533.053 ; 20 ; 3.932.725 ; 97 ; 19.821.576 ; 86 ; 20.619.913 ; 250 ; 78.907.267 ; 59 ; 151.319.444 ; 81 ; 181.044.597 ; 140 ; 332.364.041 ; 390 ; 411.271.308 ;
44;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;CREDIT AGRICOLE - PRUDENCIAL; 6 ; 175.721.038 ; 9 ; 774.047 ; 9 ; 24.023.874 ; 17 ; 16.486.759 ; 41 ; 217.005.718 ; 2 ; 350.000 ; 6 ; 183.248.712 ; 8 ; 183.598.712 ; 49 ; 400.604.430 ;
45;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 538 ; 142.963.571 ; 573 ; 40.158.268 ; 289 ; 13.976.830 ; 430 ; 17.905.666 ; 1.830 ; 215.004.335 ; 24 ; 43.306.934 ; 74 ; 136.504.692 ; 98 ; 179.811.626 ; 1.928 ; 394.815.961 ;
46;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 183 ; 148.461.792 ; 149 ; 127.813.330 ; 332 ; 276.275.122 ; 31 ; 45.654.931 ; 40 ; 66.281.868 ; 71 ; 111.936.799 ; 403 ; 388.211.921 ;
47;00.416.968;BANCO INTER S.A.;INTER - PRUDENCIAL; 55 ; 489.936 ; 243 ; 842.449 ; 76.537 ; 187.543.193 ; 188.914 ; 83.586.586 ; 265.749 ; 272.462.164 ; 6 ; 15.550.464 ; 7 ; 99.761.124 ; 13 ; 115.311.588 ; 265.762 ; 387.773.752 ;
48;62.144.175;BANCO PINE S.A.;PINE - PRUDENCIAL; 58 ; 126.726.754 ; 196 ; 14.748.154 ; 18 ; 7.469.355 ; 672 ; 40.976.090 ; 944 ; 189.920.353 ; 18 ; 49.574.040 ; 39 ; 140.501.746 ; 57 ; 190.075.786 ; 1.001 ; 379.996.139 ;
49;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;ADVANCED CC LTDA - PRUDENCIAL; 185 ; 6.285.265 ; 2.311 ; 42.648.869 ; 2.233 ; 96.773.108 ; 3.351 ; 105.842.216 ; 8.080 ; 251.549.458 ; 302 ; 86.728.806 ; 83 ; 41.146.993 ; 385 ; 127.875.799 ; 8.465 ; 379.425.257 ;
50;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 6 ; 58.671.039 ; 2 ; 4.773.276 ; 23 ; 1.118.500 ; 30 ; 624.279 ; 61 ; 65.187.094 ; 47 ; 124.386.952 ; 47 ; 177.597.885 ; 94 ; 301.984.837 ; 155 ; 367.171.931 ;
51;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES - PRUDENCIAL; 37 ; 99.776.562 ; -   ; -   ; 38 ; 22.349.415 ; 1 ; 10.800 ; 76 ; 122.136.777 ; 2 ; 100.100.000 ; 4 ; 129.776.774 ; 6 ; 229.876.774 ; 82 ; 352.013.551 ;
52;50.585.090;BCV - BANCO DE CRÉDITO E VAREJO S.A.;BMG - PRUDENCIAL; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 12.000 ; 1 ; 12.000 ; 3 ; 234.487.638 ; 1 ; 116.943.385 ; 4 ; 351.431.023 ; 5 ; 351.443.023 ;
53;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.;MONEYCORP - PRUDENCIAL; 14 ; 633.245 ; 195 ; 11.750.106 ; 223 ; 112.572.575 ; 593 ; 121.305.787 ; 1.025 ; 246.261.713 ; 173 ; 52.366.050 ; 75 ; 32.499.080 ; 248 ; 84.865.130 ; 1.273 ; 331.126.843 ;
54;00.360.305;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL; 126 ; 47.024.520 ; 85 ; 4.672.711 ; 7.324 ; 36.143.735 ; 2.039 ; 61.818.657 ; 9.574 ; 149.659.623 ; 172 ; 82.977.463 ; 192 ; 97.762.024 ; 364 ; 180.739.487 ; 9.938 ; 330.399.110 ;
55;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 108 ; 12.257.260 ; 90 ; 3.619.436 ; 4.352 ; 120.916.877 ; 248 ; 27.615.985 ; 4.798 ; 164.409.558 ; 123 ; 29.054.999 ; 200 ; 130.993.843 ; 323 ; 160.048.842 ; 5.121 ; 324.458.400 ;
56;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;JP MORGAN CHASE - PRUDENCIAL; -   ; -   ; -   ; -   ; 17 ; 154.034.249 ; 26 ; 9.079.107 ; 43 ; 163.113.356 ; 5 ; 4.054.060 ; 7 ; 148.198.905 ; 12 ; 152.252.965 ; 55 ; 315.366.321 ;
57;45.246.410;BANCO GENIAL S.A.;GENIAL - PRUDENCIAL; 5 ; 261.927 ; 26 ; 3.654.329 ; 381 ; 66.174.298 ; 511 ; 140.123.089 ; 923 ; 210.213.643 ; 13 ; 82.554.864 ; 2 ; 2.005.000 ; 15 ; 84.559.864 ; 938 ; 294.773.507 ;
