Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
84;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;11;766.748;5;81.907;1;17.089;28;16.370.275;45;17.236.020;3;13.750.000;;;3;13.750.000;48;30.986.020
85;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;1;47.669;11;162.165;292;1.983.293;453;3.187.287;757;5.380.414;676;10.728.063;79;9.400.604;755;20.128.667;1.512;25.509.081
86;00.416.968;BANCO INTER S.A.;7;56.393;10;97.526;6.698;8.291.706;862;9.618.147;7.577;18.063.771;57;3.845.014;56;2.118.644;113;5.963.658;7.690;24.027.430
87;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.;4;4.282.700;40;5.901.808;2;1.528.264;46;2.263.404;92;13.976.177;2;6.000.000;1;3.160.000;3;9.160.000;95;23.136.177
88;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;;8;8.499.400;6;2.335.061;14;10.834.461;3;2.335.061;4;8.395.081;7;10.730.142;21;21.564.603
89;40.353.377;FOURTRADE CORRETORA DE CÂMBIO LTDA.;9;1.197.145;219;6.722.458;92;1.715.461;236;3.526.232;556;13.161.297;98;7.850.932;20;514.500;118;8.365.432;674;21.526.728
90;00.038.166;BANCO CENTRAL DO BRASIL;;;;;5;21.389.882;;;5;21.389.882;;;;; -   ; -   ;5;21.389.882
91;13.720.915;BANCO WESTERN UNION DO BRASIL S.A.;;;;;;;1;1.064;1;1.064;2;9.600.000;4;9.616.320;6;19.216.320;7;19.217.384
92;34.265.629;INTERCAM CORRETORA DE CÂMBIO LTDA.;11;680.576;132;6.329.166;84;1.098.452;143;1.034.976;370;9.143.169;220;7.212.404;82;1.637.034;302;8.849.438;672;17.992.607
93;7.237.373;BANCO DO NORDESTE DO BRASIL S.A.;26;5.948.679;10;265.374;17;397.196;31;1.276.672;84;7.887.921;10;1.712.971;18;6.393.245;28;8.106.216;112;15.994.137
