Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
45;00.997.185;BANCO B3 S.A.; -   ; -   ; -   ; -   ; 1.546 ; 1.324.335.623 ; 1.270 ; 1.375.930.798 ; 2.816 ; 2.700.266.421 ; 253 ; 329.878.323 ; 360 ; 278.338.206 ; 613 ; 608.216.529 ; 3.429 ; 3.308.482.950 ;;
46;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 570 ; 101.581.350 ; 471 ; 30.449.772 ; 32.681 ; 1.213.547.502 ; 1.861 ; 142.827.307 ; 35.583 ; 1.488.405.931 ; 560 ; 121.135.647 ; 1.393 ; 1.262.985.043 ; 1.953 ; 1.384.120.690 ; 37.536 ; 2.872.526.621 ;;
47;00.360.305;CAIXA ECONOMICA FEDERAL; 857 ; 324.413.180 ; 689 ; 28.311.383 ; 59.011 ; 397.830.068 ; 25.598 ; 563.178.858 ; 86.155 ; 1.313.733.489 ; 1.236 ; 582.476.182 ; 1.321 ; 712.860.980 ; 2.557 ; 1.295.337.162 ; 88.712 ; 2.609.070.651 ;;
48;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 224 ; 449.052.487 ; -   ; -   ; 269 ; 97.698.596 ; 13 ; 750.959 ; 506 ; 547.502.042 ; 3 ; 75.000.000 ; 55 ; 1.922.508.281 ; 58 ; 1.997.508.281 ; 564 ; 2.545.010.323 ;;
49;33.923.798;BANCO MASTER S/A; 574 ; 427.721.402 ; 1.262 ; 187.980.012 ; 21.307 ; 400.560.732 ; 2.816 ; 224.745.734 ; 25.959 ; 1.241.007.880 ; 125 ; 343.225.957 ; 201 ; 713.977.319 ; 326 ; 1.057.203.276 ; 26.285 ; 2.298.211.156 ;;
50;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.376 ; 41.645.444 ; 13.005 ; 312.910.471 ; 16.183 ; 428.303.558 ; 36.747 ; 605.534.405 ; 67.311 ; 1.388.393.878 ; 3.831 ; 633.840.745 ; 920 ; 185.226.778 ; 4.751 ; 819.067.523 ; 72.062 ; 2.207.461.401 ;;
51;62.144.175;BANCO PINE S.A.; 207 ; 237.812.801 ; 1.065 ; 583.810.190 ; 144 ; 207.427.130 ; 1.955 ; 162.783.255 ; 3.371 ; 1.191.833.376 ; 149 ; 676.673.690 ; 108 ; 336.824.648 ; 257 ; 1.013.498.338 ; 3.628 ; 2.205.331.714 ;;
52;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 31 ; 378.836.299 ; 19 ; 6.408.483 ; 17 ; 8.857.295 ; 88 ; 2.692.489 ; 155 ; 396.794.566 ; 62 ; 686.322.338 ; 89 ; 1.052.132.228 ; 151 ; 1.738.454.566 ; 306 ; 2.135.249.132 ;;
53;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 50 ; 297.019.947 ; 16 ; 20.067.490 ; 56 ; 13.206.671 ; 158 ; 147.623.444 ; 280 ; 477.917.552 ; 88 ; 640.261.602 ; 149 ; 794.419.216 ; 237 ; 1.434.680.818 ; 517 ; 1.912.598.370 ;;
54;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.; 4 ; 505.959 ; 42 ; 3.292.432 ; 5.816 ; 609.889.743 ; 29.534 ; 839.825.302 ; 35.396 ; 1.453.513.436 ; 4.456 ; 317.868.079 ; 344 ; 88.546.751 ; 4.800 ; 406.414.830 ; 40.196 ; 1.859.928.266 ;;
55;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 6.707 ; 334.867.863 ; 8.615 ; 376.998.386 ; 6.574 ; 283.762.343 ; 3.609 ; 263.313.647 ; 25.505 ; 1.258.942.239 ; 146 ; 271.206.465 ; 63 ; 266.626.693 ; 209 ; 537.833.158 ; 25.714 ; 1.796.775.397 ;;
