Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Nov/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
46;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 1.041 ; 23.566.777 ; 5.878 ; 133.603.750 ; 12.708 ; 140.875.028 ; 22.790 ; 523.167.340 ; 42.417 ; 821.212.895 ; 30.210 ; 975.232.947 ; 2.788 ; 482.574.165 ; 32.998 ; 1.457.807.112 ; 75.415 ; 2.279.020.007 ;
47;03.609.817;BANCO CARGILL S.A.; 192 ; 700.046.385 ; 22 ; 39.485.466 ; 59 ; 250.277.830 ; 240 ; 189.532.447 ; 513 ; 1.179.342.128 ; 17 ; 135.889.716 ; 48 ; 831.000.000 ; 65 ; 966.889.716 ; 578 ; 2.146.231.844 ;
48;33.923.798;BANCO MÁXIMA S.A.; 268 ; 3.691.972 ; 1.185 ; 36.584.210 ; 351 ; 16.800.453 ; 829 ; 15.290.936 ; 2.633 ; 72.367.571 ; 953 ; 1.051.637.467 ; 1.911 ; 1.022.078.577 ; 2.864 ; 2.073.716.044 ; 5.497 ; 2.146.083.615 ;
49;30.723.886;BANCO MODAL S.A.; 73 ; 26.624.810 ; 460 ; 41.442.806 ; 914 ; 911.034.091 ; 888 ; 170.485.650 ; 2.335 ; 1.149.587.356 ; 48 ; 71.749.095 ; 91 ; 789.739.476 ; 139 ; 861.488.572 ; 2.474 ; 2.011.075.928 ;
50;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 837 ; 395.437.758 ; 814 ; 526.843.231 ; 1.651 ; 922.280.989 ; 319 ; 373.715.903 ; 251 ; 242.339.636 ; 570 ; 616.055.540 ; 2.221 ; 1.538.336.529 ;
51;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 174 ; 14.505.956 ; 2.102 ; 81.773.661 ; 888 ; 304.091.664 ; 4.377 ; 233.298.333 ; 7.541 ; 633.669.614 ; 2.866 ; 410.375.372 ; 7.523 ; 409.602.085 ; 10.389 ; 819.977.457 ; 17.930 ; 1.453.647.071 ;
52;61.186.680;BANCO BMG S.A.; 115 ; 307.227.077 ; 22 ; 8.797.235 ; 25 ; 39.820.335 ; 187 ; 269.527.751 ; 349 ; 625.372.398 ; 43 ; 362.140.073 ; 76 ; 454.921.630 ; 119 ; 817.061.703 ; 468 ; 1.442.434.102 ;
53;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 4 ; 1.270.173 ; 401 ; 215.413.711 ; 406 ; 438.127.913 ; 2.293 ; 203.468.309 ; 3.104 ; 858.280.105 ; 354 ; 255.420.311 ; 104 ; 275.993.445 ; 458 ; 531.413.756 ; 3.562 ; 1.389.693.861 ;
54;59.118.133;BANCO LUSO BRASILEIRO S.A.; 1.098 ; 239.833.647 ; 1.375 ; 179.450.331 ; 391 ; 144.530.302 ; 2.726 ; 134.370.139 ; 5.590 ; 698.184.418 ; 2.183 ; 268.670.357 ; 1.333 ; 339.213.946 ; 3.516 ; 607.884.303 ; 9.106 ; 1.306.068.722 ;
55;92.894.922;BANCO ORIGINAL S.A.; 172 ; 204.759.676 ; 1.237 ; 166.686.548 ; 370 ; 319.390.541 ; 2.015 ; 45.098.685 ; 3.794 ; 735.935.450 ; 122 ; 97.766.471 ; 48 ; 465.737.576 ; 170 ; 563.504.048 ; 3.964 ; 1.299.439.498 ;
