Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Out/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 356 ; 1.336.801.257 ; 1.012 ; 27.020.345 ; 1.623 ; 281.418.725 ; 4.140 ; 638.064.744 ; 7.131 ; 2.283.305.071 ; 2.125 ; 769.572.538 ; 2.516 ; 1.722.300.504 ; 4.641 ; 2.491.873.042 ; 11.772 ; 4.775.178.113 ;
36;10.690.848;BANCO DA CHINA BRASIL S.A.; 95 ; 441.041.378 ; 106 ; 19.259.112 ; 129 ; 1.483.612.567 ; 459 ; 1.203.410.246 ; 789 ; 3.147.323.304 ; 192 ; 368.910.021 ; 235 ; 1.020.870.135 ; 427 ; 1.389.780.156 ; 1.216 ; 4.537.103.460 ;
37;28.195.667;BANCO ABC BRASIL S.A.; 716 ; 265.382.367 ; 1.239 ; 106.251.762 ; 237 ; 668.315.446 ; 2.370 ; 608.943.053 ; 4.562 ; 1.648.892.629 ; 391 ; 1.352.877.283 ; 446 ; 1.226.456.183 ; 837 ; 2.579.333.466 ; 5.399 ; 4.228.226.095 ;
38;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 378 ; 330.660.065 ; 1.076 ; 123.736.147 ; 541 ; 740.469.957 ; 671 ; 369.624.149 ; 2.666 ; 1.564.490.318 ; 778 ; 987.606.581 ; 810 ; 1.559.115.724 ; 1.588 ; 2.546.722.305 ; 4.254 ; 4.111.212.622 ;
39;61.146.577;BANCO BARCLAYS S.A.;;; 1 ; 39.012.310 ; 240 ; 725.005.197 ; 285 ; 1.038.959.365 ; 526 ; 1.802.976.872 ; 226 ; 1.022.675.532 ; 236 ; 677.596.143 ; 462 ; 1.700.271.675 ; 988 ; 3.503.248.547 ;
40;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 21 ; 134.000.000 ; 765 ; 151.540.138 ; 82 ; 1.094.915.935 ; 179 ; 1.039.228.181 ; 1.047 ; 2.419.684.254 ; 228 ; 123.459.165 ; 87 ; 190.349.841 ; 315 ; 313.809.006 ; 1.362 ; 2.733.493.259 ;
41;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 183 ; 55.320.099 ; 806 ; 98.929.084 ; 679 ; 1.131.769.636 ; 740 ; 872.621.376 ; 2.408 ; 2.158.640.196 ; 509 ; 150.131.168 ; 287 ; 367.084.746 ; 796 ; 517.215.914 ; 3.204 ; 2.675.856.110 ;
42;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 334.848 ; 1.086 ; 628.812.612 ; 1.902 ; 442.963.309 ; 2.989 ; 1.072.110.769 ; 164 ; 691.116.829 ; 377 ; 825.036.679 ; 541 ; 1.516.153.508 ; 3.530 ; 2.588.264.277 ;
43;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 276 ; 426.356.312 ; 247 ; 197.503.246 ; 99 ; 514.615.669 ; 840 ; 491.436.610 ; 1.462 ; 1.629.911.837 ; 42 ; 372.678.847 ; 57 ; 562.693.080 ; 99 ; 935.371.927 ; 1.561 ; 2.565.283.764 ;
44;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 8.631 ; 691.188.485 ; 9.615 ; 436.137.290 ; 3.518 ; 242.136.627 ; 11.342 ; 323.140.124 ; 33.106 ; 1.692.602.526 ; 276 ; 330.389.243 ; 328 ; 491.517.912 ; 604 ; 821.907.155 ; 33.710 ; 2.514.509.681 ;
45;33.923.798;BANCO MÁXIMA S.A.; 245 ; 3.424.969 ; 1.125 ; 34.886.504 ; 323 ; 15.928.307 ; 780 ; 15.038.340 ; 2.473 ; 69.278.120 ; 804 ; 1.048.997.882 ; 1.850 ; 1.019.996.055 ; 2.654 ; 2.068.993.936 ; 5.127 ; 2.138.272.057 ;
46;58.616.418;BANCO FIBRA S.A.; 995 ; 223.106.667 ; 3.514 ; 263.956.621 ; 373 ; 326.306.502 ; 1.799 ; 451.626.916 ; 6.681 ; 1.264.996.705 ; 130 ; 577.241.657 ; 79 ; 276.491.128 ; 209 ; 853.732.785 ; 6.890 ; 2.118.729.489 ;
47;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 916 ; 20.640.507 ; 5.295 ; 120.304.179 ; 11.437 ; 124.611.243 ; 20.927 ; 483.001.153 ; 38.575 ; 748.557.083 ; 27.769 ; 900.341.398 ; 2.585 ; 442.296.791 ; 30.354 ; 1.342.638.190 ; 68.929 ; 2.091.195.273 ;
48;03.609.817;BANCO CARGILL S.A.; 170 ; 596.867.239 ; 22 ; 39.485.466 ; 54 ; 233.644.425 ; 215 ; 183.225.546 ; 461 ; 1.053.222.676 ; 17 ; 135.889.716 ; 43 ; 734.500.000 ; 60 ; 870.389.716 ; 521 ; 1.923.612.392 ;
49;30.723.886;BANCO MODAL S.A.; 58 ; 25.709.190 ; 403 ; 36.180.159 ; 788 ; 826.584.709 ; 777 ; 161.488.668 ; 2.026 ; 1.049.962.726 ; 45 ; 66.161.011 ; 79 ; 712.651.997 ; 124 ; 778.813.008 ; 2.150 ; 1.828.775.734 ;
50;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 788 ; 356.452.927 ; 766 ; 498.241.829 ; 1.554 ; 854.694.755 ; 292 ; 349.106.732 ; 231 ; 207.285.916 ; 523 ; 556.392.648 ; 2.077 ; 1.411.087.404 ;
51;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 4 ; 1.270.173 ; 380 ; 207.164.100 ; 364 ; 434.499.479 ; 2.209 ; 201.456.827 ; 2.957 ; 844.390.578 ; 341 ; 246.186.099 ; 97 ; 273.333.445 ; 438 ; 519.519.544 ; 3.395 ; 1.363.910.122 ;
52;61.186.680;BANCO BMG S.A.; 102 ; 276.229.578 ; 17 ; 3.665.578 ; 23 ; 39.095.681 ; 170 ; 249.892.076 ; 312 ; 568.882.913 ; 38 ; 303.640.073 ; 70 ; 392.486.520 ; 108 ; 696.126.594 ; 420 ; 1.265.009.507 ;
53;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 145 ; 10.600.006 ; 1.906 ; 73.341.271 ; 792 ; 276.974.318 ; 3.988 ; 198.107.710 ; 6.831 ; 559.023.304 ; 2.522 ; 346.765.282 ; 6.343 ; 356.456.034 ; 8.865 ; 703.221.317 ; 15.696 ; 1.262.244.621 ;
54;92.894.922;BANCO ORIGINAL S.A.; 149 ; 183.230.069 ; 1.093 ; 148.620.895 ; 337 ; 319.197.310 ; 1.841 ; 42.277.106 ; 3.420 ; 693.325.379 ; 109 ; 86.321.906 ; 45 ; 455.737.257 ; 154 ; 542.059.163 ; 3.574 ; 1.235.384.543 ;
55;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS; 11 ; 808.352 ;;; 669 ; 3.844.276 ; 1.401 ; 13.771.503 ; 2.081 ; 18.424.131 ; 2.767 ; 577.231.811 ; 1.423 ; 568.103.538 ; 4.190 ; 1.145.335.349 ; 6.271 ; 1.163.759.480 ;
