Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
45;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 237 ; 130.096.509 ; 408 ; 78.254.127 ; 645 ; 208.350.636 ; 11 ; 12.515.235 ; 59 ; 64.400.000 ; 70 ; 76.915.235 ; 715 ; 285.265.871 ;;;;
46;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 7 ; 37.089.785 ;;; 3 ; 2.527.906 ; 24 ; 14.857.871 ; 34 ; 54.475.561 ; 18 ; 79.891.941 ; 24 ; 102.673.830 ; 42 ; 182.565.771 ; 76 ; 237.041.333 ;;;;
47;45.246.410;PLURAL S.A. BANCO MÚLTIPLO; 9 ; 1.342.124 ; 24 ; 857.425 ; 180 ; 17.020.220 ; 442 ; 100.982.944 ; 655 ; 120.202.713 ; 60 ; 89.955.647 ; 4 ; 6.521.968 ; 64 ; 96.477.614 ; 719 ; 216.680.327 ;;;;
48;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 13 ; 1.608.764 ; 21 ; 727.741 ; 9 ; 441.980 ; 57 ; 51.790.181 ; 100 ; 54.568.667 ; 14 ; 106.500.000 ; 8 ; 55.000.000 ; 22 ; 161.500.000 ; 122 ; 216.068.667 ;;;;
49;03.609.817;BANCO CARGILL S.A.; 53 ; 63.549.640 ; 1 ; 660.077 ; 4 ; 15.086.909 ; 33 ; 2.074.001 ; 91 ; 81.370.628 ; 1 ; 50.000.000 ; 6 ; 75.000.000 ; 7 ; 125.000.000 ; 98 ; 206.370.628 ;;;;
50;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 209 ; 5.343.754 ; 2.119 ; 29.925.945 ; 1.935 ; 13.246.053 ; 5.303 ; 37.626.428 ; 9.566 ; 86.142.181 ; 788 ; 83.146.912 ; 238 ; 34.194.521 ; 1.026 ; 117.341.432 ; 10.592 ; 203.483.613 ;;;;
51;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 720 ; 32.386.064 ; 1.451 ; 52.748.176 ; 478 ; 5.644.755 ; 1.293 ; 19.205.864 ; 3.942 ; 109.984.860 ; 58 ; 55.445.803 ; 28 ; 7.543.727 ; 86 ; 62.989.529 ; 4.028 ; 172.974.390 ;;;;
52;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 8 ; 19.100.000 ; 32 ; 56.584.770 ; 3 ; 787.339 ; 98 ; 10.348.872 ; 141 ; 86.820.981 ; 14 ; 61.000.000 ; 5 ; 15.500.000 ; 19 ; 76.500.000 ; 160 ; 163.320.981 ;;;;
53;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 8 ; 924.163 ; 33 ; 3.268.274 ; 2.779 ; 72.813.539 ; 160 ; 3.658.281 ; 2.980 ; 80.664.256 ; 70 ; 4.351.847 ; 149 ; 71.162.541 ; 219 ; 75.514.389 ; 3.199 ; 156.178.645 ;;;;
54;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 1.030 ; 40.447.938 ; 18.565 ; 64.925.572 ; 19.595 ; 105.373.510 ; 325 ; 35.796.760 ; 505 ; 10.955.350 ; 830 ; 46.752.111 ; 20.425 ; 152.125.621 ;;;;
55;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 8 ; 2.293.701 ; 32 ; 3.038.757 ; 16 ; 65.429.428 ; 58 ; 11.797.598 ; 114 ; 82.559.485 ; 15 ; 7.341.102 ; 11 ; 59.731.621 ; 26 ; 67.072.722 ; 140 ; 149.632.207 ;;;;
56;15.114.366;BANCO BOCOM BBM S.A.; 24 ; 29.147.645 ; 8 ; 531.345 ; 23 ; 8.229.279 ; 147 ; 40.638.238 ; 202 ; 78.546.508 ; 2 ; 5.000.708 ; 4 ; 45.000.728 ; 6 ; 50.001.436 ; 208 ; 128.547.943 ;;;;
57;00.997.185;BANCO B3 S.A.;;;;; 82 ; 18.863.115 ; 99 ; 48.471.558 ; 181 ; 67.334.673 ; 56 ; 44.057.518 ; 19 ; 14.417.478 ; 75 ; 58.474.997 ; 256 ; 125.809.670 ;;;;
58;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 39 ; 53.700.620 ; 75 ; 4.770.313 ; 70 ; 663.039 ; 66 ; 2.221.327 ; 250 ; 61.355.300 ; 60 ; 10.632.617 ; 33 ; 53.441.123 ; 93 ; 64.073.740 ; 343 ; 125.429.040 ;;;;
59;59.118.133;BANCO LUSO BRASILEIRO S.A.; 62 ; 5.679.621 ; 311 ; 35.499.831 ; 46 ; 8.882.270 ; 137 ; 7.144.373 ; 556 ; 57.206.096 ; 296 ; 47.874.367 ; 104 ; 19.768.842 ; 400 ; 67.643.209 ; 956 ; 124.849.305 ;;;;
60;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 858 ; 8.146.858 ; 3.598 ; 57.827.640 ; 4.456 ; 65.974.497 ; 3.144 ; 54.557.411 ; 40 ; 264.617 ; 3.184 ; 54.822.028 ; 7.640 ; 120.796.525 ;;;;
61;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 18 ; 27.249.751 ; 24 ; 32.946.487 ; 42 ; 60.196.239 ; 10 ; 31.816.251 ; 13 ; 26.143.434 ; 23 ; 57.959.685 ; 65 ; 118.155.924 ;;;;
