Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
38;33.042.953;CITIBANK N.A.;;;;; 4 ; 880 ; 30 ; 473.244 ; 34 ; 474.124 ; 2 ; 556.000.000 ; 7 ; 1.321.000.000 ; 9 ; 1.877.000.000 ; 43 ; 1.877.474.124 ;
39;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 238 ; 334.356.245 ; 747 ; 126.139.073 ; 226 ; 110.375.903 ; 563 ; 169.709.790 ; 1.774 ; 740.581.010 ; 322 ; 501.953.215 ; 335 ; 599.100.301 ; 657 ; 1.101.053.516 ; 2.431 ; 1.841.634.526 ;
40;71.027.866;BANCO BS2 S.A.; 1.304 ; 209.673.415 ; 4.406 ; 182.745.239 ; 23.844 ; 485.351.126 ; 54.289 ; 306.105.115 ; 83.843 ; 1.183.874.896 ; 177 ; 214.426.758 ; 311 ; 417.093.931 ; 488 ; 631.520.688 ; 84.331 ; 1.815.395.584 ;
41;45.246.410;BANCO GENIAL S.A.; 79 ; 6.843.848 ; 137 ; 17.267.026 ; 810 ; 109.987.995 ; 1.706 ; 738.209.981 ; 2.732 ; 872.308.850 ; 228 ; 685.189.733 ; 26 ; 46.571.450 ; 254 ; 731.761.183 ; 2.986 ; 1.604.070.033 ;
42;62.144.175;BANCO PINE S.A.; 116 ; 75.494.765 ; 1.190 ; 120.205.015 ; 16 ; 15.496.378 ; 211 ; 41.724.618 ; 1.533 ; 252.920.777 ; 102 ; 709.350.700 ; 413 ; 618.185.214 ; 515 ; 1.327.535.914 ; 2.048 ; 1.580.456.691 ;
43;00.997.185;BANCO B3 S.A.;;;;; 453 ; 600.107.996 ; 446 ; 684.206.297 ; 899 ; 1.284.314.293 ; 186 ; 180.909.294 ; 134 ; 96.807.484 ; 320 ; 277.716.779 ; 1.219 ; 1.562.031.072 ;
44;33.923.798;BANCO MÁXIMA S.A.; 454 ; 36.602.222 ; 1.375 ; 76.433.071 ; 46.252 ; 414.384.224 ; 179.754 ; 476.008.317 ; 227.835 ; 1.003.427.835 ; 335 ; 276.505.257 ; 234 ; 169.495.616 ; 569 ; 446.000.873 ; 228.404 ; 1.449.428.708 ;
45;13.059.145;BEXS BANCO DE CÂMBIO S/A; 46 ; 187.183.530 ; 28 ; 3.834.744 ; 22.932 ; 108.042.692 ; 247.491 ; 474.406.891 ; 270.497 ; 773.467.857 ; 490 ; 409.482.346 ; 129 ; 229.552.371 ; 619 ; 639.034.717 ; 271.116 ; 1.412.502.575 ;
46;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 400 ; 66.114.125 ; 1.398 ; 580.212.657 ; 1.798 ; 646.326.782 ; 274 ; 577.275.824 ; 32 ; 137.830.000 ; 306 ; 715.105.824 ; 2.104 ; 1.361.432.606 ;
47;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 101 ; 219.483.552 ;;; 127 ; 52.774.028 ; 12 ; 420.107 ; 240 ; 272.677.687 ; 20 ; 483.955.866 ; 24 ; 434.402.456 ; 44 ; 918.358.322 ; 284 ; 1.191.036.008 ;
48;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 93 ; 399.130.800 ; 38 ; 190.798.170 ; 131 ; 589.928.970 ; 22 ; 184.619.696 ; 65 ; 390.456.180 ; 87 ; 575.075.876 ; 218 ; 1.165.004.846 ;
49;10.690.848;BANCO DA CHINA BRASIL S.A.; 63 ; 107.661.442 ; 90 ; 25.802.816 ; 72 ; 299.438.218 ; 228 ; 112.406.986 ; 453 ; 545.309.462 ; 136 ; 144.939.759 ; 171 ; 413.869.590 ; 307 ; 558.809.349 ; 760 ; 1.104.118.811 ;
50;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 5 ; 9.920.015 ; 133 ; 28.524.720 ; 194 ; 44.018.512 ; 345 ; 294.366.967 ; 677 ; 376.830.215 ; 157 ; 457.962.432 ; 28 ; 188.999.280 ; 185 ; 646.961.712 ; 862 ; 1.023.791.927 ;
51;15.114.366;BANCO BOCOM BBM S.A.; 52 ; 47.118.812 ; 140 ; 27.444.772 ; 97 ; 202.027.617 ; 617 ; 186.947.162 ; 906 ; 463.538.363 ; 19 ; 153.826.604 ; 43 ; 388.823.995 ; 62 ; 542.650.599 ; 968 ; 1.006.188.962 ;
52;00.360.305;CAIXA ECONOMICA FEDERAL; 445 ; 112.050.264 ; 284 ; 15.686.594 ; 34.285 ; 145.522.675 ; 1.813 ; 158.285.998 ; 36.827 ; 431.545.532 ; 693 ; 242.912.174 ; 774 ; 300.780.434 ; 1.467 ; 543.692.608 ; 38.294 ; 975.238.140 ;
53;03.609.817;BANCO CARGILL S.A.; 99 ; 134.350.393 ; 1 ; 19.588 ; 18 ; 12.136.457 ; 183 ; 65.801.235 ; 301 ; 212.307.673 ; 7 ; 240.000.000 ; 10 ; 305.000.000 ; 17 ; 545.000.000 ; 318 ; 757.307.673 ;
54;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 943 ; 24.548.379 ; 7.544 ; 163.495.114 ; 6.409 ; 85.634.769 ; 13.227 ; 145.951.243 ; 28.123 ; 419.629.505 ; 2.117 ; 267.378.126 ; 474 ; 67.909.763 ; 2.591 ; 335.287.889 ; 30.714 ; 754.917.394 ;
55;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 800 ; 17.991.176 ; 3.768 ; 116.906.003 ; 18.693 ; 111.761.538 ; 10.778 ; 149.070.963 ; 34.039 ; 395.729.681 ; 2.363 ; 231.109.932 ; 1.058 ; 94.884.616 ; 3.421 ; 325.994.548 ; 37.460 ; 721.724.228 ;
56;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 74 ; 11.343.771 ; 161 ; 8.131.183 ; 12.830 ; 303.060.070 ; 813 ; 20.893.109 ; 13.878 ; 343.428.133 ; 246 ; 14.057.516 ; 627 ; 299.436.577 ; 873 ; 313.494.092 ; 14.751 ; 656.922.226 ;
57;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 2.720 ; 169.358.629 ; 2.329 ; 118.528.288 ; 1.560 ; 23.308.618 ; 1.726 ; 105.942.703 ; 8.335 ; 417.138.238 ; 61 ; 100.591.878 ; 57 ; 67.078.298 ; 118 ; 167.670.177 ; 8.453 ; 584.808.414 ;
58;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 3.084 ; 188.336.311 ; 2.782 ; 169.475.278 ; 1.926 ; 38.375.650 ; 1.331 ; 48.668.889 ; 9.123 ; 444.856.128 ; 53 ; 50.027.497 ; 26 ; 58.245.326 ; 79 ; 108.272.822 ; 9.202 ; 553.128.950 ;
59;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 105 ; 158.333.903 ; 143 ; 22.804.105 ; 213 ; 45.328.097 ; 242 ; 63.901.179 ; 703 ; 290.367.284 ; 128 ; 55.373.028 ; 104 ; 189.047.067 ; 232 ; 244.420.095 ; 935 ; 534.787.380 ;
60;30.723.886;BANCO MODAL S.A.; 4 ; 197.930 ; 103 ; 17.234.990 ; 458 ; 162.763.488 ; 391 ; 60.773.477 ; 956 ; 240.969.886 ; 19 ; 78.060.862 ; 21 ; 167.552.629 ; 40 ; 245.613.492 ; 996 ; 486.583.378 ;
61;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 18 ; 5.826.335 ; 356 ; 15.018.564 ; 616 ; 65.584.598 ; 2.382 ; 134.267.914 ; 3.372 ; 220.697.411 ; 691 ; 164.970.917 ; 340 ; 87.019.948 ; 1.031 ; 251.990.865 ; 4.403 ; 472.688.276 ;
62;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 8 ; 69.644.079 ; 43 ; 51.893.242 ; 31 ; 10.231.242 ; 56 ; 1.635.066 ; 138 ; 133.403.629 ; 8 ; 127.088.757 ; 11 ; 208.935.400 ; 19 ; 336.024.157 ; 157 ; 469.427.786 ;
63;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 14 ; 60.465.559 ; 354 ; 54.453.359 ; 15 ; 62.534.444 ; 278 ; 40.533.098 ; 661 ; 217.986.461 ; 30 ; 103.188.705 ; 23 ; 131.544.390 ; 53 ; 234.733.095 ; 714 ; 452.719.556 ;
64;59.118.133;BANCO LUSO BRASILEIRO S.A.; 270 ; 29.047.252 ; 995 ; 117.416.021 ; 130 ; 33.161.783 ; 702 ; 26.583.959 ; 2.097 ; 206.209.015 ; 938 ; 147.651.475 ; 366 ; 65.859.390 ; 1.304 ; 213.510.864 ; 3.401 ; 419.719.879 ;
