Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
59;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 27 ; 25.891.198 ; 78 ; 11.534.942 ; 39 ; 255.968 ; 63 ; 3.734.220 ; 207 ; 41.416.328 ; 48 ; 21.886.492 ; 34 ; 28.089.263 ; 82 ; 49.975.754 ; 289 ; 91.392.083 ;
60;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 240 ; 8.489.460 ; 1.029 ; 27.894.846 ; 459 ; 10.366.595 ; 609 ; 9.612.293 ; 2.337 ; 56.363.194 ; 347 ; 26.367.689 ; 55 ; 7.727.037 ; 402 ; 34.094.726 ; 2.739 ; 90.457.920 ;
61;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 110 ; 1.761.407 ; 1.314 ; 31.095.294 ; 475 ; 7.408.288 ; 1.098 ; 11.498.201 ; 2.997 ; 51.763.190 ; 559 ; 35.952.888 ; 21 ; 2.488.929 ; 580 ; 38.441.818 ; 3.577 ; 90.205.008 ;
62;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 3.632 ; 36.304.466 ; 8.157 ; 36.040.519 ; 11.789 ; 72.344.985 ; 45 ; 6.587.592 ; 84 ; 9.409.713 ; 129 ; 15.997.304 ; 11.918 ; 88.342.289 ;
63;59.118.133;BANCO LUSO BRASILEIRO S.A.; 100 ; 11.851.680 ; 282 ; 25.723.462 ; 32 ; 2.986.954 ; 83 ; 3.834.363 ; 497 ; 44.396.458 ; 263 ; 28.020.215 ; 121 ; 12.871.578 ; 384 ; 40.891.793 ; 881 ; 85.288.251 ;
64;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 19 ; 7.297.022 ; 24 ; 675.986 ; 7 ; 23.657.570 ; 27 ; 8.922.997 ; 77 ; 40.553.574 ; 24 ; 11.246.144 ; 28 ; 32.606.147 ; 52 ; 43.852.291 ; 129 ; 84.405.865 ;
65;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 3 ; 3.512.979 ; 69 ; 870.861 ; 104 ; 4.705.782 ; 587 ; 21.844.090 ; 763 ; 30.933.712 ; 200 ; 30.181.937 ; 106 ; 15.724.115 ; 306 ; 45.906.052 ; 1.069 ; 76.839.764 ;
66;30.723.886;BANCO MODAL S.A.; 3 ; 1.226.771 ; 44 ; 2.292.385 ; 192 ; 31.706.391 ; 108 ; 7.864.812 ; 347 ; 43.090.360 ; 3 ; 621.896 ; 7 ; 26.003.265 ; 10 ; 26.625.162 ; 357 ; 69.715.522 ;
67;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 134 ; 2.440.789 ; 1.364 ; 24.683.872 ; 293 ; 5.053.816 ; 910 ; 7.705.888 ; 2.701 ; 39.884.365 ; 421 ; 27.229.265 ; 44 ; 2.234.528 ; 465 ; 29.463.793 ; 3.166 ; 69.348.158 ;
68;03.609.817;BANCO CARGILL S.A.; 10 ; 24.648.315 ; 1 ; 17.656 ; 11 ; 8.319.947 ; 15 ; 724.520 ; 37 ; 33.710.437 ;;; 2 ; 31.000.000 ; 2 ; 31.000.000 ; 39 ; 64.710.437 ;
