Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
48;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 3 ; 3.200.024 ; 5 ; 492.994 ; 13 ; 199.307.698 ; 32 ; 59.924.089 ; 53 ; 262.924.805 ; 9 ; 13.654.060 ; 6 ; 155.163.155 ; 15 ; 168.817.215 ; 68 ; 431.742.020 ;;
49;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 4 ; 195.983.319 ; 4 ; 1.199.160 ; 2 ; 94.039 ; 28 ; 454.231 ; 38 ; 197.730.749 ; -   ; -   ; 2 ; 195.000.000 ; 2 ; 195.000.000 ; 40 ; 392.730.749 ;;
50;62.144.175;BANCO PINE S.A.; 56 ; 85.451.606 ; 290 ; 58.232.784 ; 14 ; 2.323.292 ; 565 ; 52.268.252 ; 925 ; 198.275.934 ; 17 ; 98.390.899 ; 18 ; 68.151.974 ; 35 ; 166.542.873 ; 960 ; 364.818.807 ;;
51;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.; 3 ; 55.940 ; 114 ; 2.127.495 ; 832 ; 134.969.512 ; 5.540 ; 138.933.057 ; 6.489 ; 276.086.004 ; 646 ; 36.686.780 ; 102 ; 30.681.479 ; 748 ; 67.368.259 ; 7.237 ; 343.454.263 ;;
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 160 ; 4.313.163 ; 2.097 ; 39.011.563 ; 1.909 ; 67.682.051 ; 3.515 ; 86.490.817 ; 7.681 ; 197.497.594 ; 371 ; 84.901.915 ; 65 ; 31.288.954 ; 436 ; 116.190.869 ; 8.117 ; 313.688.463 ;;
53;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 454 ; 130.201.191 ; 566 ; 33.159.645 ; 333 ; 15.701.397 ; 446 ; 10.716.214 ; 1.799 ; 189.778.447 ; 5 ; 7.073.981 ; 55 ; 111.173.903 ; 60 ; 118.247.884 ; 1.859 ; 308.026.331 ;;
54;07.656.500;BANCO KDB DO BRASIL S.A.; -   ; -   ; 1 ; 1.642.845 ; 112 ; 109.114.754 ; 222 ; 36.445.655 ; 335 ; 147.203.254 ; 16 ; 33.894.019 ; 55 ; 125.288.000 ; 71 ; 159.182.019 ; 406 ; 306.385.273 ;;
55;61.024.352;BANCO VOITER S.A.; 25 ; 12.870.516 ; 258 ; 36.064.449 ; 127 ; 47.566.229 ; 743 ; 48.711.369 ; 1.153 ; 145.212.563 ; 74 ; 64.565.609 ; 74 ; 46.173.085 ; 148 ; 110.738.694 ; 1.301 ; 255.951.257 ;;
56;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 13 ; 1.237.462 ; 157 ; 5.989.059 ; 200 ; 65.989.890 ; 541 ; 92.647.429 ; 911 ; 165.863.840 ; 146 ; 57.770.840 ; 58 ; 26.383.885 ; 204 ; 84.154.725 ; 1.115 ; 250.018.565 ;;
57;10.690.848;BANCO DA CHINA BRASIL S.A.; 22 ; 18.364.053 ; 24 ; 6.352.992 ; 87 ; 27.628.468 ; 105 ; 23.834.352 ; 238 ; 76.179.865 ; 61 ; 65.378.144 ; 60 ; 81.403.115 ; 121 ; 146.781.259 ; 359 ; 222.961.124 ;;
58;61.384.004;AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.; -   ; -   ; -   ; -   ; 11.502 ; 21.724.618 ; 75.621 ; 97.560.423 ; 87.123 ; 119.285.041 ; 139 ; 75.575.000 ; -   ; -   ; 139 ; 75.575.000 ; 87.262 ; 194.860.041 ;;
59;45.246.410;BANCO GENIAL S.A.; 6 ; 834.246 ; 28 ; 2.229.888 ; 310 ; 65.666.122 ; 470 ; 76.114.043 ; 814 ; 144.844.299 ; 12 ; 18.937.866 ; 4 ; 9.287.783 ; 16 ; 28.225.649 ; 830 ; 173.069.948 ;;
60;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 112 ; 2.436.718 ; 982 ; 32.840.050 ; 1.412 ; 14.383.016 ; 2.811 ; 21.717.123 ; 5.317 ; 71.376.907 ; 619 ; 69.508.147 ; 112 ; 31.982.829 ; 731 ; 101.490.976 ; 6.048 ; 172.867.883 ;;
61;00.416.968;BANCO INTER S.A.; 42 ; 198.532 ; 217 ; 812.557 ; 53.765 ; 81.161.265 ; 157.697 ; 65.482.209 ; 211.721 ; 147.654.563 ; 5 ; 235.291 ; 8 ; 21.073.801 ; 13 ; 21.309.092 ; 211.734 ; 168.963.655 ;;
62;59.285.411;BANCO PAN S.A.; -   ; -   ; -   ; -   ; 10 ; 24.494 ; 55 ; 81.775.670 ; 65 ; 81.800.164 ; 6 ; 81.830.000 ; -   ; -   ; 6 ; 81.830.000 ; 71 ; 163.630.164 ;;
63;60.889.128;BANCO SOFISA S.A.; 242 ; 46.683.815 ; 160 ; 15.337.272 ; 21 ; 2.071.536 ; 126 ; 5.257.915 ; 549 ; 69.350.538 ; 16 ; 28.543.060 ; 14 ; 51.625.404 ; 30 ; 80.168.464 ; 579 ; 149.519.002 ;;
64;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 749 ; 351.212 ; 27.069 ; 8.162.640 ; 144.522 ; 50.623.096 ; 227.428 ; 61.360.735 ; 399.768 ; 120.497.683 ; 48 ; 21.898.816 ; 137 ; 4.996.430 ; 185 ; 26.895.246 ; 399.953 ; 147.392.929 ;;
65;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 211 ; 4.204.274 ; 851 ; 24.511.038 ; 9.571 ; 23.195.501 ; 32.396 ; 36.013.685 ; 43.029 ; 87.924.498 ; 965 ; 42.203.492 ; 87 ; 9.601.274 ; 1.052 ; 51.804.766 ; 44.081 ; 139.729.264 ;;
66;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 5 ; 16.088.736 ; 4 ; 221.881 ; 2 ; 3.975 ; 12 ; 5.781.625 ; 23 ; 22.096.217 ; 7 ; 48.641.303 ; 8 ; 58.635.471 ; 15 ; 107.276.774 ; 38 ; 129.372.991 ;;
67;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 15 ; 9.490.849 ; 23 ; 2.953.752 ; 8 ; 1.972.211 ; 61 ; 50.785.618 ; 107 ; 65.202.430 ; 8 ; 47.591.510 ; 4 ; 10.600.019 ; 12 ; 58.191.529 ; 119 ; 123.393.959 ;;
68;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA; 10 ; 266.938 ; 228 ; 5.840.248 ; 5.783 ; 4.169.584 ; 7.768 ; 25.847.631 ; 13.789 ; 36.124.401 ; 1.889 ; 56.705.354 ; 171 ; 29.475.189 ; 2.060 ; 86.180.543 ; 15.849 ; 122.304.944 ;;
69;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 172 ; 3.362.483 ; 1.369 ; 37.708.359 ; 350 ; 7.478.116 ; 923 ; 12.206.776 ; 2.814 ; 60.755.734 ; 341 ; 40.691.503 ; 16 ; 1.715.790 ; 357 ; 42.407.293 ; 3.171 ; 103.163.027 ;;
70;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 80 ; 1.509.378 ; 823 ; 17.908.396 ; 7.076 ; 11.897.552 ; 15.865 ; 24.243.913 ; 23.844 ; 55.559.239 ; 2.864 ; 36.563.272 ; 147 ; 7.893.844 ; 3.011 ; 44.457.116 ; 26.855 ; 100.016.355 ;;
71;59.118.133;BANCO LUSO BRASILEIRO S.A.; 31 ; 4.358.064 ; 82 ; 10.098.252 ; 12 ; 213.087 ; 113 ; 20.039.350 ; 238 ; 34.708.753 ; 147 ; 44.184.458 ; 56 ; 18.624.507 ; 203 ; 62.808.965 ; 441 ; 97.517.718 ;;
72;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 41 ; 542.191 ; 410 ; 5.231.263 ; 13.732 ; 19.444.426 ; 55.373 ; 34.148.231 ; 69.556 ; 59.366.111 ; 1.037 ; 26.825.279 ; 73 ; 7.719.629 ; 1.110 ; 34.544.908 ; 70.666 ; 93.911.019 ;;
