Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MAIO / 2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
54;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;; 1 ; 32.940.954 ; 1 ; 32.940.954 ;;; 1 ; 65.826.429 ; 1 ; 65.826.429 ; 2 ; 98.767.383 ;;;;
55;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 106 ; 14.388.860 ; 275 ; 40.940.720 ; 381 ; 55.329.580 ; 41 ; 33.550.000 ; 6 ; 7.100.000 ; 47 ; 40.650.000 ; 428 ; 95.979.580 ;;;;
56;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 2 ; 24.500.000 ; 17 ; 8.386.854 ; 43 ; 5.507.691 ; 79 ; 8.999.958 ; 141 ; 47.394.503 ; 36 ; 16.874.583 ; 8 ; 29.522.087 ; 44 ; 46.396.670 ; 185 ; 93.791.173 ;;;;
57;45.246.410;PLURAL S.A. BANCO MÚLTIPLO; 10 ; 583.287 ; 11 ; 1.873.925 ; 202 ; 24.899.079 ; 276 ; 27.308.385 ; 499 ; 54.664.677 ; 24 ; 20.657.497 ; 21 ; 16.966.195 ; 45 ; 37.623.693 ; 544 ; 92.288.370 ;;;;
58;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 12 ; 8.723.897 ; 5 ; 329.642 ; 16 ; 36.942.718 ; 30 ; 2.212.333 ; 63 ; 48.208.591 ; 7 ; 201.174 ; 15 ; 43.429.497 ; 22 ; 43.630.671 ; 85 ; 91.839.261 ;;;;
59;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 9 ; 35.325.441 ; 14 ; 8.855.182 ; 1 ; 53.878 ; 110 ; 4.975.675 ; 134 ; 49.210.176 ; 3 ; 6.500.000 ; 9 ; 28.000.000 ; 12 ; 34.500.000 ; 146 ; 83.710.176 ;;;;
60;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 5 ; 4.646.819 ;;; 14 ; 1.949.957 ; 181 ; 40.701.861 ; 200 ; 47.298.638 ; 7 ; 30.001.401 ; 1 ; 1.435 ; 8 ; 30.002.837 ; 208 ; 77.301.475 ;;;;
61;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 477 ; 19.415.981 ; 610 ; 16.032.148 ; 333 ; 4.969.134 ; 235 ; 10.837.051 ; 1.655 ; 51.254.313 ; 11 ; 13.294.910 ; 7 ; 8.934.590 ; 18 ; 22.229.500 ; 1.673 ; 73.483.813 ;;;;
62;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 126 ; 2.623.190 ; 782 ; 24.123.561 ; 454 ; 11.314.494 ; 456 ; 8.701.432 ; 1.818 ; 46.762.676 ; 292 ; 22.379.003 ; 48 ; 3.493.064 ; 340 ; 25.872.067 ; 2.158 ; 72.634.743 ;;;;
63;59.118.133;BANCO LUSO BRASILEIRO S.A.; 75 ; 6.836.741 ; 182 ; 19.377.007 ; 46 ; 7.545.669 ; 69 ; 1.555.046 ; 372 ; 35.314.463 ; 156 ; 21.094.133 ; 107 ; 14.031.345 ; 263 ; 35.125.478 ; 635 ; 70.439.941 ;;;;
64;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 80 ; 1.458.306 ; 825 ; 21.050.592 ; 478 ; 8.082.108 ; 774 ; 8.989.918 ; 2.157 ; 39.580.923 ; 322 ; 24.927.857 ; 39 ; 4.369.106 ; 361 ; 29.296.962 ; 2.518 ; 68.877.885 ;;;;
65;92.894.922;BANCO ORIGINAL S.A.; 18 ; 32.459.982 ; 6 ; 1.941.979 ; 39 ; 255.866 ; 81 ; 3.643.647 ; 144 ; 38.301.474 ; 3 ; 39.224 ; 6 ; 30.039.414 ; 9 ; 30.078.638 ; 153 ; 68.380.112 ;;;;
66;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 7 ; 10.831.813 ; 18 ; 2.002.075 ; 14 ; 23.542.012 ; 53 ; 22.669.373 ; 92 ; 59.045.273 ; 8 ; 2.766.524 ; 5 ; 5.923.301 ; 13 ; 8.689.825 ; 105 ; 67.735.098 ;;;;
67;61.186.680;BANCO BMG S.A.; 7 ; 784.916 ;;; 1 ; 7.270 ; 37 ; 6.746.831 ; 45 ; 7.539.017 ; 2 ; 32.000.000 ; 1 ; 20.000.000 ; 3 ; 52.000.000 ; 48 ; 59.539.017 ;;;;
68;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 2.916 ; 26.451.393 ; 4.388 ; 19.261.680 ; 7.304 ; 45.713.073 ; 24 ; 433.741 ; 47 ; 9.850.997 ; 71 ; 10.284.738 ; 7.375 ; 55.997.811 ;;;;
69;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 101 ; 1.729.932 ; 1.081 ; 18.246.242 ; 276 ; 3.577.914 ; 851 ; 6.953.932 ; 2.309 ; 30.508.020 ; 285 ; 22.111.635 ; 23 ; 2.121.814 ; 308 ; 24.233.449 ; 2.617 ; 54.741.469 ;;;;
70;17.184.037;BANCO MERCANTIL DO BRASIL S.A.;;; 1 ; 449 ; 50 ; 2.181.595 ; 42 ; 416.851 ; 93 ; 2.598.895 ; 23 ; 18.867.173 ; 24 ; 21.867.259 ; 47 ; 40.734.432 ; 140 ; 43.333.327 ;;;;
71;50.579.044;LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.; 32 ; 683.581 ; 612 ; 17.917.385 ; 150 ; 1.497.720 ; 469 ; 2.575.072 ; 1.263 ; 22.673.758 ; 387 ; 18.599.141 ; 11 ; 288.624 ; 398 ; 18.887.764 ; 1.661 ; 41.561.522 ;;;;
72;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 19 ; 305.515 ; 453 ; 12.475.355 ; 229 ; 1.670.147 ; 477 ; 4.611.326 ; 1.178 ; 19.062.344 ; 607 ; 17.064.498 ; 134 ; 1.966.353 ; 741 ; 19.030.851 ; 1.919 ; 38.093.194 ;;;;
73;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 3 ; 50.882 ; 63 ; 837.810 ; 114 ; 4.341.028 ; 537 ; 12.167.477 ; 717 ; 17.397.198 ; 109 ; 14.538.342 ; 57 ; 5.967.796 ; 166 ; 20.506.139 ; 883 ; 37.903.336 ;;;;
74;31.872.495;BANCO C6 S.A.; 9 ; 1.310.876 ; 52 ; 4.003.087 ; 141 ; 4.793.446 ; 1.446 ; 9.908.168 ; 1.648 ; 20.015.576 ; 8 ; 11.264.263 ; 1 ; 2.500.000 ; 9 ; 13.764.263 ; 1.657 ; 33.779.839 ;;;;
75;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 30 ; 681.288 ; 367 ; 8.466.937 ; 291 ; 3.281.549 ; 559 ; 4.586.125 ; 1.247 ; 17.015.899 ; 377 ; 11.232.664 ; 67 ; 2.161.858 ; 444 ; 13.394.522 ; 1.691 ; 30.410.421 ;;;;
