Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em AGOSTO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
49;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 6 ; 363.944 ; 9 ; 13.663.056 ; 5 ; 15.717.595 ; 51 ; 89.876.233 ; 71 ; 119.620.829 ; 9 ; 92.716.384 ; 4 ; 5.215.800 ; 13 ; 97.932.185 ; 84 ; 217.553.013 ;;;;
50;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 19 ; 476.882 ; 89 ; 1.181.823 ; 1.233 ; 10.420.426 ; 7.405 ; 95.096.844 ; 8.746 ; 107.175.975 ; 780 ; 85.690.339 ; 14 ; 308.150 ; 794 ; 85.998.488 ; 9.540 ; 193.174.464 ;;;;
51;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 5 ; 86.289 ; 96 ; 2.197.698 ; 345 ; 2.723.476 ; 1.645 ; 29.688.130 ; 2.091 ; 34.695.592 ; 2.045 ; 93.214.129 ; 317 ; 64.107.471 ; 2.362 ; 157.321.600 ; 4.453 ; 192.017.193 ;;;;
52;00.997.185;BANCO BM&FBOVESPA DE SERVIÄOS DE LIQUIDAÄ«O E CUST‡DIA S.A.;;;;; 44 ; 41.621.761 ; 33 ; 41.300.564 ; 77 ; 82.922.325 ; 26 ; 47.279.300 ; 29 ; 47.585.000 ; 55 ; 94.864.300 ; 132 ; 177.786.625 ;;;;
53;61.024.352;BANCO INDUSVAL S.A.; 71 ; 51.389.839 ; 26 ; 8.291.401 ; 11 ; 440.052 ; 55 ; 2.369.831 ; 163 ; 62.491.123 ; 31 ; 58.088.162 ; 52 ; 54.587.597 ; 83 ; 112.675.759 ; 246 ; 175.166.882 ;;;;
54;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 140 ; 46.354.189 ; 185 ; 21.671.324 ; 54 ; 4.935.164 ; 244 ; 21.413.026 ; 623 ; 94.373.703 ; 34 ; 35.194.992 ; 32 ; 42.770.524 ; 66 ; 77.965.517 ; 689 ; 172.339.219 ;;;;
55;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 64 ; 1.863.796 ; 944 ; 30.959.608 ; 128 ; 2.634.079 ; 4.518 ; 45.876.567 ; 5.654 ; 81.334.051 ; 756 ; 72.682.289 ; 1 ; 100.000 ; 757 ; 72.782.289 ; 6.411 ; 154.116.340 ;;;;
56;16.944.141;BROKER BRASIL CORRETORA DE C∂MBIO LTDA.; 3 ; 58.894 ; 226 ; 5.724.077 ; 132 ; 778.097 ; 889 ; 59.100.272 ; 1.250 ; 65.661.340 ; 1.300 ; 74.649.967 ; 115 ; 10.609.658 ; 1.415 ; 85.259.625 ; 2.665 ; 150.920.965 ;;;;
57;03.532.415;BANCO ABN AMRO S.A.; 16 ; 73.850.000 ;;; 2 ; 645.733 ; 3 ; 278.680 ; 21 ; 74.774.413 ;;; 21 ; 74.210.000 ; 21 ; 74.210.000 ; 42 ; 148.984.413 ;;;;
58;92.856.905;ADVANCED CORRETORA DE C∂MBIO LTDA; 69 ; 2.079.682 ; 1.259 ; 40.287.772 ; 836 ; 12.961.334 ; 2.896 ; 27.173.013 ; 5.060 ; 82.501.801 ; 489 ; 57.458.491 ; 76 ; 4.960.554 ; 565 ; 62.419.045 ; 5.625 ; 144.920.846 ;;;;
59;13.728.156;WESTERN UNION CORRETORA DE C∂MBIO S.A.;;; 42 ; 398.304 ; 511 ; 13.113.068 ; 1.663 ; 60.852.482 ; 2.216 ; 74.363.854 ; 721 ; 54.682.533 ; 446 ; 6.565.410 ; 1.167 ; 61.247.943 ; 3.383 ; 135.611.797 ;;;;
60;72.760.713;RENOVA S.A. CORRETORA DE C∂MBIO; 3 ; 19.928 ; 58 ; 1.417.618 ; 221 ; 1.670.486 ; 1.289 ; 13.940.404 ; 1.571 ; 17.048.436 ; 835 ; 65.218.351 ; 83 ; 51.575.316 ; 918 ; 116.793.667 ; 2.489 ; 133.842.102 ;;;;
61;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 32 ; 342.504 ; 926 ; 28.034.798 ; 627 ; 8.411.449 ; 2.720 ; 32.765.474 ; 4.305 ; 69.554.225 ; 419 ; 52.496.267 ; 4 ; 307.034 ; 423 ; 52.803.301 ; 4.728 ; 122.357.526 ;;;;
62;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 8 ; 1.261.414 ; 20 ; 1.339.513 ; 32 ; 862.425 ; 133 ; 4.169.183 ; 193 ; 7.632.535 ; 92 ; 63.086.786 ; 51 ; 51.448.327 ; 143 ; 114.535.113 ; 336 ; 122.167.648 ;;;;
63;12.586.596;MULTIMONEY CORRETORA DE C∂MBIO LTDA; 5 ; 446.500 ; 276 ; 7.377.239 ; 423 ; 1.631.124 ; 2.318 ; 29.788.083 ; 3.022 ; 39.242.947 ; 1.160 ; 58.590.080 ; 656 ; 23.077.860 ; 1.816 ; 81.667.940 ; 4.838 ; 120.910.886 ;;;;
64;11.495.073;OM DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS LTDA;;; 108 ; 5.812.814 ; 1.786 ; 2.215.548 ; 3.951 ; 24.546.298 ; 5.845 ; 32.574.660 ; 1.209 ; 58.239.799 ; 100 ; 30.016.225 ; 1.309 ; 88.256.024 ; 7.154 ; 120.830.684 ;;;;
65;58.616.418;BANCO FIBRA S.A.; 52 ; 13.820.351 ; 178 ; 12.301.270 ; 91 ; 2.523.392 ; 216 ; 36.037.215 ; 537 ; 64.682.227 ; 42 ; 32.048.809 ; 25 ; 17.971.284 ; 67 ; 50.020.094 ; 604 ; 114.702.321 ;;;;
66;33.886.862;MAXIMA S.A. CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS;;;;; 126 ; 515.576 ; 2.430 ; 53.424.388 ; 2.556 ; 53.939.964 ; 421 ; 53.889.566 ; 10 ; 197.411 ; 431 ; 54.086.977 ; 2.987 ; 108.026.941 ;;;;
67;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 1 ; 349.953 ;;; 40 ; 7.440.512 ; 119 ; 10.925.656 ; 160 ; 18.716.121 ; 14 ; 52.494.843 ; 11 ; 33.138.785 ; 25 ; 85.633.628 ; 185 ; 104.349.749 ;;;;
68;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 29 ; 42.022.234 ; 32 ; 2.907.688 ; 21 ; 678.254 ; 46 ; 4.048.649 ; 128 ; 49.656.825 ; 15 ; 6.635.652 ; 23 ; 42.485.457 ; 38 ; 49.121.110 ; 166 ; 98.777.934 ;;;;
69;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 43 ; 1.320.605 ; 780 ; 30.634.791 ; 357 ; 9.088.322 ; 981 ; 14.066.821 ; 2.161 ; 55.110.538 ; 206 ; 37.294.549 ; 12 ; 2.880.222 ; 218 ; 40.174.770 ; 2.379 ; 95.285.309 ;;;;
70;50.657.675;SLW CORRETORA DE VALORES E C∂MBIO LTDA.;;; 704 ; 34.454.275 ; 9 ; 630.470 ; 337 ; 9.833.542 ; 1.050 ; 44.918.287 ; 226 ; 41.359.071 ; 1 ; 593.010 ; 227 ; 41.952.081 ; 1.277 ; 86.870.368 ;;;;
