Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Jul/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 220 ; 1.106.477.198 ; 747 ; 19.659.432 ; 1.151 ; 206.778.340 ; 2.868 ; 426.987.784 ; 4.986 ; 1.759.902.754 ; 1.424 ; 462.191.913 ; 1.815 ; 1.329.179.012 ; 3.239 ; 1.791.370.925 ; 8.225 ; 3.551.273.679 ;
36;61.146.577;BANCO BARCLAYS S.A.;;; 1 ; 39.012.310 ; 235 ; 723.395.259 ; 265 ; 1.038.800.362 ; 501 ; 1.801.207.931 ; 219 ; 1.022.336.903 ; 227 ; 662.757.174 ; 446 ; 1.685.094.077 ; 947 ; 3.486.302.008 ;
37;28.195.667;BANCO ABC BRASIL S.A.; 397 ; 121.165.510 ; 890 ; 73.466.179 ; 174 ; 568.212.885 ; 1.694 ; 484.802.885 ; 3.155 ; 1.247.647.459 ; 268 ; 1.053.971.987 ; 319 ; 958.871.655 ; 587 ; 2.012.843.642 ; 3.742 ; 3.260.491.102 ;
38;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 237 ; 241.621.498 ; 629 ; 79.042.589 ; 342 ; 535.743.674 ; 408 ; 158.546.660 ; 1.616 ; 1.014.954.422 ; 483 ; 588.882.563 ; 513 ; 1.126.809.949 ; 996 ; 1.715.692.511 ; 2.612 ; 2.730.646.933 ;
39;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 112 ; 35.571.920 ; 508 ; 88.349.595 ; 340 ; 946.783.309 ; 514 ; 838.694.535 ; 1.474 ; 1.909.399.359 ; 321 ; 126.842.730 ; 147 ; 184.012.570 ; 468 ; 310.855.300 ; 1.942 ; 2.220.254.659 ;
40;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 183 ; 322.948.485 ; 106 ; 133.314.201 ; 53 ; 432.614.174 ; 572 ; 264.406.144 ; 914 ; 1.153.283.004 ; 21 ; 138.080.701 ; 47 ; 538.085.861 ; 68 ; 676.166.562 ; 982 ; 1.829.449.566 ;
41;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 5.860 ; 508.469.056 ; 6.744 ; 314.426.177 ; 2.446 ; 146.056.039 ; 7.975 ; 261.666.014 ; 23.025 ; 1.230.617.286 ; 194 ; 249.884.051 ; 243 ; 323.847.428 ; 437 ; 573.731.479 ; 23.462 ; 1.804.348.765 ;
42;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 334.848 ; 672 ; 326.424.752 ; 1.279 ; 374.795.687 ; 1.952 ; 701.555.287 ; 133 ; 502.116.829 ; 200 ; 502.336.679 ; 333 ; 1.004.453.508 ; 2.285 ; 1.706.008.795 ;
43;10.690.848;BANCO DA CHINA BRASIL S.A.; 80 ; 430.587.694 ; 79 ; 16.865.112 ; 74 ; 140.735.806 ; 306 ; 16.771.945 ; 539 ; 604.960.557 ; 145 ; 178.770.160 ; 198 ; 661.510.684 ; 343 ; 840.280.844 ; 882 ; 1.445.241.401 ;
44;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 569 ; 12.775.203 ; 3.453 ; 76.251.237 ; 7.506 ; 81.953.016 ; 14.100 ; 323.781.810 ; 25.628 ; 494.761.267 ; 19.164 ; 624.336.226 ; 1.964 ; 318.944.497 ; 21.128 ; 943.280.723 ; 46.756 ; 1.438.041.990 ;
45;03.609.817;BANCO CARGILL S.A.; 101 ; 364.495.530 ; 16 ; 21.746.928 ; 46 ; 184.035.874 ; 122 ; 170.954.994 ; 285 ; 741.233.327 ; 13 ; 128.889.716 ; 28 ; 483.500.000 ; 41 ; 612.389.716 ; 326 ; 1.353.623.043 ;
46;58.616.418;BANCO FIBRA S.A.; 785 ; 117.950.008 ; 2.131 ; 168.809.389 ; 209 ; 122.163.990 ; 1.207 ; 307.738.559 ; 4.332 ; 716.661.947 ; 98 ; 423.875.526 ; 64 ; 149.865.378 ; 162 ; 573.740.905 ; 4.494 ; 1.290.402.851 ;
47;33.923.798;BANCO MÁXIMA S.A.; 178 ; 2.629.804 ; 880 ; 24.746.584 ; 260 ; 12.523.427 ; 638 ; 13.097.237 ; 1.956 ; 52.997.052 ; 374 ; 523.690.569 ; 1.414 ; 498.904.164 ; 1.788 ; 1.022.594.732 ; 3.744 ; 1.075.591.785 ;
48;61.186.680;BANCO BMG S.A.; 71 ; 212.763.347 ; 8 ; 2.264.739 ; 9 ; 5.749.494 ; 104 ; 219.785.217 ; 192 ; 440.562.797 ; 33 ; 285.023.171 ; 52 ; 300.041.104 ; 85 ; 585.064.275 ; 277 ; 1.025.627.071 ;
49;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 568 ; 232.196.951 ; 570 ; 386.769.074 ; 1.138 ; 618.966.025 ; 211 ; 269.640.732 ; 158 ; 115.091.681 ; 369 ; 384.732.413 ; 1.507 ; 1.003.698.438 ;
50;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 1 ; 73.386 ; 285 ; 166.032.491 ; 227 ; 286.896.940 ; 1.865 ; 97.820.018 ; 2.378 ; 550.822.834 ; 283 ; 206.206.099 ; 60 ; 229.321.519 ; 343 ; 435.527.618 ; 2.721 ; 986.350.452 ;
51;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 60 ; 766.639 ; 906 ; 13.136.135 ; 2.457 ; 24.646.386 ; 8.111 ; 110.065.848 ; 11.534 ; 148.615.008 ; 13.148 ; 365.227.237 ; 2.321 ; 267.273.031 ; 15.469 ; 632.500.268 ; 27.003 ; 781.115.276 ;
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 923 ; 22.865.467 ; 8.460 ; 172.723.928 ; 7.571 ; 76.243.337 ; 20.474 ; 161.615.285 ; 37.428 ; 433.448.016 ; 4.239 ; 284.864.634 ; 1.064 ; 49.646.763 ; 5.303 ; 334.511.398 ; 42.731 ; 767.959.414 ;
53;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 423 ; 2.429.497 ; 963 ; 9.707.525 ; 1.386 ; 12.137.022 ; 1.858 ; 377.832.914 ; 959 ; 370.970.435 ; 2.817 ; 748.803.349 ; 4.203 ; 760.940.371 ;
