Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Setembro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
43;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; 3 ; 30.000.000 ; 7 ; 2.438.760 ; 1.349 ; 1.334.275.731 ; 2.375 ; 740.586.315 ; 3.734 ; 2.107.300.806 ; 288 ; 1.212.699.423 ; 816 ; 1.876.387.000 ; 1.104 ; 3.089.086.423 ; 4.838 ; 5.196.387.229 ;
44;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 767 ; 114.798.630 ; 731 ; 39.336.475 ; 41.810 ; 2.152.164.665 ; 2.418 ; 265.176.193 ; 45.726 ; 2.571.475.963 ; 920 ; 279.932.509 ; 1.974 ; 2.242.405.634 ; 2.894 ; 2.522.338.143 ; 48.620 ; 5.093.814.106 ;
45;10.690.848;BANCO DA CHINA BRASIL S.A.;BANK OF CHINA (BRASIL) - PRUDENCIAL; 318 ; 793.700.772 ; 192 ; 36.492.186 ; 1.028 ; 460.239.921 ; 676 ; 166.830.651 ; 2.214 ; 1.457.263.530 ; 537 ; 954.328.415 ; 748 ; 2.004.807.308 ; 1.285 ; 2.959.135.723 ; 3.499 ; 4.416.399.253 ;
46;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES - PRUDENCIAL; 332 ; 546.295.098 ; -   ; -   ; 360 ; 118.291.714 ; 20 ; 761.518 ; 712 ; 665.348.330 ; 15 ; 1.290.056.006 ; 65 ; 2.000.209.397 ; 80 ; 3.290.265.403 ; 792 ; 3.955.613.733 ;
47;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 4.958 ; 1.395.484.777 ; 6.237 ; 421.141.222 ; 3.044 ; 302.445.595 ; 3.622 ; 119.524.213 ; 17.861 ; 2.238.595.807 ; 202 ; 260.262.595 ; 610 ; 1.418.663.265 ; 812 ; 1.678.925.860 ; 18.673 ; 3.917.521.667 ;
48;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;ADVANCED CC LTDA - PRUDENCIAL; 1.911 ; 71.984.226 ; 22.558 ; 384.565.604 ; 18.205 ; 655.892.803 ; 30.514 ; 789.181.423 ; 73.188 ; 1.901.624.056 ; 3.241 ; 870.034.579 ; 870 ; 423.434.852 ; 4.111 ; 1.293.469.431 ; 77.299 ; 3.195.093.487 ;
49;00.360.305;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL; 893 ; 388.826.713 ; 827 ; 54.539.417 ; 65.016 ; 521.162.547 ; 18.226 ; 597.360.604 ; 84.962 ; 1.561.889.281 ; 1.299 ; 661.023.145 ; 1.413 ; 915.376.469 ; 2.712 ; 1.576.399.614 ; 87.674 ; 3.138.288.895 ;
50;01.181.521;BANCO COOPERATIVO SICREDI S.A.;BCO COOPERATIVO SICREDI - PRUDENCIAL; 9.405 ; 545.046.962 ; 11.952 ; 489.508.159 ; 8.662 ; 547.257.160 ; 3.883 ; 439.659.738 ; 33.902 ; 2.021.472.019 ; 175 ; 391.525.197 ; 122 ; 552.720.714 ; 297 ; 944.245.911 ; 34.199 ; 2.965.717.930 ;
51;00.416.968;BANCO INTER S.A.;INTER - PRUDENCIAL; 545 ; 21.238.638 ; 2.585 ; 9.276.400 ; 672.313 ; 932.254.395 ; 1.627.043 ; 673.526.004 ; 2.302.486 ; 1.636.295.437 ; 50 ; 805.211.814 ; 64 ; 521.808.078 ; 114 ; 1.327.019.892 ; 2.302.600 ; 2.963.315.329 ;
52;62.144.175;BANCO PINE S.A.;PINE - PRUDENCIAL; 421 ; 645.928.904 ; 2.281 ; 371.727.494 ; 206 ; 164.400.276 ; 3.917 ; 323.957.539 ; 6.825 ; 1.506.014.213 ; 179 ; 529.502.436 ; 182 ; 673.107.046 ; 361 ; 1.202.609.482 ; 7.186 ; 2.708.623.695 ;
53;61.186.680;BANCO BMG S.A.;BMG - PRUDENCIAL; 51 ; 156.758.882 ; -   ; -   ; 85 ; 58.532.026 ; 572 ; 213.280.412 ; 708 ; 428.571.320 ; 40 ; 1.076.450.920 ; 48 ; 1.060.708.375 ; 88 ; 2.137.159.295 ; 796 ; 2.565.730.615 ;
54;45.246.410;BANCO GENIAL S.A.;GENIAL - PRUDENCIAL; 91 ; 8.095.543 ; 396 ; 41.106.009 ; 2.598 ; 574.780.324 ; 4.665 ; 1.144.255.083 ; 7.750 ; 1.768.236.959 ; 214 ; 677.724.929 ; 30 ; 72.912.695 ; 244 ; 750.637.624 ; 7.994 ; 2.518.874.583 ;
55;61.024.352;BANCO VOITER S.A.;BANCO MASTER - PRUDENCIAL; 172 ; 221.330.534 ; 2.986 ; 285.517.404 ; 1.523 ; 576.369.251 ; 7.963 ; 591.207.452 ; 12.644 ; 1.674.424.641 ; 603 ; 385.727.764 ; 643 ; 316.433.919 ; 1.246 ; 702.161.683 ; 13.890 ; 2.376.586.324 ;
56;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.;MONEYCORP - PRUDENCIAL; 175 ; 6.702.610 ; 2.532 ; 119.049.018 ; 2.397 ; 606.772.540 ; 7.504 ; 878.967.239 ; 12.608 ; 1.611.491.407 ; 2.002 ; 551.109.618 ; 483 ; 166.454.844 ; 2.485 ; 717.564.462 ; 15.093 ; 2.329.055.869 ;
57;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.;FRENTE CC - PRUDENCIAL; 74 ; 4.344.144 ; 1.612 ; 33.090.026 ; 5.733 ; 765.906.836 ; 42.715 ; 855.737.104 ; 50.134 ; 1.659.078.110 ; 4.547 ; 366.090.737 ; 970 ; 247.411.443 ; 5.517 ; 613.502.180 ; 55.651 ; 2.272.580.290 ;
58;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;CREDIT AGRICOLE - PRUDENCIAL; 29 ; 231.966.133 ; 89 ; 7.104.683 ; 134 ; 119.937.086 ; 193 ; 187.118.440 ; 445 ; 546.126.342 ; 69 ; 566.661.933 ; 83 ; 724.175.612 ; 152 ; 1.290.837.545 ; 597 ; 1.836.963.887 ;
59;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;JP MORGAN CHASE - PRUDENCIAL; -   ; -   ; -   ; -   ; 148 ; 500.047.486 ; 221 ; 412.901.869 ; 369 ; 912.949.355 ; 48 ; 385.049.120 ; 31 ; 471.776.226 ; 79 ; 856.825.346 ; 448 ; 1.769.774.701 ;
