Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em JANEIRO/ 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
43;52.937.216;BEXS CORRETORA DE C∂MBIO S/A;;;;; 347 ; 926.313 ; 3.215 ; 21.487.639 ; 3.562 ; 22.413.952 ; 679 ; 178.623.160 ; 197 ; 159.104.367 ; 876 ; 337.727.526 ; 4.438 ; 360.141.478 ;;;;
44;03.512.293;FITTA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.; 12 ; 404.877 ; 28 ; 553.535 ; 426 ; 6.311.527 ; 1.324 ; 31.399.434 ; 1.790 ; 38.669.373 ; 2.967 ; 163.556.349 ; 650 ; 138.691.962 ; 3.617 ; 302.248.311 ; 5.407 ; 340.917.684 ;;;;
45;71.027.866;BANCO BONSUCESSO S.A.;;;;; 17 ; 142.605 ; 108 ; 1.312.607 ; 125 ; 1.455.212 ; 83 ; 140.645.190 ; 474 ; 138.541.762 ; 557 ; 279.186.952 ; 682 ; 280.642.164 ;;;;
46;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 31 ; 476.469 ; 395 ; 10.997.632 ; 638 ; 5.702.854 ; 1.594 ; 87.785.332 ; 2.658 ; 104.962.288 ; 2.916 ; 133.303.122 ; 240 ; 40.551.269 ; 3.156 ; 173.854.390 ; 5.814 ; 278.816.678 ;;;;
47;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.; 4 ; 16.187 ; 11 ; 27.754 ; 1.226 ; 12.243.766 ; 5.343 ; 75.988.615 ; 6.584 ; 88.276.323 ; 2.411 ; 101.561.775 ; 122 ; 37.277.048 ; 2.533 ; 138.838.823 ; 9.117 ; 227.115.146 ;;;;
48;78.632.767;BANCO OURINVEST S.A.; 2 ; 2.876.951 ; 6 ; 527.497 ; 151 ; 2.076.987 ; 386 ; 8.640.066 ; 545 ; 14.121.502 ; 174 ; 100.562.623 ; 2.479 ; 96.711.392 ; 2.653 ; 197.274.015 ; 3.198 ; 211.395.517 ;;;;
49;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 38 ; 807.521 ; 1.405 ; 70.040.216 ; 1.017 ; 2.495.597 ; 3.202 ; 33.647.387 ; 5.662 ; 106.990.720 ; 1.310 ; 101.483.432 ; 39 ; 1.581.349 ; 1.349 ; 103.064.781 ; 7.011 ; 210.055.501 ;;;;
50;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 4 ; 116.678 ; 88 ; 2.648.771 ; 445 ; 3.789.181 ; 1.700 ; 31.072.953 ; 2.237 ; 37.627.582 ; 1.896 ; 90.056.108 ; 444 ; 61.637.394 ; 2.340 ; 151.693.502 ; 4.577 ; 189.321.085 ;;;;
51;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 156 ; 58.759.309 ; 207 ; 30.764.608 ; 40 ; 1.057.903 ; 262 ; 16.120.103 ; 665 ; 106.701.923 ; 36 ; 34.510.731 ; 27 ; 45.358.959 ; 63 ; 79.869.690 ; 728 ; 186.571.613 ;;;;
52;62.144.175;BANCO PINE S.A.; 16 ; 22.449.316 ; 65 ; 35.110.155 ; 8 ; 957.095 ; 73 ; 24.704.206 ; 162 ; 83.220.772 ; 3 ; 30.000.000 ; 3 ; 60.000.000 ; 6 ; 90.000.000 ; 168 ; 173.220.772 ;;;;
53;33.923.798;BANCO MµXIMA S.A.; 28 ; 1.613.973 ; 349 ; 17.722.234 ; 35 ; 4.754.286 ; 194 ; 13.356.667 ; 606 ; 37.447.160 ; 243 ; 81.014.868 ; 971 ; 54.287.855 ; 1.214 ; 135.302.724 ; 1.820 ; 172.749.883 ;;;;
54;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A;;; 4 ; 40.244 ; 741 ; 8.405.609 ; 5.462 ; 76.116.038 ; 6.207 ; 84.561.892 ; 786 ; 68.001.009 ; 7 ; 192.442 ; 793 ; 68.193.451 ; 7.000 ; 152.755.342 ;;;;
55;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 8 ; 11.490.471 ; 3 ; 4.117.683 ; 10 ; 21.708.455 ; 11 ; 1.493.768 ; 32 ; 38.810.377 ; 22 ; 40.345.999 ; 26 ; 73.328.316 ; 48 ; 113.674.315 ; 80 ; 152.484.693 ;;;;
56;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 15 ; 4.149.980 ; 28 ; 1.616.362 ; 37 ; 1.334.282 ; 124 ; 15.068.949 ; 204 ; 22.169.572 ; 92 ; 68.702.408 ; 59 ; 57.842.700 ; 151 ; 126.545.108 ; 355 ; 148.714.680 ;;;;
57;61.186.680;BANCO BMG S.A.;;;;;;; 10 ; 68.588.240 ; 10 ; 68.588.240 ; 5 ; 79.593.750 ;;; 5 ; 79.593.750 ; 15 ; 148.181.990 ;;;;
58;58.616.418;BANCO FIBRA S.A.; 101 ; 16.493.559 ; 176 ; 13.416.661 ; 108 ; 2.844.584 ; 302 ; 41.355.944 ; 687 ; 74.110.748 ; 22 ; 63.461.575 ; 15 ; 3.170.672 ; 37 ; 66.632.246 ; 724 ; 140.742.994 ;;;;
59;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 4 ; 587.583 ; 20 ; 30.911.010 ; 8 ; 24.789.169 ; 102 ; 9.826.456 ; 134 ; 66.114.217 ; 19 ; 40.120.000 ; 4 ; 24.884.525 ; 23 ; 65.004.525 ; 157 ; 131.118.742 ;;;;
60;92.856.905;ADVANCED CORRETORA DE C∂MBIO LTDA; 187 ; 5.231.500 ; 1.063 ; 33.860.644 ; 507 ; 8.057.943 ; 2.355 ; 20.930.119 ; 4.112 ; 68.080.206 ; 513 ; 48.089.115 ; 54 ; 5.511.755 ; 567 ; 53.600.870 ; 4.679 ; 121.681.076 ;;;;
61;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 12 ; 288.538 ; 610 ; 48.223.443 ; 281 ; 662.177 ; 3.004 ; 5.745.180 ; 3.907 ; 54.919.338 ; 595 ; 53.493.475 ; 21 ; 689.516 ; 616 ; 54.182.991 ; 4.523 ; 109.102.328 ;;;;
62;61.024.352;BANCO INDUSVAL S.A.; 100 ; 28.210.386 ; 30 ; 8.546.120 ; 15 ; 232.905 ; 74 ; 8.060.038 ; 219 ; 45.049.450 ; 24 ; 24.786.445 ; 58 ; 36.891.060 ; 82 ; 61.677.505 ; 301 ; 106.726.954 ;;;;
63;16.944.141;BROKER BRASIL CORRETORA DE C∂MBIO LTDA.;;; 123 ; 5.654.289 ; 200 ; 353.603 ; 971 ; 43.756.465 ; 1.294 ; 49.764.357 ; 786 ; 52.218.581 ; 55 ; 3.153.882 ; 841 ; 55.372.464 ; 2.135 ; 105.136.821 ;;;;
64;72.760.713;RENOVA S.A. CORRETORA DE C∂MBIO; 4 ; 193.910 ; 39 ; 1.080.919 ; 395 ; 1.765.661 ; 1.767 ; 14.860.628 ; 2.205 ; 17.901.118 ; 949 ; 49.551.195 ; 78 ; 35.531.114 ; 1.027 ; 85.082.309 ; 3.232 ; 102.983.427 ;;;;
65;33.886.862;MAXIMA S.A. CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS;;;;; 120 ; 428.333 ; 2.483 ; 46.295.684 ; 2.603 ; 46.724.017 ; 344 ; 46.944.609 ; 5 ; 476.598 ; 349 ; 47.421.207 ; 2.952 ; 94.145.223 ;;;;
66;03.609.817;BANCO CARGILL S.A.; 3 ; 42.379.003 ; 2 ; 4.623.881 ; 1 ; 12.500 ; 6 ; 106.331 ; 12 ; 47.121.714 ; 2 ; 4.600.000 ; 3 ; 42.250.000 ; 5 ; 46.850.000 ; 17 ; 93.971.714 ;;;;
67;00.000.208;BRB - BANCO DE BRASILIA S.A.;;; 74 ; 38.628.110 ; 58 ; 444.862 ; 509 ; 6.986.368 ; 641 ; 46.059.340 ; 28 ; 45.121.100 ;;; 28 ; 45.121.100 ; 669 ; 91.180.440 ;;;;
68;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 82 ; 2.003.190 ; 796 ; 20.314.751 ; 520 ; 7.080.698 ; 2.131 ; 23.529.981 ; 3.529 ; 52.928.620 ; 336 ; 35.148.568 ; 4 ; 313.299 ; 340 ; 35.461.867 ; 3.869 ; 88.390.487 ;;;;
69;12.586.596;MULTIMONEY CORRETORA DE C∂MBIO LTDA; 15 ; 828.860 ; 254 ; 7.068.423 ; 360 ; 1.848.799 ; 1.331 ; 16.525.662 ; 1.960 ; 26.271.744 ; 1.040 ; 41.486.153 ; 489 ; 20.560.156 ; 1.529 ; 62.046.309 ; 3.489 ; 88.318.054 ;;;;
70;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 23 ; 29.834.632 ; 47 ; 5.756.704 ; 15 ; 446.236 ; 42 ; 1.133.056 ; 127 ; 37.170.627 ; 29 ; 11.222.120 ; 26 ; 33.293.344 ; 55 ; 44.515.464 ; 182 ; 81.686.091 ;;;;
71;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 577 ; 31.060.073 ; 244 ; 10.711.998 ; 137 ; 3.966.013 ; 322 ; 2.009.493 ; 1.280 ; 47.747.578 ; 14 ; 5.555.047 ; 63 ; 28.154.245 ; 77 ; 33.709.291 ; 1.357 ; 81.456.869 ;;;;
