Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Fevereiro/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
48;61.384.004;AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;AVENUE SECURITIES DTVM - PRUDENCIAL; -   ; -   ; -   ; -   ; 12.162 ; 22.140.543 ; 96.959 ; 197.854.103 ; 109.121 ; 219.994.646 ; 286 ; 176.467.460 ; -   ; -   ; 286 ; 176.467.460 ; 109.407 ; 396.462.106 ;
49;07.450.604;BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A;BANK OF CHINA (BRASIL) - PRUDENCIAL; 25 ; 59.139.810 ; 70 ; 22.453.794 ; 24 ; 74.461.386 ; 67 ; 13.472.314 ; 186 ; 169.527.304 ; 36 ; 63.902.759 ; 34 ; 150.090.469 ; 70 ; 213.993.228 ; 256 ; 383.520.532 ;
50;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 87 ; 8.158.696 ; 53 ; 3.394.935 ; 4.320 ; 141.625.003 ; 283 ; 10.239.273 ; 4.743 ; 163.417.907 ; 82 ; 16.525.277 ; 216 ; 152.666.248 ; 298 ; 169.191.525 ; 5.041 ; 332.609.432 ;
51;61.186.680;BANCO BMG S.A.;BMG - PRUDENCIAL; 11 ; 54.865.251 ; -   ; -   ; 12 ; 4.106.182 ; 50 ; 1.923.654 ; 73 ; 60.895.087 ; 4 ; 53.737.503 ; 12 ; 161.918.745 ; 16 ; 215.656.248 ; 89 ; 276.551.335 ;
52;00.416.968;BANCO INTER S.A.;INTER - PRUDENCIAL; 46 ; 153.606 ; 169 ; 494.500 ; 85.580 ; 99.620.964 ; 243.090 ; 118.902.230 ; 328.885 ; 219.171.300 ; 2 ; 29.991.201 ; 5 ; 23.193.100 ; 7 ; 53.184.301 ; 328.892 ; 272.355.601 ;
53;00.360.305;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL; 90 ; 56.934.109 ; 62 ; 1.694.441 ; 7.357 ; 36.370.169 ; 1.771 ; 43.495.722 ; 9.280 ; 138.494.441 ; 127 ; 36.008.944 ; 140 ; 77.867.074 ; 267 ; 113.876.018 ; 9.547 ; 252.370.459 ;
54;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;ADVANCED CC LTDA - PRUDENCIAL; 179 ; 4.658.979 ; 2.485 ; 42.357.868 ; 1.623 ; 29.110.846 ; 2.602 ; 43.049.999 ; 6.889 ; 119.177.692 ; 354 ; 76.349.902 ; 67 ; 25.386.672 ; 421 ; 101.736.574 ; 7.310 ; 220.914.266 ;
55;01.181.521;BANCO COOPERATIVO SICREDI S.A.;BCO COOPERATIVO SICREDI - PRUDENCIAL; 895 ; 69.919.299 ; 1.236 ; 47.547.159 ; 1.040 ; 23.161.596 ; 473 ; 29.828.934 ; 3.644 ; 170.456.988 ; 15 ; 18.409.660 ; 9 ; 26.889.094 ; 24 ; 45.298.754 ; 3.668 ; 215.755.742 ;
56;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;HAITONG - PRUDENCIAL; -   ; -   ; 8 ; 869.925 ; 1 ; 1 ; 9 ; 41.112 ; 18 ; 911.038 ; 10 ; 93.936.588 ; 7 ; 92.548.963 ; 17 ; 186.485.551 ; 35 ; 187.396.589 ;
57;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;CREDIT AGRICOLE - PRUDENCIAL; 3 ; 3.173.228 ; 20 ; 1.094.677 ; 13 ; 70.356.123 ; 24 ; 51.875.928 ; 60 ; 126.499.956 ; 9 ; 8.507.160 ; 7 ; 29.163.133 ; 16 ; 37.670.293 ; 76 ; 164.170.249 ;
