Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Out/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
34;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 109 ; 478.381.811 ; 33 ; 10.800.253 ; 152 ; 393.782.961 ; 492 ; 165.519.430 ; 786 ; 1.048.484.454 ; 585 ; 2.485.480.607 ; 616 ; 3.185.542.974 ; 1.201,0 ; 5.671.023.582 ; 1.987 ; 6.719.508.036 ;
35;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 3.185.884 ; 1.216 ; 1.529.732.279 ; 1.256 ; 658.521.152 ; 2.473 ; 2.191.439.315 ; 82 ; 1.421.279.518 ; 579 ; 2.342.095.382 ; 661,0 ; 3.763.374.900 ; 3.134 ; 5.954.814.215 ;
36;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 8.013 ; 993.065.328 ; 13.450 ; 776.416.599 ; 3.698 ; 814.998.321 ; 15.129 ; 264.720.608 ; 40.290 ; 2.849.200.856 ; 356 ; 615.347.547 ; 376 ; 1.379.757.345 ; 732,0 ; 1.995.104.892 ; 41.022 ; 4.844.305.747 ;
37;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 14 ; 7.359.205 ; 27 ; 6.674.168 ; 144 ; 106.566.686 ; 360 ; 57.784.093 ; 545 ; 178.384.152 ; 356 ; 2.063.770.915 ; 581 ; 2.167.968.115 ; 937,0 ; 4.231.739.030 ; 1.482 ; 4.410.123.182 ;
38;13.059.145;BEXS BANCO DE C∂MBIO S/A; 168 ; 675.561.522 ; 1.403 ; 69.280.443 ; 1.443 ; 215.949.259 ; 3.820 ; 274.844.074 ; 6.834 ; 1.235.635.298 ; 2.792 ; 1.300.700.149 ; 2.874 ; 1.848.354.636 ; 5.666,0 ; 3.149.054.785 ; 12.500 ; 4.384.690.083 ;
39;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 30 ; 12.798.074 ; 7 ; 471.728 ; 1.306 ; 811.480.502 ; 1.267 ; 773.570.673 ; 2.610 ; 1.598.320.977 ; 389 ; 1.182.118.996 ; 383 ; 1.436.911.289 ; 772,0 ; 2.619.030.285 ; 3.382 ; 4.217.351.262 ;
40;78.632.767;BANCO OURINVEST S.A.; 8 ; 42.124.195 ; 270 ; 30.812.561 ; 1.576 ; 34.366.530 ; 5.525 ; 109.269.660 ; 7.379 ; 216.572.946 ; 2.537 ; 1.898.391.428 ; 29.746 ; 1.812.381.835 ; 32.283,0 ; 3.710.773.264 ; 39.662 ; 3.927.346.209 ;
41;15.114.366;BANCO BBM S/A; 203 ; 187.396.664 ; 23 ; 73.306.750 ; 140 ; 128.046.098 ; 375 ; 133.459.289 ; 741 ; 522.208.802 ; 155 ; 1.667.413.208 ; 240 ; 1.670.660.140 ; 395,0 ; 3.338.073.348 ; 1.136 ; 3.860.282.149 ;
42;52.937.216;BEXS CORRETORA DE C∂MBIO S/A; 1 ; 86.030 ;;; 2.273 ; 9.866.298 ; 32.539 ; 295.033.225 ; 34.813 ; 304.985.553 ; 7.029 ; 1.806.994.858 ; 1.624 ; 1.521.929.804 ; 8.653,0 ; 3.328.924.662 ; 43.466 ; 3.633.910.215 ;
43;71.027.866;BANCO BONSUCESSO S.A.;;; 8 ; 180.302 ; 414 ; 2.418.238 ; 1.693 ; 41.364.723 ; 2.115 ; 43.963.262 ; 1.784 ; 1.759.387.915 ; 4.450 ; 1.719.476.484 ; 6.234,0 ; 3.478.864.399 ; 8.349 ; 3.522.827.661 ;
44;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 469 ; 14.231.924 ; 4.718 ; 120.771.221 ; 5.756 ; 62.707.902 ; 16.491 ; 984.093.896 ; 27.434 ; 1.181.804.944 ; 32.409 ; 1.551.903.258 ; 1.324 ; 523.993.327 ; 33.733,0 ; 2.075.896.585 ; 61.167 ; 3.257.701.529 ;
45;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 97 ; 31.169.709 ; 36 ; 2.379.854 ; 37 ; 110.265 ; 57 ; 1.341.343 ; 227 ; 35.001.171 ; 401 ; 1.364.020.000 ; 460 ; 1.397.430.000 ; 861,0 ; 2.761.450.000 ; 1.088 ; 2.796.451.171 ;
46;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 1.466 ; 727.902.719 ; 1.956 ; 250.246.768 ; 633 ; 139.868.380 ; 2.647 ; 359.563.051 ; 6.702 ; 1.477.580.918 ; 319 ; 573.142.073 ; 325 ; 730.190.938 ; 644,0 ; 1.303.333.010 ; 7.346 ; 2.780.913.928 ;
47;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.; 4 ; 16.187 ; 16 ; 51.914 ; 10.475 ; 106.144.870 ; 54.475 ; 837.251.057 ; 64.970 ; 943.464.028 ; 22.225 ; 1.162.741.206 ; 1.355 ; 430.542.930 ; 23.580,0 ; 1.593.284.136 ; 88.550 ; 2.536.748.164 ;
