Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em DEZEMBRO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 127 ; 2.738.422 ; 1.046 ; 23.758.912 ; 1.141 ; 16.609.291 ; 2.591 ; 22.212.992 ; 4.905 ; 65.319.616 ; 505 ; 35.400.527 ; 155 ; 8.803.054 ; 660 ; 44.203.581 ; 5.565 ; 109.523.197 ;;;;
53;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 53 ; 964.992 ; 135 ; 1.391.107 ; 1.215 ; 11.802.746 ; 4.784 ; 52.440.291 ; 6.187 ; 66.599.136 ; 708 ; 41.334.032 ; 4 ; 130.755 ; 712 ; 41.464.787 ; 6.899 ; 108.063.923 ;;;;
54;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 4 ; 37.169 ; 84 ; 1.082.179 ; 382 ; 4.351.069 ; 1.005 ; 13.031.736 ; 1.475 ; 18.502.153 ; 1.432 ; 47.462.470 ; 339 ; 37.977.415 ; 1.771 ; 85.439.885 ; 3.246 ; 103.942.038 ;;;;
55;59.285.411;BANCO PAN S.A.; 7 ; 3.874.361 ;;; 5 ; 23.745.921 ; 30 ; 1.698.625 ; 42 ; 29.318.907 ; 1 ; 20.000.000 ; 10 ; 51.350.000 ; 11 ; 71.350.000 ; 53 ; 100.668.907 ;;;;
56;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 90 ; 33.280.916 ; 78 ; 10.651.004 ; 52 ; 5.029.888 ; 230 ; 8.324.231 ; 450 ; 57.286.039 ; 19 ; 10.848.852 ; 25 ; 30.028.060 ; 44 ; 40.876.911 ; 494 ; 98.162.950 ;;;;
57;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 94 ; 2.091.370 ; 819 ; 20.022.351 ; 879 ; 16.067.976 ; 2.312 ; 26.379.335 ; 4.104 ; 64.561.033 ; 598 ; 30.817.314 ; 27 ; 2.656.202 ; 625 ; 33.473.517 ; 4.729 ; 98.034.549 ;;;;
58;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 23 ; 3.577.400 ; 134 ; 5.503.836 ; 52 ; 30.041.657 ; 333 ; 6.276.811 ; 542 ; 45.399.704 ; 156 ; 14.094.483 ; 326 ; 36.870.042 ; 482 ; 50.964.525 ; 1.024 ; 96.364.230 ;;;;
59;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 51 ; 497.406 ; 135 ; 1.036.064 ; 186 ; 1.533.470 ; 240 ; 47.611.027 ; 139 ; 47.078.773 ; 379 ; 94.689.800 ; 565 ; 96.223.270 ;;;;
60;60.889.128;BANCO SOFISA S.A.; 120 ; 38.509.218 ; 60 ; 3.733.164 ; 17 ; 2.678.235 ; 101 ; 868.473 ; 298 ; 45.789.090 ; 6 ; 16.248.778 ; 12 ; 34.015.047 ; 18 ; 50.263.824 ; 316 ; 96.052.914 ;;;;
61;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 676 ; 28.601.235 ; 220 ; 10.090.651 ; 80 ; 7.352.110 ; 203 ; 1.016.102 ; 1.179 ; 47.060.099 ; 16 ; 10.744.335 ; 65 ; 35.560.511 ; 81 ; 46.304.846 ; 1.260 ; 93.364.945 ;;;;
62;15.357.060;BANCO WOORI BANK DO BRASIL S.A.;;; 52 ; 16.927.971 ; 22 ; 21.034.297 ; 475 ; 13.924.093 ; 549 ; 51.886.361 ; 59 ; 25.397.064 ; 6 ; 15.572.649 ; 65 ; 40.969.713 ; 614 ; 92.856.073 ;;;;
63;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 5 ; 64.893 ; 52 ; 780.422 ; 680 ; 20.071.050 ; 990 ; 43.689.135 ; 1.727 ; 64.605.500 ; 621 ; 26.072.137 ; 229 ; 2.059.913 ; 850 ; 28.132.050 ; 2.577 ; 92.737.550 ;;;;
64;02.318.507;BANCO KEB HANA DO BRASIL S.A.;;; 7 ; 11.189.702 ; 42 ; 34.803.942 ; 224 ; 9.967.564 ; 273 ; 55.961.209 ; 8 ; 10.511.964 ; 14 ; 24.216.098 ; 22 ; 34.728.062 ; 295 ; 90.689.271 ;;;;
65;61.024.352;BANCO INDUSVAL S.A.; 61 ; 7.652.899 ; 116 ; 9.437.661 ; 32 ; 13.852.030 ; 118 ; 13.928.533 ; 327 ; 44.871.123 ; 28 ; 19.023.780 ; 25 ; 24.024.057 ; 53 ; 43.047.837 ; 380 ; 87.918.960 ;;;;
66;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 1 ; 4.500 ; 752 ; 11.748.304 ; 2.068 ; 42.377.649 ; 2.821 ; 54.130.453 ; 1.663 ; 31.273.442 ; 38 ; 575.879 ; 1.701 ; 31.849.321 ; 4.522 ; 85.979.774 ;;;;
67;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 13 ; 3.683.579 ; 3 ; 267.225 ; 21 ; 37.240.103 ; 27 ; 36.206.162 ; 64 ; 77.397.069 ; 1 ; 21.640 ; 3 ; 4.521.783 ; 4 ; 4.543.423 ; 68 ; 81.940.492 ;;;;
68;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 415 ; 23.187.405 ; 223 ; 6.275.776 ; 197 ; 6.327.616 ; 229 ; 11.212.688 ; 1.064 ; 47.003.486 ; 14 ; 11.010.000 ; 21 ; 18.583.875 ; 35 ; 29.593.875 ; 1.099 ; 76.597.361 ;;;;
69;58.616.418;BANCO FIBRA S.A.; 239 ; 17.560.975 ; 235 ; 13.562.331 ; 42 ; 1.771.710 ; 136 ; 8.404.218 ; 652 ; 41.299.235 ; 48 ; 22.167.114 ; 44 ; 11.165.981 ; 92 ; 33.333.095 ; 744 ; 74.632.329 ;;;;
70;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 18 ; 714.754 ; 143 ; 2.357.161 ; 642 ; 4.365.321 ; 1.383 ; 11.407.866 ; 2.186 ; 18.845.101 ; 1.577 ; 30.859.228 ; 572 ; 22.161.145 ; 2.149 ; 53.020.372 ; 4.335 ; 71.865.474 ;;;;
71;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 22 ; 853.862 ; 672 ; 20.082.259 ; 432 ; 8.588.902 ; 1.117 ; 10.179.377 ; 2.243 ; 39.704.400 ; 1.052 ; 26.027.207 ; 152 ; 5.281.101 ; 1.204 ; 31.308.308 ; 3.447 ; 71.012.707 ;;;;
72;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 42 ; 20.359.410 ; 46 ; 19.198.516 ; 88 ; 39.557.926 ; 29 ; 13.710.800 ; 15 ; 14.818.165 ; 44 ; 28.528.965 ; 132 ; 68.086.891 ;;;;
