Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Mar/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
35;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 6 ; 991.777 ; 11 ; 903.753 ; 42 ; 26.490.761 ; 70 ; 2.657.310 ; 129 ; 31.043.601 ; 86 ; 762.649.823 ; 131 ; 791.886.143 ; 217,0 ; 1.554.535.966,0 ; 346 ; 1.585.579.567 ;
36;49.336.860;ING BANK N.V.; 75 ; 353.079.366 ; 2 ; 3.758.299 ; 24 ; 189.553.532 ; 241 ; 82.938.532 ; 342 ; 629.329.730 ; 9 ; 106.232.868 ; 52 ; 838.712.598 ; 61,0 ; 944.945.466,5 ; 403 ; 1.574.275.196 ;
37;00.360.305;CAIXA ECONOMICA FEDERAL; 413 ; 39.950.559 ; 559 ; 20.465.763 ; 13.145 ; 153.982.994 ; 22.830 ; 239.367.881 ; 36.947 ; 453.767.197 ; 292 ; 503.441.405 ; 280 ; 429.324.105 ; 572,0 ; 932.765.510,5 ; 37.519 ; 1.386.532.707 ;
38;15.114.366;BANCO BBM S/A; 51 ; 36.568.002 ; 10 ; 30.640.123 ; 39 ; 60.673.355 ; 108 ; 104.295.322 ; 208 ; 232.176.801 ; 66 ; 620.068.905 ; 75 ; 534.068.913 ; 141,0 ; 1.154.137.818,3 ; 349 ; 1.386.314.619 ;
39;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 25 ; 5.851.398 ; 14 ; 559.872 ; 11 ; 29.777 ; 14 ; 95.804 ; 64 ; 6.536.850 ; 154 ; 655.380.000 ; 161 ; 649.610.000 ; 315,0 ; 1.304.990.000,0 ; 379 ; 1.311.526.850 ;
40;13.059.145;BEXS BANCO DE C∂MBIO S/A; 71 ; 191.885.744 ; 419 ; 22.653.576 ; 364 ; 53.454.884 ; 982 ; 56.374.606 ; 1.836 ; 324.368.811 ; 861 ; 321.897.420 ; 879 ; 488.750.895 ; 1.740,0 ; 810.648.314,7 ; 3.576 ; 1.135.017.125 ;
41;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 2.163 ; 266.870.420 ; 3.701 ; 249.353.444 ; 1.092 ; 53.413.521 ; 4.588 ; 89.704.443 ; 11.544 ; 659.341.828 ; 95 ; 192.047.484 ; 81 ; 172.803.765 ; 176,0 ; 364.851.248,8 ; 11.720 ; 1.024.193.077 ;
42;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 19 ; 1.415.492 ; 77 ; 1.412.475 ; 115 ; 31.161.110 ; 269 ; 29.744.456 ; 480 ; 63.733.532 ; 211 ; 458.155.700 ; 263 ; 463.015.740 ; 474,0 ; 921.171.440,0 ; 954 ; 984.904.972 ;
43;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 428 ; 215.523.817 ; 620 ; 91.438.171 ; 129 ; 66.736.934 ; 797 ; 129.983.480 ; 1.974 ; 503.682.402 ; 108 ; 186.385.226 ; 101 ; 244.154.940 ; 209,0 ; 430.540.166,2 ; 2.183 ; 934.222.568 ;
44;52.937.216;BEXS CORRETORA DE C∂MBIO S/A; 1 ; 86.030 ;;; 816 ; 2.320.582 ; 9.212 ; 65.287.781 ; 10.029 ; 67.694.394 ; 1.998 ; 463.207.080 ; 530 ; 400.341.726 ; 2.528,0 ; 863.548.805,8 ; 12.557 ; 931.243.200 ;
45;03.512.293;FITTA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.; 18 ; 620.350 ; 70 ; 1.175.210 ; 986 ; 13.449.513 ; 3.325 ; 71.946.729 ; 4.399 ; 87.191.802 ; 6.435 ; 429.814.214 ; 1.406 ; 370.962.043 ; 7.841,0 ; 800.776.256,7 ; 12.240 ; 887.968.059 ;
46;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 89 ; 2.113.807 ; 1.230 ; 34.317.432 ; 1.675 ; 15.477.477 ; 4.527 ; 269.174.808 ; 7.521 ; 321.083.524 ; 8.967 ; 422.737.678 ; 578 ; 136.686.505 ; 9.545,0 ; 559.424.183,6 ; 17.066 ; 880.507.708 ;
47;61.186.680;BANCO BMG S.A.;;;;;;; 27 ; 389.427.616 ; 27 ; 389.427.616 ; 18 ; 388.980.350 ; 1 ; 25.000.000 ; 19,0 ; 413.980.350,0 ; 46 ; 803.407.966 ;
48;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 22 ; 168.453.584 ; 22 ; 51.097.263 ; 16 ; 146.937.780 ; 117 ; 6.774.942 ; 177 ; 373.263.570 ; 17 ; 75.459.689 ; 41 ; 332.935.102 ; 58,0 ; 408.394.790,8 ; 235 ; 781.658.361 ;
49;62.144.175;BANCO PINE S.A.; 35 ; 87.183.601 ; 192 ; 91.761.451 ; 26 ; 116.744.688 ; 235 ; 79.705.641 ; 488 ; 375.395.381 ; 13 ; 146.903.143 ; 13 ; 201.898.323 ; 26,0 ; 348.801.466,0 ; 514 ; 724.196.847 ;
50;71.027.866;BANCO BONSUCESSO S.A.;;;;; 141 ; 870.153 ; 452 ; 9.133.862 ; 593 ; 10.004.015 ; 311 ; 342.444.491 ; 1.199 ; 333.665.983 ; 1.510,0 ; 676.110.473,6 ; 2.103 ; 686.114.489 ;
51;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 93 ; 2.908.671 ; 4.345 ; 214.057.464 ; 1.512 ; 7.028.046 ; 8.611 ; 105.126.734 ; 14.561 ; 329.120.915 ; 3.818 ; 319.171.693 ; 127 ; 11.154.280 ; 3.945,0 ; 330.325.972,5 ; 18.506 ; 659.446.888 ;
52;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.; 4 ; 16.187 ; 11 ; 27.754 ; 3.497 ; 30.726.129 ; 15.624 ; 217.361.785 ; 19.136 ; 248.131.855 ; 6.326 ; 293.575.767 ; 406 ; 106.311.051 ; 6.732,0 ; 399.886.818,5 ; 25.868 ; 648.018.674 ;
53;78.632.767;BANCO OURINVEST S.A.; 6 ; 32.320.637 ; 33 ; 2.422.139 ; 389 ; 10.454.040 ; 1.234 ; 26.920.860 ; 1.662 ; 72.117.677 ; 561 ; 273.847.410 ; 6.947 ; 284.969.047 ; 7.508,0 ; 558.816.457,8 ; 9.170 ; 630.934.135 ;
54;33.923.798;BANCO MµXIMA S.A.; 94 ; 2.622.566 ; 979 ; 46.850.662 ; 146 ; 32.864.135 ; 719 ; 36.351.581 ; 1.938 ; 118.688.944 ; 716 ; 241.493.888 ; 3.504 ; 191.187.131 ; 4.220,0 ; 432.681.019,0 ; 6.158 ; 551.369.963 ;
55;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 19 ; 319.564 ; 273 ; 6.881.974 ; 1.183 ; 9.815.538 ; 5.469 ; 96.726.728 ; 6.944 ; 113.743.804 ; 5.159 ; 264.751.267 ; 997 ; 172.623.805 ; 6.156,0 ; 437.375.072,5 ; 13.100 ; 551.118.877 ;
56;03.609.817;BANCO CARGILL S.A.; 20 ; 235.981.664 ; 19 ; 25.475.321 ; 5 ; 12.153.961 ; 29 ; 7.395.962 ; 73 ; 281.006.908 ; 9 ; 28.350.000 ; 14 ; 232.750.000 ; 23,0 ; 261.100.000,0 ; 96 ; 542.106.908 ;
57;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 17 ; 310.773 ; 212 ; 3.019.034 ; 2.615 ; 27.826.634 ; 17.387 ; 233.745.669 ; 20.231 ; 264.902.110 ; 2.202 ; 209.277.625 ; 16 ; 399.328 ; 2.218,0 ; 209.676.953,0 ; 22.449 ; 474.579.063 ;
58;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 26 ; 8.508.219 ; 83 ; 4.399.617 ; 103 ; 3.040.851 ; 300 ; 22.801.487 ; 512 ; 38.750.173 ; 224 ; 172.854.924 ; 132 ; 157.540.430 ; 356,0 ; 330.395.354,5 ; 868 ; 369.145.528 ;
59;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 18 ; 572.578 ; 2.051 ; 156.384.299 ; 796 ; 2.756.957 ; 9.399 ; 19.779.075 ; 12.264 ; 179.492.910 ; 2.095 ; 175.945.942 ; 72 ; 2.640.859 ; 2.167,0 ; 178.586.800,7 ; 14.431 ; 358.079.711 ;
60;92.856.905;ADVANCED CORRETORA DE C∂MBIO LTDA; 312 ; 8.641.362 ; 3.212 ; 100.235.865 ; 1.692 ; 20.938.292 ; 6.863 ; 66.453.937 ; 12.079 ; 196.269.457 ; 1.517 ; 147.717.405 ; 147 ; 9.702.871 ; 1.664,0 ; 157.420.275,3 ; 13.743 ; 353.689.732 ;
61;16.944.141;BROKER BRASIL CORRETORA DE C∂MBIO LTDA.; 2 ; 6.717 ; 382 ; 13.638.269 ; 412 ; 931.210 ; 2.838 ; 146.923.129 ; 3.634 ; 161.499.324 ; 2.530 ; 171.826.888 ; 156 ; 12.173.852 ; 2.686,0 ; 184.000.740,1 ; 6.320 ; 345.500.064 ;
62;61.024.352;BANCO INDUSVAL S.A.; 233 ; 88.242.795 ; 115 ; 21.372.951 ; 51 ; 732.144 ; 242 ; 23.841.488 ; 641 ; 134.189.377 ; 78 ; 84.987.656 ; 152 ; 118.353.886 ; 230,0 ; 203.341.541,6 ; 871 ; 337.530.919 ;
63;58.616.418;BANCO FIBRA S.A.; 238 ; 33.367.194 ; 560 ; 38.826.097 ; 310 ; 9.277.718 ; 802 ; 71.255.468 ; 1.910 ; 152.726.477 ; 108 ; 150.590.661 ; 56 ; 19.420.016 ; 164,0 ; 170.010.676,9 ; 2.074 ; 322.737.154 ;
64;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 4 ; 587.583 ; 77 ; 93.251.985 ; 27 ; 47.671.822 ; 353 ; 17.875.258 ; 461 ; 159.386.648 ; 60 ; 109.650.000 ; 10 ; 46.750.684 ; 70,0 ; 156.400.684,3 ; 531 ; 315.787.332 ;
65;72.760.713;RENOVA S.A. CORRETORA DE C∂MBIO; 8 ; 357.728 ; 128 ; 2.909.862 ; 974 ; 4.469.218 ; 5.055 ; 44.484.870 ; 6.165 ; 52.221.678 ; 2.622 ; 148.078.603 ; 183 ; 105.532.196 ; 2.805,0 ; 253.610.799,0 ; 8.970 ; 305.832.477 ;
