Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em DEZEMBRO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
40;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 5 ; 22.804.517 ; 27 ; 80.316.081 ; 5 ; 77.370.681 ; 67 ; 14.402.515 ; 104 ; 194.893.793 ; 13 ; 65.924.263 ; 10 ; 129.424.268 ; 23 ; 195.348.531 ; 127 ; 390.242.324 ;;;;
41;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 29 ; 705.202 ; 429 ; 10.720.564 ; 815 ; 6.322.097 ; 1.878 ; 97.464.765 ; 3.151 ; 115.212.627 ; 3.246 ; 163.652.244 ; 97 ; 62.504.251 ; 3.343 ; 226.156.495 ; 6.494 ; 341.369.121 ;;;;
42;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 5 ; 1.483.645 ; 2 ; 12.427.592 ; 156 ; 53.544.226 ; 101 ; 12.550.964 ; 264 ; 80.006.428 ; 48 ; 108.626.166 ; 57 ; 118.234.452 ; 105 ; 226.860.617 ; 369 ; 306.867.045 ;;;;
43;4.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.;;; 53 ; 266.249 ; 1.014 ; 11.364.976 ; 5.655 ; 93.391.831 ; 6.722 ; 105.023.056 ; 2.288 ; 124.914.143 ; 187 ; 45.123.572 ; 2.475 ; 170.037.715 ; 9.197 ; 275.060.771 ;;;;
44;33.923.798;BANCO MµXIMA S.A.; 23 ; 557.884 ; 340 ; 14.178.351 ; 74 ; 10.886.484 ; 322 ; 22.741.995 ; 759 ; 48.364.714 ; 312 ; 122.653.728 ; 1.262 ; 92.905.332 ; 1.574 ; 215.559.060 ; 2.333 ; 263.923.774 ;;;;
45;6.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS;;; 1.636 ; 122.898.581 ; 303 ; 1.950.465 ; 3.383 ; 9.034.739 ; 5.322 ; 133.883.785 ; 930 ; 127.211.406 ; 41 ; 1.902.731 ; 971 ; 129.114.137 ; 6.293 ; 262.997.922 ;;;;
46;45.246.410;BRASIL PLURAL S.A. BANCO MÈLTIPLO;;; 23 ; 651.841 ; 59 ; 124.986.467 ; 60 ; 116.078.143 ; 142 ; 241.716.450 ; 22 ; 6.128.065 ; 25 ; 14.126.508 ; 47 ; 20.254.573 ; 189 ; 261.971.023 ;;;;
47;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 9 ; 3.474.959 ; 15 ; 2.352.743 ; 20 ; 77.625.081 ; 63 ; 93.821.048 ; 107 ; 177.273.831 ; 11 ; 22.010.317 ; 8 ; 8.008.741 ; 19 ; 30.019.058 ; 126 ; 207.292.890 ;;;;
48;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.;;;;; 22 ; 7.586.026 ; 48 ; 1.627.594 ; 70 ; 9.213.620 ; 28 ; 98.638.423 ; 38 ; 93.666.828 ; 66 ; 192.305.251 ; 136 ; 201.518.870 ;;;;
49;3.609.817;BANCO CARGILL S.A.; 38 ; 93.489.413 ;;; 2 ; 1.037.639 ; 11 ; 2.354.556 ; 51 ; 96.881.607 ;;; 10 ; 97.250.000 ; 10 ; 97.250.000 ; 61 ; 194.131.607 ;;;;
