Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Set/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
48;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS; 43 ; 1.752.821 ; 11.400 ; 759.862.840 ; 2.104 ; 25.812.122 ; 20.845 ; 159.674.327 ; 34.392 ; 947.102.110 ; 10.213 ; 898.875.934 ; 245 ; 7.490.730 ; 10.458 ; 906.366.665 ; 44.850 ; 1.853.468.774 ;;;;
49;03.609.817;BANCO CARGILL S.A.; 124 ; 637.491.737 ; 28 ; 71.867.572 ; 24 ; 141.420.771 ; 149 ; 207.795.116 ; 325 ; 1.058.575.196 ; 28 ; 114.393.000 ; 60 ; 604.094.265 ; 88 ; 718.487.265 ; 413 ; 1.777.062.461 ;;;;
50;15.114.366;BANCO BBM S/A; 200 ; 131.158.540 ; 23 ; 57.197.350 ; 78 ; 190.401.430 ; 310 ; 43.261.266 ; 611 ; 422.018.586 ; 64 ; 601.589.250 ; 94 ; 749.088.857 ; 158 ; 1.350.678.107 ; 769 ; 1.772.696.694 ;;;;
51;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 109 ; 668.265 ; 7.655 ; 84.732.170 ; 29.283 ; 499.923.941 ; 37.047 ; 585.324.376 ; 16.536 ; 665.994.269 ; 1.086 ; 248.268.404 ; 17.622 ; 914.262.673 ; 54.669 ; 1.499.587.050 ;;;;
52;03.532.415;BANCO ABN AMRO S.A.; 184 ; 599.502.505 ; 1 ; 3.442.920 ; 43 ; 8.629.581 ; 149 ; 10.762.304 ; 377 ; 622.337.310 ; 20 ; 83.047.113 ; 266 ; 651.328.521 ; 286 ; 734.375.634 ; 663 ; 1.356.712.944 ;;;;
53;62.144.175;BANCO PINE S.A.; 73 ; 108.118.118 ; 91 ; 65.307.922 ; 52 ; 121.679.409 ; 510 ; 277.555.454 ; 726 ; 572.660.903 ; 25 ; 417.154.831 ; 20 ; 307.156.288 ; 45 ; 724.311.119 ; 771 ; 1.296.972.022 ;;;;
54;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 101 ; 2.728.628 ; 861 ; 14.828.482 ; 3.190 ; 26.319.926 ; 11.147 ; 173.598.910 ; 15.299 ; 217.475.945 ; 14.894 ; 611.822.620 ; 2.962 ; 452.292.928 ; 17.856 ; 1.064.115.548 ; 33.155 ; 1.281.591.494 ;;;;
55;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 268 ; 5.453.836 ; 1.332 ; 15.442.331 ; 10.618 ; 87.547.687 ; 53.843 ; 615.964.370 ; 66.061 ; 724.408.223 ; 7.462 ; 540.278.962 ; 75 ; 1.837.742 ; 7.537 ; 542.116.705 ; 73.598 ; 1.266.524.928 ;;;;
56;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 38 ; 152.000.000 ; 143 ; 206.196.315 ; 194 ; 341.623.898 ; 151 ; 159.663.640 ; 526 ; 859.483.853 ; 65 ; 107.769.213 ; 166 ; 231.114.359 ; 231 ; 338.883.572 ; 757 ; 1.198.367.424 ;;;;
57;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 459 ; 9.236.951 ; 7.516 ; 191.472.474 ; 5.892 ; 85.353.774 ; 20.767 ; 388.220.745 ; 34.634 ; 674.283.944 ; 7.916 ; 488.653.872 ; 30 ; 3.795.427 ; 7.946 ; 492.449.299 ; 42.580 ; 1.166.733.243 ;;;;
