Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
47;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 878 ; 18.630.616 ; 4.001 ; 98.771.077 ; 8.619 ; 96.391.019 ; 16.566 ; 320.162.868 ; 30.064 ; 533.955.580 ; 16.803 ; 599.113.344 ; 1.131 ; 294.924.748 ; 17.934 ; 894.038.092 ; 47.998 ; 1.427.993.672 
48;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 23 ; 88.414.270 ; 90 ; 19.257.033 ; 113 ; 107.671.303 ; 31 ; 597.815.143 ; 31 ; 665.818.090 ; 62 ; 1.263.633.233 ; 175 ; 1.371.304.536 
49;30.723.886;BANCO MODAL S.A.; 45 ; 58.323.123 ; 403 ; 49.963.812 ; 503 ; 433.680.664 ; 647 ; 146.435.785 ; 1.598 ; 688.403.383 ; 52 ; 119.262.069 ; 63 ; 419.332.518 ; 115 ; 538.594.587 ; 1.713 ; 1.226.997.970 
50;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 61 ; 715.139 ; 299 ; 6.218.053 ; 4.117 ; 218.053.517 ; 19.144 ; 485.929.064 ; 23.621 ; 710.915.773 ; 5.171 ; 316.526.436 ; 2.193 ; 33.412.575 ; 7.364 ; 349.939.012 ; 30.985 ; 1.060.854.785 
51;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.292 ; 29.593.137 ; 10.137 ; 199.948.768 ; 9.586 ; 87.488.023 ; 25.402 ; 225.481.029 ; 46.417 ; 542.510.957 ; 4.553 ; 373.228.328 ; 762 ; 65.322.420 ; 5.315 ; 438.550.748 ; 51.732 ; 981.061.704 
52;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 17 ; 1.294.976 ; 308 ; 81.988.654 ; 454 ; 363.259.778 ; 776 ; 333.297.696 ; 1.555 ; 779.841.104 ; 182 ; 97.750.527 ; 42 ; 46.926.000 ; 224 ; 144.676.527 ; 1.779 ; 924.517.631 
53;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 51 ; 21.092.508 ; 611 ; 33.722.382 ; 596 ; 212.125.696 ; 921 ; 185.753.215 ; 2.179 ; 452.693.802 ; 717 ; 204.334.178 ; 338 ; 218.060.983 ; 1.055 ; 422.395.162 ; 3.234 ; 875.088.963 
54;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 460 ; 765.543 ; 1.186 ; 7.542.428 ; 1.646 ; 8.307.971 ; 3.621 ; 417.094.054 ; 2.051 ; 410.314.995 ; 5.672 ; 827.409.048 ; 7.318 ; 835.717.019 
55;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 231 ; 5.668.657 ; 1.294 ; 16.522.919 ; 8.152 ; 52.762.549 ; 33.591 ; 381.975.343 ; 43.268 ; 456.929.468 ; 7.717 ; 340.155.608 ; 23 ; 422.478 ; 7.740 ; 340.578.086 ; 51.008 ; 797.507.554 
56;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 512 ; 213.337.843 ; 563 ; 282.835.335 ; 1.075 ; 496.173.178 ; 189 ; 166.249.600 ; 118 ; 96.741.000 ; 307 ; 262.990.600 ; 1.382 ; 759.163.778 
57;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 5.609 ; 53.884.408 ; 24.266 ; 364.676.317 ; 29.875 ; 418.560.725 ; 16.026 ; 314.993.973 ; 298 ; 5.221.034 ; 16.324 ; 320.215.007 ; 46.199 ; 738.775.731 
58;59.118.133;BANCO LUSO BRASILEIRO S.A.; 463 ; 81.413.340 ; 1.899 ; 184.859.519 ; 313 ; 46.350.103 ; 970 ; 33.116.288 ; 3.645 ; 345.739.250 ; 1.683 ; 225.643.592 ; 617 ; 134.934.776 ; 2.300 ; 360.578.368 ; 5.945 ; 706.317.618 
59;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 640 ; 11.634.131 ; 7.441 ; 160.437.541 ; 4.049 ; 55.516.014 ; 14.112 ; 167.170.380 ; 26.242 ; 394.758.066 ; 7.983 ; 281.364.843 ; 111 ; 20.630.404 ; 8.094 ; 301.995.247 ; 34.336 ; 696.753.314 
60;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 3.325 ; 172.901.083 ; 2.367 ; 66.436.946 ; 1.539 ; 52.976.467 ; 1.384 ; 144.289.165 ; 8.615 ; 436.603.659 ; 105 ; 113.507.355 ; 97 ; 139.556.971 ; 202 ; 253.064.326 ; 8.817 ; 689.667.986 
61;92.894.922;BANCO ORIGINAL S.A.; 125 ; 323.046.566 ; 224 ; 37.513.913 ; 311 ; 11.782.104 ; 1.303 ; 35.153.319 ; 1.963 ; 407.495.901 ; 51 ; 28.078.171 ; 39 ; 252.183.164 ; 90 ; 280.261.335 ; 2.053 ; 687.757.236 
62;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 39 ; 175.112.058 ; 18 ; 12.474.427 ; 59 ; 133.505.626 ; 97 ; 19.791.619 ; 213 ; 340.883.730 ; 23 ; 32.723.700 ; 160 ; 311.826.984 ; 183 ; 344.550.683 ; 396 ; 685.434.414 
63;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 292 ; 163.696.810 ; 414 ; 24.083.293 ; 353 ; 18.123.505 ; 411 ; 17.791.790 ; 1.470 ; 223.695.399 ; 255 ; 143.697.666 ; 229 ; 281.461.176 ; 484 ; 425.158.843 ; 1.954 ; 648.854.242 
