Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em NOVEMBRO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
45;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 657 ; 26.328.583 ; 229 ; 7.645.266 ; 67 ; 48.992.727 ; 214 ; 49.702.961 ; 1.167 ; 132.669.537 ; 14 ; 5.423.816 ; 59 ; 23.343.510 ; 73 ; 28.767.326 ; 1.240 ; 161.436.863 ;;;;
46;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 63 ; 1.397.360 ; 495 ; 12.256.261 ; 941 ; 8.294.227 ; 1.920 ; 37.712.592 ; 3.419 ; 59.660.439 ; 2.036 ; 70.840.716 ; 219 ; 30.440.302 ; 2.255 ; 101.281.017 ; 5.674 ; 160.941.457 ;;;;
47;33.923.798;BANCO MÁXIMA S.A.; 34 ; 762.571 ; 301 ; 11.584.913 ; 96 ; 10.861.671 ; 221 ; 6.443.195 ; 652 ; 29.652.349 ; 132 ; 59.189.665 ; 673 ; 51.871.557 ; 805 ; 111.061.222 ; 1.457 ; 140.713.571 ;;;;
48;03.532.415;BANCO ABN AMRO S.A.; 16 ; 67.117.825 ; 2 ; 6.831.535 ; 2 ; 662.547 ; 11 ; 70.169 ; 31 ; 74.682.076 ; 1 ; 7.463 ; 19 ; 60.297.497 ; 20 ; 60.304.960 ; 51 ; 134.987.037 ;;;;
49;58.616.418;BANCO FIBRA S.A.; 249 ; 17.672.693 ; 365 ; 20.236.224 ; 44 ; 1.366.850 ; 181 ; 31.104.252 ; 839 ; 70.380.019 ; 53 ; 50.030.034 ; 44 ; 11.505.730 ; 97 ; 61.535.764 ; 936 ; 131.915.783 ;;;;
50;72.760.713;RENOVA S.A. CORRETORA DE CÂMBIO; 5 ; 104.158 ; 78 ; 1.330.583 ; 219 ; 1.554.370 ; 810 ; 5.373.759 ; 1.112 ; 8.362.870 ; 658 ; 57.756.319 ; 89 ; 52.720.854 ; 747 ; 110.477.173 ; 1.859 ; 118.840.043 ;;;;
51;92.894.922;BANCO ORIGINAL S.A.; 20 ; 11.252.719 ; 173 ; 15.522.366 ; 13 ; 251.725 ; 142 ; 21.193.768 ; 348 ; 48.220.579 ; 13 ; 9.834.397 ; 10 ; 53.624.244 ; 23 ; 63.458.641 ; 371 ; 111.679.220 ;;;;
52;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 12 ; 82.728 ; 88 ; 1.442.583 ; 350 ; 3.126.912 ; 1.002 ; 13.439.976 ; 1.452 ; 18.092.199 ; 1.560 ; 52.076.055 ; 347 ; 40.360.264 ; 1.907 ; 92.436.319 ; 3.359 ; 110.528.519 ;;;;
53;15.114.366;BANCO BBM S/A; 17 ; 12.986.282 ;;; 10 ; 1.449.145 ; 30 ; 20.849.420 ; 57 ; 35.284.847 ; 2 ; 20.000.000 ; 8 ; 51.000.000 ; 10 ; 71.000.000 ; 67 ; 106.284.847 ;;;;
54;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 114 ; 3.140.821 ; 1.245 ; 28.723.119 ; 1.035 ; 8.633.619 ; 2.533 ; 19.027.719 ; 4.927 ; 59.525.279 ; 498 ; 41.164.686 ; 130 ; 5.170.008 ; 628 ; 46.334.694 ; 5.555 ; 105.859.973 ;;;;
