Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em JULHO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
48;03.609.817;BANCO CARGILL S.A.; 15 ; 77.120.152 ; 3 ; 5.046.672 ; 3 ; 116.125 ; 10 ; 3.380.213 ; 31 ; 85.663.163 ; 1 ; 1.500.000 ; 7 ; 71.000.000 ; 8 ; 72.500.000 ; 39 ; 158.163.163 ;;;;
49;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 32 ; 654.637 ; 169 ; 1.552.815 ; 1.286 ; 10.432.885 ; 6.331 ; 74.989.944 ; 7.818 ; 87.630.280 ; 944 ; 65.548.760 ; 7 ; 150.450 ; 951 ; 65.699.210 ; 8.769 ; 153.329.490 ;;;;
50;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 7 ; 225.485 ; 113 ; 1.816.050 ; 388 ; 3.527.223 ; 1.289 ; 19.455.135 ; 1.797 ; 25.023.892 ; 1.722 ; 70.561.277 ; 336 ; 53.010.235 ; 2.058 ; 123.571.512 ; 3.855 ; 148.595.404 ;;;;
51;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 2 ; 10.697.541 ; 2 ; 3.564 ; 23 ; 27.210.608 ; 56 ; 7.893.526 ; 83 ; 45.805.239 ; 17 ; 27.646.605 ; 39 ; 64.860.615 ; 56 ; 92.507.220 ; 139 ; 138.312.459 ;;;;
52;61.024.352;BANCO INDUSVAL S.A.; 45 ; 12.169.837 ; 53 ; 4.070.682 ; 22 ; 6.382.255 ; 80 ; 7.602.324 ; 200 ; 30.225.097 ; 50 ; 44.514.135 ; 61 ; 58.256.597 ; 111 ; 102.770.732 ; 311 ; 132.995.829 ;;;;
53;59.118.133;BANCO LUSO BRASILEIRO S.A.; 16 ; 3.566.625 ; 753 ; 54.970.911 ; 26 ; 1.260.424 ; 106 ; 4.483.916 ; 901 ; 64.281.876 ; 366 ; 60.673.035 ; 37 ; 6.035.742 ; 403 ; 66.708.777 ; 1.304 ; 130.990.653 ;;;;
54;72.760.713;RENOVA S.A. CORRETORA DE CÂMBIO; 1 ; 4.175 ; 66 ; 1.380.437 ; 221 ; 1.842.622 ; 1.070 ; 10.456.055 ; 1.358 ; 13.683.289 ; 974 ; 62.275.847 ; 128 ; 52.269.235 ; 1.102 ; 114.545.082 ; 2.460 ; 128.228.371 ;;;;
55;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 118 ; 3.729.349 ; 1.229 ; 32.545.568 ; 980 ; 10.556.093 ; 2.673 ; 21.298.097 ; 5.000 ; 68.129.107 ; 542 ; 47.266.214 ; 144 ; 7.792.939 ; 686 ; 55.059.153 ; 5.686 ; 123.188.260 ;;;;
56;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 19 ; 539.322 ; 747 ; 31.036.810 ; 334 ; 3.661.425 ; 1.156 ; 21.316.312 ; 2.256 ; 56.553.869 ; 1.389 ; 56.895.408 ; 197 ; 8.764.796 ; 1.586 ; 65.660.204 ; 3.842 ; 122.214.072 ;;;;
57;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 267 ; 190.181 ; 3.061 ; 7.246.714 ; 3.328 ; 7.436.895 ; 662 ; 60.424.224 ; 89 ; 52.807.075 ; 751 ; 113.231.299 ; 4.079 ; 120.668.194 ;;;;
58;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 61 ; 79.355 ; 170 ; 2.799.454 ; 231 ; 2.878.808 ; 453 ; 58.894.532 ; 249 ; 56.176.529 ; 702 ; 115.071.061 ; 933 ; 117.949.869 ;;;;
59;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;; 27 ; 214.772 ; 474 ; 15.406.997 ; 988 ; 53.405.863 ; 1.489 ; 69.027.632 ; 792 ; 40.296.634 ; 337 ; 3.073.212 ; 1.129 ; 43.369.846 ; 2.618 ; 112.397.478 ;;;;
60;03.532.415;BANCO ABN AMRO S.A.; 18 ; 52.988.571 ;;; 4 ; 425.997 ; 17 ; 996.156 ; 39 ; 54.410.724 ; 1 ; 400.000 ; 16 ; 52.920.000 ; 17 ; 53.320.000 ; 56 ; 107.730.724 ;;;;
61;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 58 ; 1.168.678 ; 820 ; 19.647.462 ; 690 ; 10.132.868 ; 1.955 ; 28.691.560 ; 3.523 ; 59.640.567 ; 721 ; 37.653.162 ; 3 ; 400.000 ; 724 ; 38.053.162 ; 4.247 ; 97.693.729 ;;;;
62;60.889.128;BANCO SOFISA S.A.; 85 ; 30.823.877 ; 64 ; 3.215.980 ; 18 ; 1.156.553 ; 111 ; 2.909.206 ; 278 ; 38.105.617 ; 10 ; 6.875.629 ; 14 ; 51.869.135 ; 24 ; 58.744.764 ; 302 ; 96.850.381 ;;;;
63;30.723.886;BANCO MODAL S.A.; 20 ; 14.923.014 ; 104 ; 12.886.208 ; 25 ; 2.609.021 ; 72 ; 4.633.031 ; 221 ; 35.051.274 ; 13 ; 27.926.282 ; 11 ; 31.428.049 ; 24 ; 59.354.331 ; 245 ; 94.405.605 ;;;;
64;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO;;; 1 ; 2.875 ; 8 ; 43.976.944 ; 20 ; 45.088.549 ; 29 ; 89.068.368 ; 4 ; 2.100.000 ;;; 4 ; 2.100.000 ; 33 ; 91.168.368 ;;;;
65;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 5 ; 225.023 ; 3 ; 450.936 ; 32 ; 7.665.502 ; 51 ; 36.068.506 ; 91 ; 44.409.967 ; 23 ; 35.694.192 ; 5 ; 7.301.850 ; 28 ; 42.996.042 ; 119 ; 87.406.009 ;;;;
