Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em FEVEREIRO / 2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
54;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 27 ; 52.932.329 ; 9 ; 23.401.611 ; 36 ; 76.333.940 ; 2 ; 18.780.000 ; 6 ; 47.730.000 ; 8 ; 66.510.000 ; 44 ; 142.843.940 ;;;;
55;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 5 ; 36.789.842 ; 14 ; 18.907.697 ; 1 ; 53.484 ; 86 ; 5.371.594 ; 106 ; 61.122.618 ; 7 ; 32.500.000 ; 4 ; 42.000.000 ; 11 ; 74.500.000 ; 117 ; 135.622.618 ;;;;
56;07.679.404;BANCO TOPÁZIO S.A.; 2 ; 255.000 ; 4 ; 165.421 ; 632 ; 3.183.477 ; 188 ; 59.303.820 ; 826 ; 62.907.719 ; 96 ; 56.831.632 ; 7 ; 801.342 ; 103 ; 57.632.975 ; 929 ; 120.540.694 ;;;;
57;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 4 ; 65.578 ; 63 ; 4.437.938 ; 296 ; 17.244.275 ; 1.231 ; 44.560.613 ; 1.594 ; 66.308.405 ; 249 ; 40.956.434 ; 89 ; 9.421.568 ; 338 ; 50.378.002 ; 1.932 ; 116.686.407 ;;;;
58;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 5 ; 197.343 ; 9 ; 192.164 ; 6 ; 255.907 ; 24 ; 20.236.796 ; 44 ; 20.882.210 ; 8 ; 58.000.000 ; 5 ; 30.000.000 ; 13 ; 88.000.000 ; 57 ; 108.882.210 ;;;;
59;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 1.180 ; 34.987.576 ; 11.299 ; 49.884.652 ; 12.479 ; 84.872.228 ; 147 ; 14.936.240 ; 273 ; 4.245.221 ; 420 ; 19.181.461 ; 12.899 ; 104.053.689 ;;;;
60;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 36 ; 41.998.405 ; 30 ; 2.475.533 ; 51 ; 210.267 ; 64 ; 1.566.558 ; 181 ; 46.250.763 ; 31 ; 3.793.000 ; 32 ; 41.988.000 ; 63 ; 45.781.000 ; 244 ; 92.031.763 ;;;;
61;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 14 ; 5.144.167 ; 7 ; 1.340.115 ; 17 ; 31.769.090 ; 47 ; 11.929.115 ; 85 ; 50.182.486 ; 5 ; 358.348 ; 10 ; 23.358.423 ; 15 ; 23.716.771 ; 100 ; 73.899.257 ;;;;
62;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 927 ; 11.084.270 ; 2.435 ; 33.612.799 ; 3.362 ; 44.697.069 ; 2.373 ; 23.934.829 ; 41 ; 1.521.037 ; 2.414 ; 25.455.866 ; 5.776 ; 70.152.935 ;;;;
63;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 94 ; 1.412.820 ; 763 ; 15.165.619 ; 561 ; 7.063.961 ; 1.467 ; 13.823.584 ; 2.885 ; 37.465.984 ; 776 ; 26.090.909 ; 45 ; 5.576.582 ; 821 ; 31.667.490 ; 3.706 ; 69.133.475 ;;;;
