Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
85;50.579.044;LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.;178;7.381.155;3.624;97.595.258;1.071;16.553.240;2.981;30.407.922;7.854;151.937.576;2.708;110.605.872;308;6.537.099;3.016;117.142.970;10.870;269.080.546
86;4.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;;4.670;50.168.553;15.082;108.816.988;19.752;158.985.541;5.372;76.660.801;4.581;17.957.981;9.953;94.618.783;29.705;253.604.324
87;7.237.373;BANCO DO NORDESTE DO BRASIL S.A.;124;33.581.109;109;14.767.995;90;7.634.712;178;55.892.588;501;111.876.403;56;82.478.918;85;52.779.862;141;135.258.780;642;247.135.183
88;00.416.968;BANCO INTER S.A.;64;492.228;70;1.623.857;39.517;85.874.061;5.454;102.546.000;45.105;190.536.146;471;28.642.463;438;11.635.799;909;40.278.262;46.014;230.814.408
89;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;7;253.689;122;2.283.206;2.032;11.717.289;2.735;19.529.289;4.896;33.783.473;3.489;82.522.302;541;72.688.288;4.030;155.210.590;8.926;188.994.062
90;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;56;6.321.684;83;1.264.847;10;1.546.803;159;89.424.925;308;98.558.259;19;81.250.000;3;5.000.000;22;86.250.000;330;184.808.259
91;2.038.232;BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB;669;75.729.991;646;17.265.590;325;13.353.440;231;44.104.724;1.871;150.453.744;7;1.660.310;26;29.819.650;33;31.479.960;1.904;181.933.704
92;17.184.037;BANCO MERCANTIL DO BRASIL S.A.;1;62.140;5;1.408.781;302;2.661.949;363;7.565.644;671;11.698.514;124;85.127.103;97;78.821.927;221;163.949.030;892;175.647.545
93;34.265.629;INTERCAM CORRETORA DE CÂMBIO LTDA.;61;2.156.609;1.005;49.690.230;524;7.103.124;1.019;11.179.449;2.609;70.129.411;1.628;60.009.191;456;8.392.130;2.084;68.401.321;4.693;138.530.732
94;40.353.377;FOURTRADE CORRETORA DE CÂMBIO LTDA.;40;1.630.944;1.082;32.910.186;588;7.268.163;1.498;14.829.741;3.208;56.639.034;659;44.164.717;164;5.322.953;823;49.487.669;4.031;106.126.704
95;71.677.850;FRENTE CORRETORA DE CÂMBIO LTDA.;32;1.078.404;574;9.182.665;679;11.912.840;4.554;25.347.351;5.839;47.521.260;3.162;37.983.345;319;16.348.398;3.481;54.331.743;9.320;101.853.002
96;80.202.872;CORREPARTI CORRETORA DE CAMBIO LTDA;34;920.641;1.291;45.327.654;111;1.718.264;334;2.180.500;1.770;50.147.059;1.095;47.645.418;127;2.776.284;1.222;50.421.702;2.992;100.568.761
97;34.666.362;MONOPÓLIO CORRETORA DE CÂMBIO LTDA.;;;2;28.500;4.564;1.459.785;2.301;1.583.463;6.867;3.071.748;332;46.088.669;294;45.938.583;626;92.027.252;7.493;95.099.001
