Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Agosto/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
35;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 147 ; 94.539.393 ; 655 ; 90.086.418 ; 64 ; 45.928.215 ; 530 ; 58.433.292 ; 1.396 ; 288.987.318 ; 111 ; 374.656.425 ; 137 ; 468.394.348 ; 248 ; 843.050.773 ; 1.644 ; 1.132.038.091 ;
36;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 23 ; 2.187.603 ; 281 ; 27.125.903 ; 199.677 ; 322.344.984 ; 4.053 ; 87.142.346 ; 204.034 ; 438.800.836 ; 1.601 ; 225.560.377 ; 5.649 ; 426.237.660 ; 7.250 ; 651.798.037 ; 211.284 ; 1.090.598.873 ;
37;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 390 ; 148.348.350 ; 1.401 ; 141.175.760 ; 25.473 ; 252.715.575 ; 19.026 ; 195.173.205 ; 46.290 ; 737.412.890 ; 256 ; 134.631.708 ; 259 ; 197.223.818 ; 515 ; 331.855.526 ; 46.805 ; 1.069.268.416 ;
38;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;CCB - PRUDENCIAL; 63 ; 54.151.279 ; 183 ; 22.892.446 ; 30 ; 270.333.814 ; 143 ; 461.824.464 ; 419 ; 809.202.003 ; 53 ; 155.700.977 ; 41 ; 55.169.722 ; 94 ; 210.870.699 ; 513 ; 1.020.072.702 ;
39;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 231 ; 282.937.395 ; 181 ; 374.372.186 ; 412 ; 657.309.581 ; 24 ; 196.144.420 ; 55 ; 104.631.498 ; 79 ; 300.775.918 ; 491 ; 958.085.499 ;
40;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;UBS (BRASIL) - PRUDENCIAL; -   ; -   ; -   ; -   ; 76 ; 306.503.697 ; 137 ; 335.752.214 ; 213 ; 642.255.911 ; 13 ; 161.790.981 ; 11 ; 76.796.111 ; 24 ; 238.587.092 ; 237 ; 880.843.003 ;
41;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES - PRUDENCIAL; 29 ; 31.765.758 ; -   ; -   ; 38 ; 6.162.448 ; 5 ; 224.755 ; 72 ; 38.152.961 ; 2 ; 359.880.000 ; 12 ; 481.850.000 ; 14 ; 841.730.000 ; 86 ; 879.882.961 ;
42;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 174 ; 257.294.467 ; 666 ; 48.070.773 ; 7.970 ; 66.675.035 ; 21.988 ; 127.027.934 ; 30.798 ; 499.068.209 ; 161 ; 86.817.969 ; 204 ; 242.034.637 ; 365 ; 328.852.606 ; 31.163 ; 827.920.815 ;
43;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; -   ; -   ; -   ; -   ; 140 ; 58.741.844 ; 283 ; 79.541.923 ; 423 ; 138.283.767 ; 85 ; 250.875.835 ; 94 ; 250.200.000 ; 179 ; 501.075.835 ; 602 ; 639.359.602 ;
44;62.144.175;BANCO PINE S.A.;PINE - PRUDENCIAL; 42 ; 224.698.194 ; 266 ; 57.836.905 ; 34 ; 22.356.032 ; 463 ; 31.801.190 ; 805 ; 336.692.321 ; 16 ; 48.876.021 ; 12 ; 168.257.679 ; 28 ; 217.133.700 ; 833 ; 553.826.021 ;
