Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
46;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 165 ; 2.679.077 ; 689 ; 17.270.901 ; 1.588 ; 15.172.273 ; 2.658 ; 39.617.976 ; 5.100 ; 74.740.228 ; 2.374 ; 76.228.260 ; 220 ; 37.547.031 ; 2.594 ; 113.775.290 ; 7.694 ; 188.515.518 
47;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 212 ; 5.597.185 ; 1.622 ; 26.762.556 ; 1.614 ; 12.617.069 ; 4.228 ; 28.472.725 ; 7.676 ; 73.449.535 ; 656 ; 53.144.632 ; 144 ; 15.898.589 ; 800 ; 69.043.221 ; 8.476 ; 142.492.756 
48;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 2 ; 30.350 ; 35 ; 483.996 ; 744 ; 35.846.038 ; 4.467 ; 52.235.563 ; 5.248 ; 88.595.947 ; 350 ; 23.015.406 ; 591 ; 12.092.451 ; 941 ; 35.107.857 ; 6.189 ; 123.703.804 
49;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;;;; -   ; -   ; 1 ; 120.286.281 ;;; 1 ; 120.286.281 ; 1 ; 120.286.281 
50;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 55 ; 35.374.521 ; 56 ; 22.697.831 ; 111 ; 58.072.352 ; 27 ; 18.964.000 ; 23 ; 31.582.835 ; 50 ; 50.546.835 ; 161 ; 108.619.187 
51;10.690.848;BANCO DA CHINA BRASIL S.A.; 4 ; 268.349 ; 29 ; 20.112.723 ; 21 ; 7.167.404 ; 67 ; 24.149.266 ; 121 ; 51.697.742 ; 37 ; 44.746.768 ; 15 ; 8.003.029 ; 52 ; 52.749.798 ; 173 ; 104.447.540 
52;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 6 ; 1.544.205 ; 5 ; 200.286 ; 1.947 ; 47.820.522 ; 94 ; 1.732.321 ; 2.052 ; 51.297.335 ; 45 ; 1.603.995 ; 92 ; 49.036.913 ; 137 ; 50.640.908 ; 2.189 ; 101.938.243 
53;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 2 ; 144.753 ; 7 ; 122.001 ; 9 ; 266.754 ; 3 ; 50.000.000 ; 3 ; 50.000.000 ; 6 ; 100.000.000 ; 15 ; 100.266.754 
54;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 93 ; 1.821.606 ; 1.299 ; 26.153.145 ; 535 ; 6.048.992 ; 1.889 ; 19.771.941 ; 3.816 ; 53.795.685 ; 1.320 ; 42.023.916 ; 20 ; 4.147.842 ; 1.340 ; 46.171.759 ; 5.156 ; 99.967.443 
55;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 30 ; 451.185 ; 188 ; 2.595.832 ; 1.264 ; 8.122.279 ; 3.917 ; 46.879.044 ; 5.399 ; 58.048.340 ; 970 ; 41.025.627 ; 7 ; 150.005 ; 977 ; 41.175.632 ; 6.376 ; 99.223.972 
