Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
40;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 454 ; 297.410.468 ; 1.136 ; 114.261.076 ; 95 ; 306.998.281 ; 1.631 ; 593.843.713 ; 3.316 ; 1.312.513.539 ; 230 ; 716.521.046 ; 183 ; 647.374.482 ; 413 ; 1.363.895.528 ; 3.729 ; 2.676.409.067 
41;03.532.415;BANCO ABN AMRO S.A.; 66 ; 286.111.262 ;;; 254 ; 990.121.890 ; 329 ; 988.746.988 ; 649 ; 2.264.980.139 ; 26 ; 37.982.785 ; 76 ; 327.464.507 ; 102 ; 365.447.293 ; 751 ; 2.630.427.432 
42;10.690.848;BANCO DA CHINA BRASIL S.A.; 115 ; 101.578.615 ; 131 ; 110.234.075 ; 126 ; 666.601.259 ; 302 ; 266.498.147 ; 674 ; 1.144.912.095 ; 183 ; 271.069.168 ; 193 ; 662.589.925 ; 376 ; 933.659.093 ; 1.050 ; 2.078.571.187 
43;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 5.598 ; 445.066.925 ; 7.887 ; 361.382.782 ; 2.802 ; 158.623.842 ; 8.985 ; 215.185.727 ; 25.272 ; 1.180.259.276 ; 304 ; 386.255.575 ; 257 ; 404.162.814 ; 561 ; 790.418.389 ; 25.833 ; 1.970.677.665 
44;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.047 ; 22.001.326 ; 4.778 ; 118.242.841 ; 10.221 ; 112.979.177 ; 19.864 ; 379.953.918 ; 35.910 ; 633.177.263 ; 20.108 ; 718.361.915 ; 1.351 ; 355.018.506 ; 21.459 ; 1.073.380.421 ; 57.369 ; 1.706.557.684 
45;58.616.418;BANCO FIBRA S.A.; 472 ; 293.528.504 ; 3.155 ; 404.954.483 ; 449 ; 234.073.041 ; 1.849 ; 185.379.197 ; 5.925 ; 1.117.935.225 ; 177 ; 329.310.417 ; 104 ; 252.006.238 ; 281 ; 581.316.655 ; 6.206 ; 1.699.251.880 
46;03.609.817;BANCO CARGILL S.A.; 74 ; 197.733.550 ; 21 ; 19.299.873 ; 23 ; 39.689.232 ; 164 ; 73.172.459 ; 282 ; 329.895.113 ; 14 ; 529.000.000 ; 27 ; 806.000.000 ; 41 ; 1.335.000.000 ; 323 ; 1.664.895.113 
47;15.114.366;BANCO BBM S/A; 205 ; 133.796.676 ; 37 ; 3.406.065 ; 146 ; 314.296.185 ; 642 ; 266.684.459 ; 1.030 ; 718.183.385 ; 57 ; 362.923.619 ; 75 ; 501.091.761 ; 132 ; 864.015.380 ; 1.162 ; 1.582.198.764 
48;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 25 ; 88.669.770 ; 100 ; 19.505.255 ; 125 ; 108.175.025 ; 36 ; 648.105.218 ; 36 ; 716.109.265 ; 72 ; 1.364.214.483 ; 197 ; 1.472.389.508 
49;92.894.922;BANCO ORIGINAL S.A.; 149 ; 678.039.127 ; 254 ; 43.902.409 ; 365 ; 11.927.208 ; 1.536 ; 42.929.604 ; 2.304 ; 776.798.347 ; 62 ; 29.274.606 ; 54 ; 570.183.913 ; 116 ; 599.458.519 ; 2.420 ; 1.376.256.866 
