Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
58;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 873 ; 8.384.955 ; 3.773 ; 55.520.584 ; 4.646 ; 63.905.539 ; 2.543 ; 47.714.516 ; 53 ; 257.936 ; 2.596 ; 47.972.452 ; 7.242 ; 111.877.990 ;;;;
59;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 8 ; 2.537.843 ; 129 ; 5.723.877 ; 75 ; 21.242.309 ; 88 ; 21.435.393 ; 300 ; 50.939.421 ; 111 ; 28.261.995 ; 45 ; 26.261.051 ; 156 ; 54.523.046 ; 456 ; 105.462.467 ;;;;
60;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 530 ; 26.749.294 ; 332 ; 10.676.807 ; 199 ; 4.607.547 ; 179 ; 16.254.531 ; 1.240 ; 58.288.179 ; 20 ; 18.203.836 ; 16 ; 17.758.026 ; 36 ; 35.961.862 ; 1.276 ; 94.250.041 ;;;;
61;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 230 ; 9.707.919 ; 938 ; 29.540.386 ; 335 ; 6.320.623 ; 911 ; 9.449.928 ; 2.414 ; 55.018.855 ; 426 ; 30.838.197 ; 59 ; 7.801.902 ; 485 ; 38.640.099 ; 2.899 ; 93.658.954 ;;;;
62;33.918.160;GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.;;; 12 ; 187.919 ; 131 ; 807.050 ; 647 ; 39.929.735 ; 790 ; 40.924.704 ; 2.158 ; 39.885.221 ; 13 ; 401.489 ; 2.171 ; 40.286.710 ; 2.961 ; 81.211.413 ;;;;
63;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 25 ; 364.079 ; 182 ; 2.935.619 ; 474 ; 5.445.955 ; 1.726 ; 23.327.493 ; 2.407 ; 32.073.146 ; 2.150 ; 34.608.502 ; 68 ; 13.994.341 ; 2.218 ; 48.602.843 ; 4.625 ; 80.675.990 ;;;;
64;61.186.680;BANCO BMG S.A.; 10 ; 23.048.175 ;;; 2 ; 1.735.369 ; 20 ; 727.806 ; 32 ; 25.511.350 ; 2 ; 16.000.000 ; 5 ; 37.679.100 ; 7 ; 53.679.100 ; 39 ; 79.190.450 ;;;;
65;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 43 ; 953.023 ; 507 ; 8.259.645 ; 1.309 ; 3.206.544 ; 3.351 ; 16.812.779 ; 5.210 ; 29.231.990 ; 1.897 ; 33.921.136 ; 512 ; 12.980.005 ; 2.409 ; 46.901.141 ; 7.619 ; 76.133.131 ;;;;
66;92.894.922;BANCO ORIGINAL S.A.; 17 ; 33.212.461 ; 72 ; 8.163.276 ; 42 ; 4.749.248 ; 185 ; 3.140.357 ; 316 ; 49.265.341 ; 7 ; 443.701 ; 3 ; 25.000.361 ; 10 ; 25.444.062 ; 326 ; 74.709.402 ;;;;
67;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 70 ; 25.679.594 ; 66 ; 14.510.955 ; 136 ; 40.190.549 ; 27 ; 11.413.000 ; 24 ; 22.595.755 ; 51 ; 34.008.755 ; 187 ; 74.199.304 ;;;;
