Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Jul/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
40;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 64 ; 22.998.265 ; 32 ; 1.975.097 ; 26 ; 74.258 ; 39 ; 309.623 ; 161 ; 25.357.243 ; 303 ; 1.303.790.000 ; 342 ; 1.335.400.000 ; 645,0 ; 2.639.190.000 ; 806 ; 2.664.547.243 ;
41;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 5.341 ; 680.506.836 ; 8.993 ; 548.560.431 ; 2.529 ; 182.775.280 ; 10.646 ; 207.802.169 ; 27.509 ; 1.619.644.716 ; 237 ; 398.799.104 ; 235 ; 503.309.575 ; 472,0 ; 902.108.679 ; 27.981 ; 2.521.753.395 ;
42;52.937.216;BEXS CORRETORA DE C∂MBIO S/A; 1 ; 86.030 ;;; 1.611 ; 6.174.521 ; 21.937 ; 180.339.055 ; 23.549 ; 186.599.605 ; 4.741 ; 1.185.209.653 ; 1.180 ; 1.011.144.970 ; 5.921,0 ; 2.196.354.624 ; 29.470 ; 2.382.954.229 ;
43;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 277 ; 7.937.406 ; 3.147 ; 82.242.209 ; 3.817 ; 39.330.394 ; 11.180 ; 681.650.853 ; 18.421 ; 811.160.862 ; 22.321 ; 1.058.811.090 ; 1.012 ; 342.149.695 ; 23.333,0 ; 1.400.960.785 ; 41.754 ; 2.212.121.647 ;
44;71.027.866;BANCO BONSUCESSO S.A.;;; 2 ; 16.380 ; 324 ; 2.131.067 ; 1.249 ; 27.758.986 ; 1.575 ; 29.906.433 ; 949 ; 1.053.784.282 ; 2.973 ; 1.027.745.075 ; 3.922,0 ; 2.081.529.357 ; 5.497 ; 2.111.435.790 ;
45;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 1.083 ; 551.672.598 ; 1.389 ; 180.617.036 ; 417 ; 99.852.037 ; 1.822 ; 262.180.300 ; 4.711 ; 1.094.321.971 ; 217 ; 437.202.637 ; 229 ; 558.303.160 ; 446,0 ; 995.505.798 ; 5.157 ; 2.089.827.769 ;
46;78.632.767;BANCO OURINVEST S.A.; 7 ; 39.052.695 ; 159 ; 17.692.314 ; 1.008 ; 23.044.778 ; 3.460 ; 60.316.444 ; 4.634 ; 140.106.230 ; 1.567 ; 885.861.382 ; 18.406 ; 848.235.343 ; 19.973,0 ; 1.734.096.725 ; 24.607 ; 1.874.202.955 ;
47;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.; 4 ; 16.187 ; 11 ; 27.754 ; 7.693 ; 78.761.219 ; 38.359 ; 580.626.308 ; 46.067 ; 659.431.469 ; 15.324 ; 799.074.896 ; 927 ; 295.690.632 ; 16.251,0 ; 1.094.765.528 ; 62.318 ; 1.754.196.997 ;
48;62.144.175;BANCO PINE S.A.; 94 ; 302.342.935 ; 330 ; 151.739.174 ; 55 ; 139.438.124 ; 524 ; 246.272.725 ; 1.003 ; 839.792.958 ; 31 ; 327.476.974 ; 32 ; 480.701.499 ; 63,0 ; 808.178.473 ; 1.066 ; 1.647.971.431 ;
49;33.923.798;BANCO MµXIMA S.A.; 280 ; 7.512.640 ; 2.281 ; 97.766.591 ; 462 ; 104.385.177 ; 1.813 ; 151.459.442 ; 4.836 ; 361.123.851 ; 1.744 ; 663.283.474 ; 8.441 ; 523.043.202 ; 10.185,0 ; 1.186.326.677 ; 15.021 ; 1.547.450.528 ;
