Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 256 ; 994.146.282 ; 567 ; 19.119.904 ; 750 ; 136.879.100 ; 2.752 ; 557.457.815 ; 4.325 ; 1.707.603.102 ; 1.260 ; 585.883.176 ; 902 ; 1.137.508.950 ; 2.162 ; 1.723.392.126 ; 6.487 ; 3.430.995.228 ;;;;
36;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 47 ; 89.272.029 ;;; 47 ; 89.272.029 ; 5 ; 1.550.000.000 ; 5 ; 1.550.000.000 ; 10 ; 3.100.000.000 ; 57 ; 3.189.272.029 ;;;;
37;30.723.886;BANCO MODAL S.A.; 60 ; 30.804.890 ; 424 ; 33.182.872 ; 396 ; 933.063.487 ; 580 ; 857.984.347 ; 1.460 ; 1.855.035.596 ; 69 ; 533.027.458 ; 124 ; 595.271.966 ; 193 ; 1.128.299.424 ; 1.653 ; 2.983.335.021 ;;;;
38;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 478 ; 566.669.006 ; 1.158 ; 189.978.081 ; 420 ; 246.890.731 ; 618 ; 285.235.355 ; 2.674 ; 1.288.773.173 ; 745 ; 658.441.487 ; 761 ; 990.833.601 ; 1.506 ; 1.649.275.089 ; 4.180 ; 2.938.048.262 ;;;;
39;28.195.667;BANCO ABC BRASIL S.A.; 407 ; 177.476.333 ; 706 ; 145.489.719 ; 137 ; 168.670.688 ; 1.331 ; 779.681.258 ; 2.581 ; 1.271.317.998 ; 232 ; 984.923.352 ; 197 ; 519.823.856 ; 429 ; 1.504.747.208 ; 3.010 ; 2.776.065.206 ;;;;
40;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 170 ; 8.344.104 ; 1.587 ; 59.139.293 ; 672 ; 145.785.738 ; 17.643 ; 339.607.290 ; 20.072 ; 552.876.425 ; 2.059 ; 957.344.772 ; 2.017 ; 712.690.421 ; 4.076 ; 1.670.035.193 ; 24.148 ; 2.222.911.618 ;;;;
41;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 315 ; 440.693.213 ; 195 ; 121.439.742 ; 90 ; 252.665.102 ; 592 ; 281.544.293 ; 1.192 ; 1.096.342.350 ; 48 ; 328.902.055 ; 49 ; 390.634.194 ; 97 ; 719.536.249 ; 1.289 ; 1.815.878.599 ;;;;
42;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 2 ; 13.000.000 ;;; 34 ; 774.791.942 ; 30 ; 441.715.514 ; 66 ; 1.229.507.456 ; 6 ; 51.996.894 ; 18 ; 395.862.452 ; 24 ; 447.859.346 ; 90 ; 1.677.366.802 ;;;;
43;03.609.817;BANCO CARGILL S.A.; 42 ; 208.190.456 ; 14 ; 14.004.790 ; 12 ; 10.439.754 ; 168 ; 77.362.478 ; 236 ; 309.997.478 ; 23 ; 533.000.000 ; 20 ; 684.500.000 ; 43 ; 1.217.500.000 ; 279 ; 1.527.497.478 ;;;;
44;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 740 ; 16.263.473 ; 3.546 ; 82.148.307 ; 7.882 ; 91.412.193 ; 13.971 ; 316.062.815 ; 26.139 ; 505.886.788 ; 17.854 ; 589.792.850 ; 1.194 ; 299.075.094 ; 19.048 ; 888.867.944 ; 45.187 ; 1.394.754.731 ;;;;
