Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Dez/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
50;33.923.798;BANCO MµXIMA S.A.; 467 ; 13.605.643 ; 3.970 ; 178.333.684 ; 749 ; 139.733.076 ; 3.081 ; 229.280.716 ; 8.267 ; 560.953.119 ; 3.210 ; 1.238.685.578 ; 14.532 ; 978.155.773 ; 17.742,0 ; 2.216.841.351 ; 26.009 ; 2.777.794.470 ;
51;30.723.886;BANCO MODAL S.A.; 118 ; 42.036.104 ; 680 ; 72.602.625 ; 159 ; 339.426.975 ; 554 ; 59.806.056 ; 1.511 ; 513.871.760 ; 263 ; 830.005.041 ; 268 ; 1.085.056.421 ; 531,0 ; 1.915.061.462 ; 2.042 ; 2.428.933.222 ;
52;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 42 ; 1.542.347 ; 14.522 ; 1.062.059.682 ; 3.230 ; 18.453.740 ; 42.387 ; 98.619.599 ; 60.181 ; 1.180.675.368 ; 9.768 ; 1.153.690.473 ; 348 ; 13.187.800 ; 10.116,0 ; 1.166.878.274 ; 70.297 ; 2.347.553.641 ;
53;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 75 ; 276.165.495 ; 168 ; 319.403.229 ; 62 ; 435.752.811 ; 621 ; 148.538.484 ; 926 ; 1.179.860.019 ; 103 ; 426.883.374 ; 105 ; 738.103.939 ; 208,0 ; 1.164.987.313 ; 1.134 ; 2.344.847.332 ;
54;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 96 ; 4.576.667 ; 445 ; 19.002.700 ; 373 ; 68.872.251 ; 1.954 ; 137.629.694 ; 2.868 ; 230.081.313 ; 482 ; 1.080.364.850 ; 567 ; 995.764.424 ; 1.049,0 ; 2.076.129.273 ; 3.917 ; 2.306.210.586 ;
55;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 87 ; 1.103.533 ; 1.122 ; 26.304.387 ; 4.612 ; 37.262.027 ; 20.408 ; 359.173.604 ; 26.229 ; 423.843.552 ; 21.898 ; 1.073.326.024 ; 4.018 ; 727.709.075 ; 25.916,0 ; 1.801.035.099 ; 52.145 ; 2.224.878.651 ;
56;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 202 ; 4.659.820 ; 1.281 ; 17.349.743 ; 13.744 ; 132.609.228 ; 79.289 ; 1.024.798.651 ; 94.516 ; 1.179.417.441 ; 9.108 ; 907.333.773 ; 92 ; 2.084.394 ; 9.200,0 ; 909.418.167 ; 103.716 ; 2.088.835.608 ;
57;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 461 ; 14.098.486 ; 13.193 ; 553.469.364 ; 2.803 ; 27.806.001 ; 38.593 ; 453.016.791 ; 55.050 ; 1.048.390.643 ; 11.354 ; 986.548.666 ; 232 ; 24.371.680 ; 11.586,0 ; 1.010.920.346 ; 66.636 ; 2.059.310.989 ;
58;58.616.418;BANCO FIBRA S.A.; 890 ; 172.946.453 ; 2.104 ; 162.744.693 ; 1.106 ; 269.144.546 ; 2.544 ; 516.762.991 ; 6.644 ; 1.121.598.683 ; 467 ; 639.764.542 ; 308 ; 204.286.120 ; 775,0 ; 844.050.662 ; 7.419 ; 1.965.649.345 ;
59;03.609.817;BANCO CARGILL S.A.; 172 ; 710.879.494 ; 65 ; 69.088.771 ; 21 ; 24.721.740 ; 161 ; 53.598.122 ; 419 ; 858.288.128 ; 31 ; 98.925.000 ; 72 ; 701.250.000 ; 103,0 ; 800.175.000 ; 522 ; 1.658.463.128 ;
