Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em MARÇO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
62;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 49 ; 1.667.137 ; 1.128 ; 33.664.802 ; 374 ; 3.756.420 ; 975 ; 10.003.959 ; 2.526 ; 49.092.318 ; 288 ; 39.566.773 ; 13 ; 1.419.488 ; 301 ; 40.986.261 ; 2.827 ; 90.078.579 ;;;;
63;59.118.133;BANCO LUSO BRASILEIRO S.A.; 7 ; 1.362.261 ; 412 ; 34.840.284 ; 7 ; 758.640 ; 110 ; 6.307.255 ; 536 ; 43.268.440 ; 231 ; 41.851.348 ; 12 ; 2.424.538 ; 243 ; 44.275.886 ; 779 ; 87.544.325 ;;;;
64;58.616.418;BANCO FIBRA S.A.; 105 ; 6.785.157 ; 183 ; 14.885.139 ; 121 ; 5.203.838 ; 234 ; 18.629.813 ; 643 ; 45.503.947 ; 30 ; 36.748.705 ; 21 ; 3.515.436 ; 51 ; 40.264.142 ; 694 ; 85.768.089 ;;;;
65;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 36 ; 14.455.805 ; 42 ; 28.372.310 ; 78 ; 42.828.115 ; 37 ; 27.393.610 ; 17 ; 13.485.250 ; 54 ; 40.878.860 ; 132 ; 83.706.975 ;;;;
66;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 17 ; 381.273 ; 486 ; 13.952.240 ; 280 ; 5.001.315 ; 768 ; 19.369.596 ; 1.551 ; 38.704.424 ; 986 ; 33.124.307 ; 159 ; 5.188.621 ; 1.145 ; 38.312.927 ; 2.696 ; 77.017.351 ;;;;
67;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 30 ; 28.287.519 ; 40 ; 2.113.452 ; 14 ; 334.633 ; 42 ; 8.454.168 ; 126 ; 39.189.771 ; 10 ; 9.616.721 ; 12 ; 27.716.866 ; 22 ; 37.333.587 ; 148 ; 76.523.358 ;;;;
68;10.690.848;BANCO DA CHINA BRASIL S.A.; 12 ; 1.388.017 ; 30 ; 3.227.612 ; 13 ; 33.184.583 ; 31 ; 600.831 ; 86 ; 38.401.044 ; 11 ; 3.500.858 ; 11 ; 34.290.862 ; 22 ; 37.791.720 ; 108 ; 76.192.764 ;;;;
69;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 6 ; 401.773 ; 267 ; 7.310.447 ; 523 ; 3.779.897 ; 1.567 ; 16.998.375 ; 2.363 ; 28.490.493 ; 1.212 ; 32.968.942 ; 496 ; 12.912.558 ; 1.708 ; 45.881.500 ; 4.071 ; 74.371.993 ;;;;
70;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 14 ; 5.741.960 ; 1 ; 161.008 ; 5 ; 12.261 ; 7 ; 149.481 ; 27 ; 6.064.710 ; 33 ; 27.410.000 ; 64 ; 38.350.000 ; 97 ; 65.760.000 ; 124 ; 71.824.710 ;;;;
71;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 48 ; 65.215 ; 136 ; 2.026.660 ; 184 ; 2.091.875 ; 372 ; 34.846.283 ; 205 ; 32.890.432 ; 577 ; 67.736.715 ; 761 ; 69.828.590 ;;;;
72;62.144.175;BANCO PINE S.A.; 6 ; 24.906.049 ; 18 ; 10.925.679 ; 4 ; 138.483 ; 54 ; 10.452.545 ; 82 ; 46.422.757 ; 2 ; 20.000.000 ;;; 2 ; 20.000.000 ; 84 ; 66.422.757 ;;;;
