Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
36;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 40 ; 20.965.514 ; 205 ; 27.350.413 ; 102 ; 61.614.312 ; 138 ; 45.314.865 ; 485 ; 155.245.104 ; 96 ; 191.577.542 ; 99 ; 154.622.579 ; 195 ; 346.200.121 ; 680 ; 501.445.225 
37;13.059.145;BEXS BANCO DE CÂMBIO S/A; 22 ; 93.438.506 ; 51 ; 1.678.535 ; 198 ; 33.561.231 ; 431 ; 107.765.283 ; 702 ; 236.443.554 ; 184 ; 120.785.890 ; 89 ; 136.436.354 ; 273 ; 257.222.244 ; 975 ; 493.665.798 
38;00.360.305;CAIXA ECONOMICA FEDERAL; 208 ; 96.132.284 ; 133 ; 2.968.499 ; 7.460 ; 83.615.791 ; 1.608 ; 74.973.747 ; 9.409 ; 257.690.322 ; 90 ; 64.041.467 ; 117 ; 165.527.275 ; 207 ; 229.568.742 ; 9.616 ; 487.259.064 
39;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;;;;; 16 ; 72.578.430 ; 13 ; 35.761.520 ; 29 ; 108.339.949 ; 9 ; 88.357.288 ; 12 ; 160.059.277 ; 21 ; 248.416.565 ; 50 ; 356.756.515 
40;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 2 ; 83.000.557 ; 12 ; 13.237.977 ; 14 ; 96.238.534 ; 6 ; 95.000.000 ; 6 ; 163.000.000 ; 12 ; 258.000.000 ; 26 ; 354.238.534 
41;58.616.418;BANCO FIBRA S.A.; 69 ; 52.153.888 ; 447 ; 56.411.289 ; 75 ; 103.463.359 ; 228 ; 82.708.227 ; 819 ; 294.736.764 ; 14 ; 23.134.851 ; 8 ; 21.462.837 ; 22 ; 44.597.688 ; 841 ; 339.334.452 
42;03.532.415;BANCO ABN AMRO S.A.; 5 ; 60.010.267 ;;; 49 ; 95.459.509 ; 63 ; 99.361.292 ; 117 ; 254.831.068 ; 8 ; 7.979.860 ; 7 ; 62.741.550 ; 15 ; 70.721.410 ; 132 ; 325.552.478 
43;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 809 ; 56.665.579 ; 1.146 ; 48.395.846 ; 432 ; 61.333.755 ; 1.245 ; 27.001.928 ; 3.632 ; 193.397.107 ; 54 ; 37.966.030 ; 39 ; 78.140.850 ; 93 ; 116.106.880 ; 3.725 ; 309.503.987 
44;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 162 ; 3.029.304 ; 671 ; 16.380.878 ; 1.443 ; 14.581.481 ; 2.934 ; 53.570.868 ; 5.210 ; 87.562.531 ; 3.200 ; 104.113.707 ; 203 ; 51.666.102 ; 3.403 ; 155.779.809 ; 8.613 ; 243.342.340 
45;03.609.817;BANCO CARGILL S.A.; 6 ; 45.565.508 ; 1 ; 72.800 ; 7 ; 25.659.787 ; 21 ; 3.172.256 ; 35 ; 74.470.351 ; 2 ; 100.000.000 ; 4 ; 50.500.000 ; 6 ; 150.500.000 ; 41 ; 224.970.351 
46;10.690.848;BANCO DA CHINA BRASIL S.A.; 18 ; 10.606.115 ; 25 ; 22.212.474 ; 30 ; 53.368.176 ; 58 ; 52.064.012 ; 131 ; 138.250.776 ; 34 ; 43.336.719 ; 29 ; 33.067.006 ; 63 ; 76.403.726 ; 194 ; 214.654.502 
