Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
36;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 1 ; 45.000.000 ; 26 ; 9.003.227 ; 5 ; 175.147.207 ; 11 ; 93.878.883 ; 43 ; 323.029.316 ; 17 ; 18.803.010 ; 18 ; 137.817.259 ; 35 ; 156.620.269 ; 78 ; 479.649.585 
37;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 790 ; 58.481.503 ; 1.231 ; 55.208.808 ; 420 ; 23.813.670 ; 1.349 ; 47.282.555 ; 3.790 ; 184.786.536 ; 56 ; 150.552.388 ; 28 ; 128.671.393 ; 84 ; 279.223.781 ; 3.874 ; 464.010.317 
38;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 58 ; 86.053.534 ;;; 86 ; 28.251.603 ; 21 ; 19.044.781 ; 165 ; 133.349.917 ; 1 ; 11.243.745 ; 14 ; 295.829.836 ; 15 ; 307.073.581 ; 180 ; 440.423.498 
39;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 12 ; 15.190.696 ; 32 ; 12.421.766 ; 23 ; 105.501.628 ; 89 ; 25.662.171 ; 156 ; 158.776.260 ; 11 ; 61.971.904 ; 12 ; 69.973.869 ; 23 ; 131.945.773 ; 179 ; 290.722.033 
40;13.059.145;BEXS BANCO DE CÂMBIO S/A; 14 ; 1.147.984 ; 59 ; 1.531.810 ; 116 ; 25.516.015 ; 426 ; 114.589.986 ; 615 ; 142.785.795 ; 179 ; 116.276.667 ; 72 ; 27.724.679 ; 251 ; 144.001.346 ; 866 ; 286.787.140 
41;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 169 ; 3.370.710 ; 777 ; 19.471.765 ; 1.602 ; 16.588.158 ; 3.296 ; 59.791.050 ; 5.844 ; 99.221.683 ; 3.305 ; 119.248.571 ; 220 ; 60.093.758 ; 3.525 ; 179.342.329 ; 9.369 ; 278.564.012 
42;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 2 ; 720.000 ; 73 ; 7.097.248 ; 87 ; 30.238.700 ; 225 ; 69.710.221 ; 387 ; 107.766.168 ; 158 ; 75.296.821 ; 45 ; 29.417.774 ; 203 ; 104.714.594 ; 590 ; 212.480.763 
43;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 55 ; 35.040.983 ; 195 ; 18.018.583 ; 13 ; 48.690.765 ; 279 ; 21.100.204 ; 542 ; 122.850.535 ; 35 ; 31.733.953 ; 19 ; 36.500.020 ; 54 ; 68.233.973 ; 596 ; 191.084.508 
44;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 8 ; 33.274 ; 51 ; 909.631 ; 757 ; 39.725.142 ; 4.743 ; 76.743.876 ; 5.559 ; 117.411.923 ; 716 ; 53.629.409 ; 773 ; 15.371.344 ; 1.489 ; 69.000.753 ; 7.048 ; 186.412.676 
45;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 106 ; 134.286 ; 303 ; 1.195.856 ; 409 ; 1.330.142 ; 707 ; 86.738.347 ; 391 ; 85.675.095 ; 1.098 ; 172.413.441 ; 1.507 ; 173.743.583 
46;10.690.848;BANCO DA CHINA BRASIL S.A.; 1 ; 1.472.516 ; 25 ; 41.000.505 ; 10 ; 59.016.310 ; 50 ; 25.276.893 ; 86 ; 126.766.225 ; 37 ; 22.801.990 ; 14 ; 17.040.635 ; 51 ; 39.842.626 ; 137 ; 166.608.851 
47;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 168 ; 4.455.579 ; 1.793 ; 32.312.143 ; 1.651 ; 12.295.218 ; 4.962 ; 38.475.887 ; 8.574 ; 87.538.826 ; 872 ; 66.175.499 ; 167 ; 12.205.788 ; 1.039 ; 78.381.286 ; 9.613 ; 165.920.113 
48;58.616.418;BANCO FIBRA S.A.; 68 ; 47.236.351 ; 422 ; 51.977.059 ; 64 ; 9.557.810 ; 168 ; 12.097.564 ; 722 ; 120.868.785 ; 20 ; 17.683.995 ; 20 ; 20.584.581 ; 40 ; 38.268.576 ; 762 ; 159.137.360 
49;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 39 ; 837.030 ; 240 ; 3.038.887 ; 1.408 ; 8.948.117 ; 5.326 ; 65.125.696 ; 7.013 ; 77.949.730 ; 1.303 ; 58.804.268 ; 7 ; 362.712 ; 1.310 ; 59.166.980 ; 8.323 ; 137.116.710 
50;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 919 ; 8.703.496 ; 4.180 ; 66.990.326 ; 5.099 ; 75.693.823 ; 3.279 ; 59.360.554 ; 20 ; 798.584 ; 3.299 ; 60.159.138 ; 8.398 ; 135.852.961 
51;03.532.415;BANCO ABN AMRO S.A.; 3 ; 4.100.000 ;;; 39 ; 61.939.746 ; 34 ; 53.564.540 ; 76 ; 119.604.286 ; 4 ; 265.222 ; 5 ; 11.500.000 ; 9 ; 11.765.222 ; 85 ; 131.369.507 
52;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 93 ; 1.890.704 ; 1.430 ; 30.830.501 ; 693 ; 6.552.961 ; 2.390 ; 26.659.581 ; 4.606 ; 65.933.747 ; 1.703 ; 51.691.618 ; 14 ; 2.897.580 ; 1.717 ; 54.589.197 ; 6.323 ; 120.522.944 
53;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 1 ; 1.287.498 ; 19 ; 4.318.784 ; 11 ; 5.422.377 ; 73 ; 4.005.786 ; 104 ; 15.034.445 ; 15 ; 48.954.345 ; 16 ; 48.923.090 ; 31 ; 97.877.435 ; 135 ; 112.911.880 
54;13.720.915;BANCO WESTERN UNION DO BRASIL S.A.;;;;;;; 1 ; 1.123 ; 1 ; 1.123 ; 55 ; 53.925.083 ; 120 ; 53.916.756 ; 175 ; 107.841.839 ; 176 ; 107.842.962 
55;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;;;; -   ; -   ; 1 ; 103.018.440 ;;; 1 ; 103.018.440 ; 1 ; 103.018.440 
56;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 2 ; 255.500 ; 10 ; 248.222 ; 12 ; 503.722 ; 5 ; 50.290.075 ; 5 ; 50.291.175 ; 10 ; 100.581.250 ; 22 ; 101.084.972 
57;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 7 ; 1.221.358 ; 5 ; 1.036.133 ; 2.026 ; 46.700.742 ; 100 ; 1.226.510 ; 2.138 ; 50.184.743 ; 60 ; 2.223.289 ; 97 ; 47.881.796 ; 157 ; 50.105.084 ; 2.295 ; 100.289.827 
58;30.723.886;BANCO MODAL S.A.; 20 ; 6.201.810 ; 143 ; 23.427.008 ; 69 ; 8.745.497 ; 113 ; 18.495.958 ; 345 ; 56.870.273 ; 20 ; 34.323.004 ; 9 ; 8.516.219 ; 29 ; 42.839.223 ; 374 ; 99.709.496 
59;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 31 ; 579.207 ; 367 ; 6.489.570 ; 554 ; 5.199.518 ; 2.015 ; 23.926.314 ; 2.967 ; 36.194.609 ; 2.264 ; 41.992.748 ; 265 ; 17.311.739 ; 2.529 ; 59.304.487 ; 5.496 ; 95.499.096 
60;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 504 ; 25.394.086 ; 431 ; 14.589.421 ; 244 ; 5.274.240 ; 251 ; 23.346.467 ; 1.430 ; 68.604.214 ; 20 ; 16.079.390 ; 12 ; 8.833.260 ; 32 ; 24.912.650 ; 1.462 ; 93.516.864 
