Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em JUNHO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
47;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 3 ; 118.417 ; 1.330 ; 100.139.715 ; 251 ; 1.829.626 ; 2.661 ; 6.680.571 ; 4.245 ; 108.768.329 ; 689 ; 105.769.608 ; 26 ; 1.170.522 ; 715 ; 106.940.129 ; 4.960 ; 215.708.459 ;;;;
48;78.632.767;BANCO OURINVEST S.A.;;; 32 ; 3.484.730 ; 148 ; 2.049.369 ; 564 ; 6.005.509 ; 744 ; 11.539.607 ; 243 ; 99.947.986 ; 2.404 ; 98.075.796 ; 2.647 ; 198.023.782 ; 3.391 ; 209.563.389 ;;;;
49;33.923.798;BANCO MµXIMA S.A.; 39 ; 1.135.421 ; 298 ; 11.271.899 ; 73 ; 12.851.462 ; 242 ; 15.542.409 ; 652 ; 40.801.190 ; 235 ; 88.962.023 ; 1.202 ; 76.868.303 ; 1.437 ; 165.830.327 ; 2.089 ; 206.631.516 ;;;;
50;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 30 ; 598.401 ; 1.150 ; 53.777.721 ; 208 ; 9.189.121 ; 1.744 ; 42.902.376 ; 3.132 ; 106.467.619 ; 796 ; 89.180.868 ; 14 ; 2.697.911 ; 810 ; 91.878.780 ; 3.942 ; 198.346.399 ;;;;
51;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 13 ; 94.010 ; 110 ; 2.605.418 ; 404 ; 3.317.687 ; 1.528 ; 25.615.910 ; 2.055 ; 31.633.025 ; 1.795 ; 79.039.002 ; 341 ; 53.721.864 ; 2.136 ; 132.760.866 ; 4.191 ; 164.393.891 ;;;;
52;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 21 ; 609.045 ; 92 ; 1.396.567 ; 1.171 ; 15.990.942 ; 6.114 ; 80.477.898 ; 7.398 ; 98.474.452 ; 638 ; 65.326.732 ; 4 ; 70.347 ; 642 ; 65.397.079 ; 8.040 ; 163.871.530 ;;;;
53;16.944.141;BROKER BRASIL CORRETORA DE C∂MBIO LTDA.; 1 ; 1.050 ; 157 ; 3.957.349 ; 166 ; 1.523.931 ; 997 ; 61.134.534 ; 1.321 ; 66.616.863 ; 910 ; 71.515.632 ; 115 ; 8.135.129 ; 1.025 ; 79.650.761 ; 2.346 ; 146.267.624 ;;;;
54;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 144 ; 42.011.041 ; 183 ; 28.271.550 ; 55 ; 4.248.478 ; 211 ; 12.881.839 ; 593 ; 87.412.909 ; 22 ; 23.873.387 ; 20 ; 28.814.254 ; 42 ; 52.687.641 ; 635 ; 140.100.550 ;;;;
55;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 9 ; 3.161.311 ; 24 ; 1.510.391 ; 34 ; 1.069.750 ; 82 ; 4.039.359 ; 149 ; 9.780.811 ; 58 ; 58.409.040 ; 33 ; 56.821.178 ; 91 ; 115.230.218 ; 240 ; 125.011.029 ;;;;
56;92.856.905;ADVANCED CORRETORA DE C∂MBIO LTDA; 55 ; 1.032.345 ; 1.253 ; 38.260.219 ; 624 ; 8.066.711 ; 2.192 ; 21.219.995 ; 4.124 ; 68.579.270 ; 465 ; 51.889.179 ; 56 ; 1.650.261 ; 521 ; 53.539.440 ; 4.645 ; 122.118.710 ;;;;
57;13.728.156;WESTERN UNION CORRETORA DE C∂MBIO S.A.; 1 ; 23.743 ; 34 ; 353.699 ; 455 ; 15.530.022 ; 1.394 ; 53.684.933 ; 1.884 ; 69.592.396 ; 784 ; 44.359.098 ; 221 ; 3.363.063 ; 1.005 ; 47.722.161 ; 2.889 ; 117.314.557 ;;;;
